"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.37823,1.17,0.266,90,0.672
"EGFR inhibitor","NES","Abl kinase inhibitor",0.37016,1.19,0.278,136,0.737
"EGFR inhibitor","NES","adrenergic receptor agonist",0.23781,0.737,0.787,31,0.999
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.18462,0.556,0.934,145,0.937
"EGFR inhibitor","NES","ATPase inhibitor",0.2378,0.722,0.762,211,0.948
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.37016,1.19,0.235,136,0.737
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.33566,-1.08,0.358,223,0.638
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.51081,-1.59,0.069,189,0.198
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.13498,-0.428,0.991,241,0.992
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.70608,-2.19,0.00203,317,0.0305
"EGFR inhibitor","NES","FLT3 inhibitor",0.29664,0.909,0.555,91,0.842
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.51727,1.65,0.0503,101,0.283
"EGFR inhibitor","NES","HDAC inhibitor",-0.65021,-2.01,0.00777,315,0.0465
"EGFR inhibitor","NES","histamine receptor antagonist",0.2583,0.791,0.683,49,0.982
"EGFR inhibitor","NES","HMGCR inhibitor",0.70811,2.24,0,114,0.0196
"EGFR inhibitor","NES","KIT inhibitor",0.33511,1.04,0.382,57,0.745
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.20842,0.642,0.844,57,0.919
"EGFR inhibitor","NES","phosphodiesterase inhibitor",0.3373,1.07,0.351,119,0.781
"EGFR inhibitor","NES","PPAR receptor agonist",-0.44592,-1.38,0.135,250,0.318
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.28104,-0.897,0.536,239,0.712
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",0.43234,1.35,0.143,82,0.669
"EGFR inhibitor","NES","sodium channel blocker",0.31267,0.966,0.485,260,0.808
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.2562,-0.776,0.736,93,0.801
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.56178,1.75,0.039,138,0.254
"EGFR inhibitor","NES","tyrosine kinase inhibitor",-0.3235,-1.03,0.392,268,0.604
"EGFR inhibitor","NES","VEGFR inhibitor",0.21144,0.657,0.867,42,0.964
"Abl kinase inhibitor","NES","EGFR inhibitor",0.42516,1.34,0.189,71,0.424
"Abl kinase inhibitor","NES","adrenergic receptor agonist",0.44149,1.4,0.121,118,0.431
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",-0.17391,-0.531,0.949,224,0.953
"Abl kinase inhibitor","NES","ATPase inhibitor",-0.51372,-1.59,0.0861,229,0.181
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",0.21477,0.67,0.857,56,0.989
"Abl kinase inhibitor","NES","DNA synthesis inhibitor",-0.55509,-1.73,0.0349,280,0.128
"Abl kinase inhibitor","NES","dopamine receptor antagonist",-0.27447,-0.851,0.617,299,0.85
"Abl kinase inhibitor","NES","estrogen receptor antagonist",-0.59265,-1.83,0.0183,291,0.22
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.46721,1.47,0.107,203,0.457
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.47799,1.51,0.0893,57,0.584
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.57636,-1.77,0.0227,344,0.162
"Abl kinase inhibitor","NES","histamine receptor antagonist",-0.18423,-0.559,0.946,271,1
"Abl kinase inhibitor","NES","HMGCR inhibitor",0.60044,1.86,0.0273,101,0.284
"Abl kinase inhibitor","NES","KIT inhibitor",0.38472,1.18,0.254,51,0.438
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.29772,0.929,0.502,232,0.661
"Abl kinase inhibitor","NES","phosphodiesterase inhibitor",0.19928,0.626,0.886,90,0.957
"Abl kinase inhibitor","NES","PPAR receptor agonist",-0.3858,-1.21,0.261,292,0.534
"Abl kinase inhibitor","NES","protein synthesis inhibitor",-0.34146,-1.06,0.354,230,0.684
"Abl kinase inhibitor","NES","ribonucleotide reductase inhibitor",0.39566,1.24,0.229,228,0.414
"Abl kinase inhibitor","NES","sodium channel blocker",-0.30024,-0.91,0.555,324,0.851
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.25208,-0.804,0.682,91,0.832
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",0.17743,0.556,0.938,112,0.939
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.35236,1.11,0.311,51,0.473
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.39335,1.24,0.217,232,0.414
"adrenergic receptor agonist","NES","EGFR inhibitor",0.29976,0.945,0.518,24,0.988
"adrenergic receptor agonist","NES","Abl kinase inhibitor",0.29776,0.944,0.499,54,0.849
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.50789,1.56,0.0592,55,0.879
"adrenergic receptor agonist","NES","adrenergic receptor antagonist",-0.22379,-0.669,0.857,263,0.836
"adrenergic receptor agonist","NES","ATPase inhibitor",-0.22441,-0.676,0.805,357,0.897
"adrenergic receptor agonist","NES","Bcr.Abl kinase inhibitor",0.29776,0.908,0.53,54,0.809
"adrenergic receptor agonist","NES","cyclooxygenase inhibitor",0.47169,1.42,0.113,81,0.731
"adrenergic receptor agonist","NES","DNA synthesis inhibitor",-0.40143,-1.23,0.239,209,0.608
"adrenergic receptor agonist","NES","dopamine receptor antagonist",0.17697,0.546,0.963,303,1
"adrenergic receptor agonist","NES","estrogen receptor antagonist",-0.27222,-0.805,0.666,98,1
"adrenergic receptor agonist","NES","FLT3 inhibitor",-0.48146,-1.41,0.132,242,0.558
"adrenergic receptor agonist","NES","glucocorticoid receptor agonist",-0.24832,-0.751,0.745,269,0.96
"adrenergic receptor agonist","NES","HDAC inhibitor",-0.60942,-1.83,0.0154,290,0.233
"adrenergic receptor agonist","NES","histamine receptor antagonist",0.14368,0.448,0.989,49,0.989
"adrenergic receptor agonist","NES","HMGCR inhibitor",0.45,1.4,0.135,204,0.524
"adrenergic receptor agonist","NES","KIT inhibitor",-0.41895,-1.27,0.186,295,0.671
"adrenergic receptor agonist","NES","PDGFR tyrosine kinase receptor inhibitor",-0.332,-0.994,0.439,305,0.833
"adrenergic receptor agonist","NES","phosphodiesterase inhibitor",-0.25729,-0.778,0.711,271,1
"adrenergic receptor agonist","NES","PPAR receptor agonist",-0.36689,-1.09,0.353,330,0.757
"adrenergic receptor agonist","NES","protein synthesis inhibitor",0.40768,1.26,0.223,138,0.625
"adrenergic receptor agonist","NES","ribonucleotide reductase inhibitor",0.19486,0.601,0.898,130,1
"adrenergic receptor agonist","NES","sodium channel blocker",-0.53186,-1.6,0.0537,192,0.388
"adrenergic receptor agonist","NES","topoisomerase inhibitor",0.32916,1,0.415,154,1
"adrenergic receptor agonist","NES","tubulin polymerization inhibitor",0.23295,0.714,0.8,284,1
"adrenergic receptor agonist","NES","VEGFR inhibitor",-0.25695,-0.746,0.724,252,0.88
"adrenergic receptor antagonist","NES","EGFR inhibitor",0.45133,1.38,0.147,46,0.702
"adrenergic receptor antagonist","NES","Abl kinase inhibitor",-0.21562,-0.669,0.826,281,0.931
"adrenergic receptor antagonist","NES","adrenergic receptor agonist",-0.23568,-0.747,0.745,324,1
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.37884,1.17,0.276,42,0.688
"adrenergic receptor antagonist","NES","ATPase inhibitor",0.64381,1.95,0.0113,90,0.185
"adrenergic receptor antagonist","NES","Bcr.Abl kinase inhibitor",-0.21562,-0.657,0.841,281,0.849
"adrenergic receptor antagonist","NES","cyclooxygenase inhibitor",-0.27552,-0.859,0.606,356,1
"adrenergic receptor antagonist","NES","DNA synthesis inhibitor",0.26944,0.826,0.64,269,0.969
"adrenergic receptor antagonist","NES","dopamine receptor antagonist",0.23797,0.732,0.786,48,0.823
"adrenergic receptor antagonist","NES","estrogen receptor antagonist",0.26779,0.816,0.636,144,0.9
"adrenergic receptor antagonist","NES","FLT3 inhibitor",0.26748,0.808,0.641,189,0.838
"adrenergic receptor antagonist","NES","glucocorticoid receptor agonist",0.49936,1.51,0.0853,139,0.666
"adrenergic receptor antagonist","NES","HDAC inhibitor",-0.52446,-1.62,0.0645,208,0.289
"adrenergic receptor antagonist","NES","histamine receptor antagonist",-0.29625,-0.905,0.564,269,1
"adrenergic receptor antagonist","NES","HMGCR inhibitor",0.40191,1.2,0.255,118,0.751
"adrenergic receptor antagonist","NES","KIT inhibitor",0.22832,0.718,0.799,215,0.784
"adrenergic receptor antagonist","NES","PDGFR tyrosine kinase receptor inhibitor",-0.23969,-0.737,0.753,125,0.948
"adrenergic receptor antagonist","NES","phosphodiesterase inhibitor",-0.34752,-1.09,0.35,320,0.861
"adrenergic receptor antagonist","NES","PPAR receptor agonist",0.27701,0.84,0.637,266,1
"adrenergic receptor antagonist","NES","protein synthesis inhibitor",0.25494,0.763,0.735,111,0.841
"adrenergic receptor antagonist","NES","ribonucleotide reductase inhibitor",-0.50278,-1.57,0.0851,246,0.238
"adrenergic receptor antagonist","NES","sodium channel blocker",0.43619,1.31,0.177,154,0.67
"adrenergic receptor antagonist","NES","topoisomerase inhibitor",-0.54786,-1.69,0.0397,226,0.422
"adrenergic receptor antagonist","NES","tubulin polymerization inhibitor",0.38245,1.16,0.292,124,0.606
"adrenergic receptor antagonist","NES","VEGFR inhibitor",0.30423,0.95,0.492,258,0.926
"ATPase inhibitor","NES","EGFR inhibitor",0.19559,0.594,0.933,136,0.913
"ATPase inhibitor","NES","Abl kinase inhibitor",-0.36925,-1.13,0.295,276,0.785
"ATPase inhibitor","NES","adrenergic receptor agonist",-0.3218,-0.982,0.437,265,0.739
"ATPase inhibitor","NES","adrenergic receptor antagonist",0.45083,1.37,0.132,174,0.442
"ATPase inhibitor","NES","ATPase inhibitor",0.54814,1.65,0.0631,42,0.306
"ATPase inhibitor","NES","Bcr.Abl kinase inhibitor",-0.36925,-1.16,0.285,276,0.896
