"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"AT7867","Pearson.est","EGFR inhibitor",0.51352,1.11,0.353,6,1,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","Abl kinase inhibitor",0.39737,0.867,0.634,21,0.774,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","Bcr.Abl kinase inhibitor",0.39737,0.872,0.642,21,0.958,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","FLT3 inhibitor",0.48743,1.06,0.403,7,0.796,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","KIT inhibitor",-0.45161,-1.12,0.295,14,0.285,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.24743,0.535,0.966,6,0.967,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","VEGFR inhibitor",0.50811,1.1,0.339,6,1,FALSE,NA,"AKT inhibitor"
"BNTX","Pearson.est","EGFR inhibitor",0.42365,1.04,0.373,21,0.558,FALSE,NA,"opioid receptor antagonist"
"BNTX","Pearson.est","Abl kinase inhibitor",0.44829,1.11,0.319,76,0.536,FALSE,NA,"opioid receptor antagonist"
"BNTX","Pearson.est","adrenergic receptor agonist",0.66591,1.68,0.0513,14,0.19,FALSE,NA,"opioid receptor antagonist"
"BNTX","Pearson.est","adrenergic receptor antagonist",-0.45076,-1.08,0.355,317,0.684,FALSE,NA,"opioid receptor antagonist"
"BNTX","Pearson.est","ATPase inhibitor",-0.56205,-1.37,0.137,241,0.502,FALSE,NA,"opioid receptor antagonist"
"BNTX","Pearson.est","Bcr.Abl kinase inhibitor",0.44829,1.13,0.307,76,0.608,FALSE,NA,"opioid receptor antagonist"
"BNTX","Pearson.est","cyclooxygenase inhibitor",0.47172,1.19,0.272,60,0.637,FALSE,NA,"opioid receptor antagonist"
"BNTX","Pearson.est","DNA synthesis inhibitor",-0.62201,-1.48,0.0782,320,0.596,FALSE,NA,"opioid receptor antagonist"
