"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"afatinib","Pearson.est","EGFR inhibitor",-0.31798,-0.761,0.766,245,0.909,TRUE,FALSE,"EGFR inhibitor"
"altretamine","Pearson.est","DNA synthesis inhibitor",-0.40086,-1.06,0.386,363,1,TRUE,FALSE,"DNA synthesis inhibitor"
"amisulpride","Pearson.est","dopamine receptor antagonist",-0.16939,-0.437,1,288,0.997,TRUE,FALSE,"dopamine receptor antagonist"
"artesunate","Pearson.est","DNA synthesis inhibitor",0.40201,0.937,0.552,2,0.818,TRUE,FALSE,"DNA synthesis inhibitor"
"aspirin","Pearson.est","cyclooxygenase inhibitor",-0.57754,-1.48,0.0801,287,0.453,TRUE,FALSE,"cyclooxygenase inhibitor"
"atorvastatin","Pearson.est","HMGCR inhibitor",0.39994,0.885,0.62,99,0.803,TRUE,FALSE,"HMGCR inhibitor"
"axitinib","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.36766,0.872,0.622,136,0.716,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"axitinib","Pearson.est","VEGFR inhibitor",0.29811,0.696,0.844,119,0.894,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"canertinib","Pearson.est","EGFR inhibitor",0.30766,0.707,0.821,168,1,TRUE,FALSE,"EGFR inhibitor"
"carvedilol","Pearson.est","adrenergic receptor antagonist",-0.29737,-0.713,0.827,261,1,TRUE,FALSE,"adrenergic receptor antagonist"
"cimetidine","Pearson.est","histamine receptor antagonist",-0.37212,-0.885,0.608,275,1,TRUE,FALSE,"histamine receptor antagonist"
"cisplatin","Pearson.est","DNA synthesis inhibitor",-0.61041,-1.49,0.0817,301,1,TRUE,FALSE,"DNA alkylating agent, DNA synthesis inhibitor"
"clebopride","Pearson.est","dopamine receptor antagonist",0.31761,0.764,0.738,50,0.82,TRUE,FALSE,"dopamine receptor antagonist"
"clomifene","Pearson.est","estrogen receptor antagonist",0.3,0.752,0.76,257,1,TRUE,FALSE,"estrogen receptor antagonist"
"curcumin","Pearson.est","cyclooxygenase inhibitor",-0.28486,-0.633,0.897,284,0.967,TRUE,FALSE,"cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor"
"cyproheptadine","Pearson.est","histamine receptor antagonist",0.34592,0.872,0.591,57,0.595,TRUE,FALSE,"histamine receptor antagonist"
"danazol","Pearson.est","estrogen receptor antagonist",0.40089,0.899,0.603,131,0.875,TRUE,FALSE,"estrogen receptor antagonist, progesterone receptor agonist"
"dexrazoxane","Pearson.est","topoisomerase inhibitor",-0.4773,-1.12,0.321,296,0.747,TRUE,FALSE,"chelating agent, topoisomerase inhibitor"
"domperidone","Pearson.est","dopamine receptor antagonist",-0.29082,-0.685,0.831,341,0.841,TRUE,FALSE,"dopamine receptor antagonist"
"dovitinib","Pearson.est","EGFR inhibitor",-0.35356,-0.887,0.567,325,0.932,TRUE,FALSE,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"dovitinib","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.23587,0.562,0.954,161,0.951,TRUE,FALSE,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
