"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.2376,-0.693,0.794,246,0.799
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.66344,1.95,0.0127,83,0.0332
"EGFR inhibitor","NES","HDAC inhibitor",-0.65199,-1.86,0.0173,255,0.0591
"EGFR inhibitor","NES","HMGCR inhibitor",0.71314,2.15,0,44,0.0122
"EGFR inhibitor","NES","phosphodiesterase inhibitor",0.32664,0.941,0.521,100,0.61
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",0.43528,1.3,0.168,66,0.281
"EGFR inhibitor","NES","sodium channel blocker",0.31,0.906,0.549,212,0.552
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.25939,-0.764,0.712,76,1
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.53566,1.55,0.061,115,0.157
"Abl kinase inhibitor","NES","adrenergic receptor agonist",0.5343,1.55,0.0957,88,0.151
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.60043,1.78,0.0309,47,0.0974
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.58346,-1.7,0.04,228,0.114
"Abl kinase inhibitor","NES","HMGCR inhibitor",0.73913,2.21,0.00207,83,0.00841
"Abl kinase inhibitor","NES","phosphodiesterase inhibitor",0.20365,0.595,0.901,72,1
"Abl kinase inhibitor","NES","ribonucleotide reductase inhibitor",0.40134,1.15,0.316,184,0.437
"Abl kinase inhibitor","NES","sodium channel blocker",-0.29654,-0.846,0.61,262,0.937
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.25,-0.7,0.79,73,0.802
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",0.16781,0.489,0.968,255,0.968
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.86348,2.48,0,45,0
"adrenergic receptor agonist","NES","glucocorticoid receptor agonist",-0.38782,-1.1,0.369,224,0.456
"adrenergic receptor agonist","NES","HDAC inhibitor",-0.61921,-1.74,0.0482,238,0.131
