"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.96599,2.73,0,14,0
"EGFR inhibitor","NES","Abl kinase inhibitor",0.49079,1.46,0.113,11,0.179
"EGFR inhibitor","NES","BCL inhibitor",-0.33993,-0.907,0.548,105,0.837
"EGFR inhibitor","NES","FLT3 inhibitor",-0.45064,-1.21,0.261,127,0.57
"EGFR inhibitor","NES","KIT inhibitor",-0.22726,-0.624,0.875,73,0.891
"EGFR inhibitor","NES","mTOR inhibitor",-0.33001,-0.89,0.583,64,0.743
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.33614,-0.913,0.562,73,0.991
"EGFR inhibitor","NES","RAF inhibitor",-0.49172,-1.36,0.154,127,0.447
"EGFR inhibitor","NES","RET tyrosine kinase inhibitor",0.29973,0.837,0.637,4,0.632
"EGFR inhibitor","NES","src inhibitor",0.63521,1.86,0.0143,11,0.043
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.74834,-2.05,0.00536,113,0.0116
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.88079,-2.36,0.00357,133,0.00221
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.34211,0.996,0.428,11,0.544
"EGFR inhibitor","NES","VEGFR inhibitor",-0.25142,-0.702,0.809,124,0.917
"Abl kinase inhibitor","NES","EGFR inhibitor",0.8662,2.37,0,28,0
"Abl kinase inhibitor","NES","BCL inhibitor",-0.4726,-1.43,0.11,69,0.152
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.69863,1.92,0.0109,49,0.0211
"Abl kinase inhibitor","NES","KIT inhibitor",0.5542,1.49,0.0765,53,0.0982
"Abl kinase inhibitor","NES","mTOR inhibitor",-0.55038,-1.58,0.0748,128,0.259
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.69504,1.88,0.00474,53,0.0187
"Abl kinase inhibitor","NES","RAF inhibitor",0.45583,1.25,0.222,47,0.22
"Abl kinase inhibitor","NES","RET tyrosine kinase inhibitor",0.66438,1.81,0.0169,54,0.028
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.50685,-1.49,0.0838,74,0.176
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.4589,-1.33,0.155,67,0.156
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.56191,1.52,0.0736,54,0.0994
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.58947,1.58,0.0697,54,0.0901
"BCL inhibitor","NES","EGFR inhibitor",0.25352,0.701,0.831,115,1
"BCL inhibitor","NES","Abl kinase inhibitor",0.3708,1.06,0.387,27,1
"BCL inhibitor","NES","FLT3 inhibitor",0.36685,1.04,0.409,34,1
"BCL inhibitor","NES","KIT inhibitor",0.23967,0.679,0.834,32,0.955
"BCL inhibitor","NES","mTOR inhibitor",-0.46897,-1.42,0.108,68,0.312
"BCL inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.20078,0.559,0.93,32,0.936
"BCL inhibitor","NES","RAF inhibitor",0.68198,1.91,0.0125,36,0.0673
"BCL inhibitor","NES","RET tyrosine kinase inhibitor",0.31922,0.887,0.572,32,0.936
"BCL inhibitor","NES","src inhibitor",-0.52055,-1.59,0.0659,76,0.332
"BCL inhibitor","NES","topoisomerase inhibitor",0.35616,0.997,0.442,99,0.915
"BCL inhibitor","NES","tubulin polymerization inhibitor",-0.42466,-1.3,0.201,62,0.304
"BCL inhibitor","NES","tyrosine kinase inhibitor",-0.20139,-0.629,0.895,29,0.88
"BCL inhibitor","NES","VEGFR inhibitor",-0.24369,-0.766,0.704,119,0.903
"FLT3 inhibitor","NES","EGFR inhibitor",-0.42857,-1.27,0.231,63,0.207
"FLT3 inhibitor","NES","Abl kinase inhibitor",0.61443,1.65,0.0383,46,0.0528
"FLT3 inhibitor","NES","BCL inhibitor",0.47393,1.29,0.203,41,0.26
"FLT3 inhibitor","NES","FLT3 inhibitor",0.81333,2.21,0,34,0.00108
"FLT3 inhibitor","NES","KIT inhibitor",0.77496,2.1,0,26,0.00217
"FLT3 inhibitor","NES","mTOR inhibitor",0.31318,0.847,0.637,92,0.645
"FLT3 inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.83771,2.3,0,26,0
"FLT3 inhibitor","NES","RAF inhibitor",0.36805,0.994,0.461,65,0.504
"FLT3 inhibitor","NES","RET tyrosine kinase inhibitor",0.753,2.05,0.00137,22,0.00433
"FLT3 inhibitor","NES","src inhibitor",0.46264,1.24,0.215,46,0.278
"FLT3 inhibitor","NES","topoisomerase inhibitor",-0.46358,-1.41,0.121,70,0.194
"FLT3 inhibitor","NES","tubulin polymerization inhibitor",-0.53642,-1.65,0.046,81,0.163
"FLT3 inhibitor","NES","tyrosine kinase inhibitor",0.63279,1.72,0.0201,46,0.0401
"FLT3 inhibitor","NES","VEGFR inhibitor",0.79777,2.15,0,26,0.00108
"KIT inhibitor","NES","EGFR inhibitor",0.30612,0.829,0.657,111,0.658
"KIT inhibitor","NES","Abl kinase inhibitor",0.6582,1.74,0.011,44,0.043
"KIT inhibitor","NES","BCL inhibitor",0.34781,0.933,0.536,30,0.582
"KIT inhibitor","NES","FLT3 inhibitor",0.78667,2.11,0.00162,38,0.00247
"KIT inhibitor","NES","KIT inhibitor",0.82999,2.24,0,18,0.000823
"KIT inhibitor","NES","mTOR inhibitor",-0.32667,-0.95,0.522,49,0.496
"KIT inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.89873,2.42,0,18,0
"KIT inhibitor","NES","RAF inhibitor",0.50074,1.38,0.144,46,0.183
"KIT inhibitor","NES","RET tyrosine kinase inhibitor",0.78808,2.1,0.00313,37,0.00222
"KIT inhibitor","NES","src inhibitor",0.49446,1.36,0.15,44,0.176
"KIT inhibitor","NES","topoisomerase inhibitor",-0.8543,-2.5,0,129,0.00059
"KIT inhibitor","NES","tubulin polymerization inhibitor",-0.7221,-2.17,0,131,0.00383
"KIT inhibitor","NES","tyrosine kinase inhibitor",0.62559,1.67,0.0398,44,0.0555
"KIT inhibitor","NES","VEGFR inhibitor",0.85062,2.25,0,19,0.000617
"mTOR inhibitor","NES","EGFR inhibitor",-0.20408,-0.629,0.904,30,0.885
"mTOR inhibitor","NES","Abl kinase inhibitor",0.35762,1,0.436,102,0.563
"mTOR inhibitor","NES","BCL inhibitor",-0.35762,-1.08,0.316,54,1
"mTOR inhibitor","NES","FLT3 inhibitor",-0.25333,-0.768,0.701,38,0.966
"mTOR inhibitor","NES","KIT inhibitor",0.37409,1.04,0.395,60,0.586
"mTOR inhibitor","NES","mTOR inhibitor",0.98,2.72,0,9,0
"mTOR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.40714,1.11,0.358,60,0.849
"mTOR inhibitor","NES","RAF inhibitor",-0.30361,-0.94,0.492,114,1
"mTOR inhibitor","NES","RET tyrosine kinase inhibitor",0.34272,0.94,0.512,60,0.516
"mTOR inhibitor","NES","src inhibitor",0.53642,1.48,0.0896,75,0.44
"mTOR inhibitor","NES","topoisomerase inhibitor",0.39594,1.09,0.346,72,0.715
"mTOR inhibitor","NES","tubulin polymerization inhibitor",0.53642,1.47,0.103,75,0.306
"mTOR inhibitor","NES","tyrosine kinase inhibitor",0.38101,1.06,0.396,69,0.647
"mTOR inhibitor","NES","VEGFR inhibitor",0.34716,0.953,0.509,64,0.556
"PDGFR tyrosine kinase receptor inhibitor","NES","EGFR inhibitor",-0.26531,-0.808,0.668,39,0.679
"PDGFR tyrosine kinase receptor inhibitor","NES","Abl kinase inhibitor",0.59147,1.54,0.0622,28,0.0862
