"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"ABT.737","Pearson.est","EGFR inhibitor",0.51921,1.18,0.258,54,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","Abl kinase inhibitor",0.25099,0.573,0.953,100,0.954,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","FLT3 inhibitor",0.32215,0.747,0.814,107,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","KIT inhibitor",-0.22917,-0.624,0.908,33,0.929,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","mTOR inhibitor",0.38563,0.896,0.612,79,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.27205,0.617,0.92,89,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","RAF inhibitor",0.37973,0.868,0.644,62,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","RET tyrosine kinase inhibitor",0.38392,0.872,0.638,80,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","src inhibitor",-0.47333,-1.28,0.156,71,0.481,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","topoisomerase inhibitor",0.46942,1.07,0.367,68,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","tubulin polymerization inhibitor",-0.34667,-0.964,0.49,52,0.727,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","tyrosine kinase inhibitor",0.32432,0.747,0.803,107,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","VEGFR inhibitor",0.38362,0.881,0.628,62,1,FALSE,NA,"BCL inhibitor"
"AM.580","Pearson.est","EGFR inhibitor",0.24293,0.588,0.939,109,0.937,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","Abl kinase inhibitor",0.31699,0.765,0.773,75,0.922,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","BCL inhibitor",0.72132,1.76,0.00832,24,0.139,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","FLT3 inhibitor",0.3902,0.954,0.509,18,0.76,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","KIT inhibitor",0.30083,0.737,0.789,26,0.876,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","mTOR inhibitor",0.44798,1.08,0.359,33,0.787,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.47605,1.17,0.264,26,0.698,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","RAF inhibitor",0.42297,1.02,0.434,18,0.813,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","RET tyrosine kinase inhibitor",0.5323,1.28,0.174,18,1,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","src inhibitor",-0.49333,-1.36,0.153,74,0.134,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","topoisomerase inhibitor",0.51113,1.25,0.191,35,0.636,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","tubulin polymerization inhibitor",0.52188,1.27,0.17,43,0.777,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","tyrosine kinase inhibitor",0.37799,0.906,0.601,18,0.774,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","VEGFR inhibitor",0.39508,0.969,0.515,26,0.824,FALSE,NA,"retinoid receptor agonist"
"AT13387","Pearson.est","EGFR inhibitor",-0.47222,-1.28,0.222,68,0.331,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","Abl kinase inhibitor",0.31757,0.772,0.747,106,0.907,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","BCL inhibitor",0.29783,0.724,0.807,51,0.815,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","FLT3 inhibitor",0.31463,0.769,0.766,71,0.829,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","KIT inhibitor",0.32394,0.777,0.77,107,1,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","mTOR inhibitor",0.67986,1.63,0.0223,27,0.156,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.39358,0.947,0.514,72,0.91,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","RAF inhibitor",-0.32653,-0.93,0.568,48,0.545,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","RET tyrosine kinase inhibitor",0.56757,1.35,0.132,69,0.534,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","src inhibitor",0.47139,1.15,0.293,66,0.702,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","topoisomerase inhibitor",0.46467,1.12,0.308,41,0.647,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","tubulin polymerization inhibitor",0.93243,2.23,0,15,0,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","tyrosine kinase inhibitor",0.48853,1.17,0.279,69,0.819,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","VEGFR inhibitor",0.33577,0.794,0.734,107,1,FALSE,NA,"HSP antagonist"
"AT7867","Pearson.est","EGFR inhibitor",-0.58904,-1.62,0.0662,86,0.136,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","Abl kinase inhibitor",0.50174,1.21,0.227,73,0.619,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","BCL inhibitor",-0.38,-1.03,0.432,57,0.4,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","FLT3 inhibitor",0.47967,1.16,0.259,46,0.601,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","KIT inhibitor",0.36453,0.883,0.61,86,0.847,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","mTOR inhibitor",0.74497,1.78,0.00482,44,0.0323,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.37762,0.915,0.575,101,0.898,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","RAF inhibitor",-0.55705,-1.53,0.0699,83,0.0981,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","RET tyrosine kinase inhibitor",0.36,0.876,0.607,101,0.689,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","src inhibitor",0.44218,1.07,0.376,73,0.677,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","topoisomerase inhibitor",0.84667,2.04,0,28,0.00231,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","tubulin polymerization inhibitor",0.91333,2.22,0,18,0.000923,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","tyrosine kinase inhibitor",0.36486,0.882,0.621,101,0.754,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","VEGFR inhibitor",0.34346,0.828,0.679,103,0.692,FALSE,NA,"AKT inhibitor"
"AZD1480","Pearson.est","EGFR inhibitor",-0.60417,-1.58,0.0488,87,0.186,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","Abl kinase inhibitor",0.39937,0.927,0.546,17,0.93,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","BCL inhibitor",-0.32432,-0.812,0.693,48,0.686,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","FLT3 inhibitor",0.31517,0.719,0.831,55,0.927,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","KIT inhibitor",0.46037,1.07,0.371,24,0.933,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","mTOR inhibitor",0.78231,1.78,0.00356,38,0.0638,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.43045,0.978,0.489,24,0.984,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","RAF inhibitor",-0.52381,-1.36,0.169,77,0.266,FALSE,NA,"JAK inhibitor"
