"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.97203,2.83,0,12,0
"EGFR inhibitor","NES","BCL inhibitor",-0.34274,-0.933,0.516,102,0.683
"EGFR inhibitor","NES","FLT3 inhibitor",-0.45156,-1.24,0.23,123,0.655
"EGFR inhibitor","NES","KIT inhibitor",-0.41379,-1.14,0.285,70,0.55
"EGFR inhibitor","NES","mTOR inhibitor",-0.32414,-0.876,0.618,47,0.605
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.45055,-1.23,0.221,70,0.51
"EGFR inhibitor","NES","RAF inhibitor",-0.39511,-1.07,0.373,123,0.556
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.75342,-2.06,0.00859,110,0.00769
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.88356,-2.39,0,129,0.00154
"EGFR inhibitor","NES","VEGFR inhibitor",-0.32683,-0.88,0.595,66,0.675
"Abl kinase inhibitor","NES","EGFR inhibitor",0.86331,2.33,0,27,0
"Abl kinase inhibitor","NES","BCL inhibitor",-0.47183,-1.41,0.118,67,0.162
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.70423,1.91,0.0124,47,0.0135
"Abl kinase inhibitor","NES","KIT inhibitor",0.69065,1.87,0.0159,51,0.0148
"Abl kinase inhibitor","NES","mTOR inhibitor",-0.55375,-1.63,0.0563,125,0.225
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.70073,1.92,0.00805,51,0.0174
"Abl kinase inhibitor","NES","RAF inhibitor",0.40307,1.1,0.323,45,0.347
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.50704,-1.49,0.0886,72,0.194
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.45775,-1.35,0.145,65,0.15
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.64899,1.76,0.0187,52,0.0267
"BCL inhibitor","NES","EGFR inhibitor",0.25827,0.726,0.781,85,0.942
"BCL inhibitor","NES","FLT3 inhibitor",0.36636,1.02,0.426,33,1
"BCL inhibitor","NES","KIT inhibitor",0.30414,0.856,0.609,31,0.939
"BCL inhibitor","NES","mTOR inhibitor",-0.47143,-1.46,0.0947,66,0.318
"BCL inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.21931,0.614,0.892,31,0.895
"BCL inhibitor","NES","RAF inhibitor",0.65009,1.85,0.0123,35,0.0721
"BCL inhibitor","NES","topoisomerase inhibitor",0.34752,0.97,0.496,97,0.97
"BCL inhibitor","NES","tubulin polymerization inhibitor",-0.43262,-1.3,0.181,61,0.28
"BCL inhibitor","NES","VEGFR inhibitor",-0.3433,-1.04,0.39,115,0.39
"FLT3 inhibitor","NES","EGFR inhibitor",-0.4965,-1.49,0.0965,71,0.141
"FLT3 inhibitor","NES","BCL inhibitor",0.46531,1.3,0.192,41,0.25
"FLT3 inhibitor","NES","FLT3 inhibitor",0.8069,2.18,0,34,0.000479
"FLT3 inhibitor","NES","KIT inhibitor",0.88028,2.4,0,26,0
"FLT3 inhibitor","NES","mTOR inhibitor",0.32076,0.874,0.598,88,0.607
"FLT3 inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.89286,2.43,0,26,0
"FLT3 inhibitor","NES","RAF inhibitor",0.42573,1.12,0.322,22,0.381
"FLT3 inhibitor","NES","topoisomerase inhibitor",-0.45205,-1.35,0.145,66,0.151
"FLT3 inhibitor","NES","tubulin polymerization inhibitor",-0.5274,-1.61,0.0788,77,0.187
"FLT3 inhibitor","NES","VEGFR inhibitor",0.9058,2.5,0,26,0
"KIT inhibitor","NES","EGFR inhibitor",0.30769,0.824,0.66,107,0.67
"KIT inhibitor","NES","BCL inhibitor",0.34146,0.937,0.539,30,0.624
"KIT inhibitor","NES","FLT3 inhibitor",0.78621,2.14,0.00312,37,0.00248
"KIT inhibitor","NES","KIT inhibitor",0.93662,2.53,0,18,0
"KIT inhibitor","NES","mTOR inhibitor",-0.32414,-0.955,0.459,47,0.491
"KIT inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.95,2.56,0,18,0
"KIT inhibitor","NES","RAF inhibitor",0.59763,1.59,0.0436,44,0.0628
"KIT inhibitor","NES","topoisomerase inhibitor",-0.85616,-2.51,0,125,0.000823
"KIT inhibitor","NES","tubulin polymerization inhibitor",-0.72418,-2.12,0.00273,127,0.00741
"KIT inhibitor","NES","VEGFR inhibitor",0.95652,2.61,0,19,0
"mTOR inhibitor","NES","EGFR inhibitor",-0.25417,-0.758,0.745,63,0.749
"mTOR inhibitor","NES","BCL inhibitor",-0.34932,-1.07,0.375,51,0.528
"mTOR inhibitor","NES","FLT3 inhibitor",0.2558,0.699,0.819,98,0.829
"mTOR inhibitor","NES","KIT inhibitor",0.3953,1.08,0.335,72,0.617
"mTOR inhibitor","NES","mTOR inhibitor",0.97931,2.73,0,9,0
"mTOR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.38343,1.05,0.392,57,0.541
"mTOR inhibitor","NES","RAF inhibitor",-0.48655,-1.48,0.101,110,0.282
"mTOR inhibitor","NES","topoisomerase inhibitor",0.40791,1.13,0.292,68,0.709
"mTOR inhibitor","NES","tubulin polymerization inhibitor",0.54795,1.52,0.0788,71,0.254
"mTOR inhibitor","NES","VEGFR inhibitor",0.32837,0.887,0.581,72,0.693
"PDGFR tyrosine kinase receptor inhibitor","NES","EGFR inhibitor",-0.3007,-0.931,0.502,43,0.514
"PDGFR tyrosine kinase receptor inhibitor","NES","BCL inhibitor",0.36301,0.92,0.544,98,0.637
"PDGFR tyrosine kinase receptor inhibitor","NES","FLT3 inhibitor",0.82069,2.1,0,32,0.000813
"PDGFR tyrosine kinase receptor inhibitor","NES","KIT inhibitor",0.94366,2.4,0,17,0
"PDGFR tyrosine kinase receptor inhibitor","NES","mTOR inhibitor",0.30608,0.778,0.734,81,0.736
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.95714,2.49,0,17,0
"PDGFR tyrosine kinase receptor inhibitor","NES","RAF inhibitor",0.52022,1.37,0.134,14,0.214
"PDGFR tyrosine kinase receptor inhibitor","NES","topoisomerase inhibitor",-0.41922,-1.26,0.188,125,0.409
"PDGFR tyrosine kinase receptor inhibitor","NES","tubulin polymerization inhibitor",0.43151,1.12,0.321,88,0.43
"PDGFR tyrosine kinase receptor inhibitor","NES","VEGFR inhibitor",0.92754,2.4,0,23,0
"RAF inhibitor","NES","EGFR inhibitor",-0.57192,-1.66,0.0598,131,0.0916
"RAF inhibitor","NES","BCL inhibitor",0.5137,1.52,0.0793,76,0.0983
"RAF inhibitor","NES","FLT3 inhibitor",0.46393,1.32,0.169,24,0.172
"RAF inhibitor","NES","KIT inhibitor",0.59155,1.74,0.0526,67,0.0506
"RAF inhibitor","NES","mTOR inhibitor",-0.43722,-1.29,0.182,87,0.251
"RAF inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.67787,2,0.00936,36,0.0192
"RAF inhibitor","NES","RAF inhibitor",0.82877,2.41,0,30,0
"RAF inhibitor","NES","topoisomerase inhibitor",-0.43836,-1.27,0.181,64,0.204
"RAF inhibitor","NES","tubulin polymerization inhibitor",-0.62329,-1.81,0.0256,91,0.0891
"RAF inhibitor","NES","VEGFR inhibitor",0.6087,1.76,0.0287,67,0.0582
"RET tyrosine kinase inhibitor","NES","EGFR inhibitor",0.52518,1.42,0.108,74,0.132
"RET tyrosine kinase inhibitor","NES","BCL inhibitor",0.43662,1.22,0.212,85,0.239
"RET tyrosine kinase inhibitor","NES","KIT inhibitor",0.82584,2.24,0,12,0
"RET tyrosine kinase inhibitor","NES","mTOR inhibitor",-0.31778,-0.951,0.499,79,0.501
"RET tyrosine kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.77519,2.13,0,10,0.000671
"RET tyrosine kinase inhibitor","NES","topoisomerase inhibitor",-0.75352,-2.22,0.00517,107,0.00297
"RET tyrosine kinase inhibitor","NES","tubulin polymerization inhibitor",-0.47887,-1.45,0.0968,68,0.142
"RET tyrosine kinase inhibitor","NES","VEGFR inhibitor",0.86803,2.41,0,14,0
"src inhibitor","NES","EGFR inhibitor",0.97842,2.77,0,11,0
"src inhibitor","NES","BCL inhibitor",-0.63264,-1.97,0.0238,117,0.038
"src inhibitor","NES","FLT3 inhibitor",0.42265,1.19,0.274,29,0.398
"src inhibitor","NES","KIT inhibitor",0.55158,1.54,0.0589,30,0.122
"src inhibitor","NES","mTOR inhibitor",0.33715,0.959,0.51,82,0.496
"src inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.54848,1.56,0.0522,40,0.169
"src inhibitor","NES","RAF inhibitor",-0.57537,-1.8,0.0157,124,0.0423
"src inhibitor","NES","topoisomerase inhibitor",-0.47887,-1.46,0.106,68,0.104
"src inhibitor","NES","VEGFR inhibitor",0.40422,1.13,0.302,27,0.375
"topoisomerase inhibitor","NES","EGFR inhibitor",-0.68747,-2.2,0.00379,114,0.0244
"topoisomerase inhibitor","NES","BCL inhibitor",0.26707,0.737,0.79,66,0.783
"topoisomerase inhibitor","NES","FLT3 inhibitor",-0.37364,-1.16,0.297,87,0.407
"topoisomerase inhibitor","NES","KIT inhibitor",-0.47625,-1.49,0.107,87,0.272
"topoisomerase inhibitor","NES","mTOR inhibitor",0.35971,0.996,0.464,95,0.688
"topoisomerase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.29851,-0.958,0.478,40,0.577
"topoisomerase inhibitor","NES","RAF inhibitor",-0.38571,-1.19,0.239,54,0.492
"topoisomerase inhibitor","NES","tubulin polymerization inhibitor",0.82857,2.26,0.00137,29,0.00138
"topoisomerase inhibitor","NES","VEGFR inhibitor",-0.30303,-0.957,0.476,40,0.482
"tubulin polymerization inhibitor","NES","EGFR inhibitor",-0.77941,-2.45,0.00593,106,0.0042
"tubulin polymerization inhibitor","NES","BCL inhibitor",-0.31655,-1.04,0.374,44,0.383
"tubulin polymerization inhibitor","NES","FLT3 inhibitor",0.34936,0.976,0.492,81,0.965
"tubulin polymerization inhibitor","NES","KIT inhibitor",0.30241,0.875,0.613,93,0.733
"tubulin polymerization inhibitor","NES","mTOR inhibitor",0.47506,1.33,0.157,60,0.457
"tubulin polymerization inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.33515,0.966,0.488,81,0.746
"tubulin polymerization inhibitor","NES","RAF inhibitor",-0.62003,-1.95,0.00943,135,0.0263
"tubulin polymerization inhibitor","NES","topoisomerase inhibitor",0.73381,2.01,0.00288,42,0.0254
"tubulin polymerization inhibitor","NES","VEGFR inhibitor",0.30595,0.853,0.648,81,0.636
"tyrosine kinase inhibitor","NES","EGFR inhibitor",0.63558,1.72,0.0281,45,0.0357
"tyrosine kinase inhibitor","NES","BCL inhibitor",0.32159,0.886,0.589,35,0.59
"tyrosine kinase inhibitor","NES","FLT3 inhibitor",0.73342,2,0.00403,25,0.00541
"tyrosine kinase inhibitor","NES","KIT inhibitor",0.7794,2.13,0.00393,27,0.00251
"tyrosine kinase inhibitor","NES","mTOR inhibitor",-0.26897,-0.847,0.649,39,0.626
"tyrosine kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.79337,2.19,0.00137,29,0.00376
"tyrosine kinase inhibitor","NES","RAF inhibitor",0.47122,1.29,0.187,14,0.215
"tyrosine kinase inhibitor","NES","topoisomerase inhibitor",-0.58441,-1.81,0.0433,123,0.0915
"tyrosine kinase inhibitor","NES","tubulin polymerization inhibitor",-0.53425,-1.63,0.0478,78,0.081
"tyrosine kinase inhibitor","NES","VEGFR inhibitor",0.88406,2.43,0,29,0
"VEGFR inhibitor","NES","EGFR inhibitor",-0.42597,-1.3,0.176,87,0.18
"VEGFR inhibitor","NES","BCL inhibitor",0.51785,1.35,0.14,57,0.176
"VEGFR inhibitor","NES","FLT3 inhibitor",0.76045,1.97,0.00138,25,0.00381
"VEGFR inhibitor","NES","KIT inhibitor",0.93662,2.43,0,18,0
"VEGFR inhibitor","NES","mTOR inhibitor",0.31253,0.819,0.679,87,0.683
"VEGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.95,2.48,0,18,0
"VEGFR inhibitor","NES","RAF inhibitor",0.59746,1.58,0.058,46,0.069
"VEGFR inhibitor","NES","topoisomerase inhibitor",-0.60274,-1.82,0.0444,88,0.0756
"VEGFR inhibitor","NES","tubulin polymerization inhibitor",-0.5411,-1.68,0.0463,79,0.066
"VEGFR inhibitor","NES","VEGFR inhibitor",0.97101,2.55,0,17,0
