"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.97203,2.83,0,0,TRUE,8.50235239928893,0.97203,2.83,0,0,TRUE,8.50235239928893,2,8.50235239928893,0,2.83,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21951219512195,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.25827,0.726,0.781,0.942,FALSE,0.018839044572371,-0.34274,-0.933,0.516,0.683,FALSE,-0.15448548346513,0,-0.0678232194463795,0.122558949121275,-0.1035,1.17309014998848,0.769250307670569,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & FLT3 inhibitor","EGFR inhibitor","FLT3 inhibitor",-0.45156,-1.24,0.23,0.655,FALSE,-0.227860788010189,-0.4965,-1.49,0.0965,0.141,FALSE,-1.26766352214348,0,-0.747762155076837,0.735251564401966,-1.365,0.176776695296637,0.106711079502251,FALSE,4.76190476190476,"TRUE",FALSE
"EGFR inhibitor & KIT inhibitor","EGFR inhibitor","KIT inhibitor",-0.41379,-1.14,0.285,0.55,FALSE,-0.295986533976562,0.30769,0.824,0.66,0.67,FALSE,0.143314362574519,0,-0.0763360857010215,0.310632642932599,-0.158,1.38875771825038,0.502374008177196,FALSE,14.4736842105263,"TRUE",FALSE
"EGFR inhibitor & mTOR inhibitor","EGFR inhibitor","mTOR inhibitor",-0.32414,-0.876,0.618,0.605,FALSE,-0.191182291804437,-0.25417,-0.758,0.745,0.749,FALSE,-0.0951427821838044,0,-0.143162536994121,0.0679101885145802,-0.817,0.0834386001800126,0.817521437310103,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & PDGFR tyrosine kinase receptor inhibitor","EGFR inhibitor","PDGFR tyrosine kinase receptor inhibitor",-0.45055,-1.23,0.221,0.51,FALSE,-0.359688683399538,-0.3007,-0.931,0.502,0.514,FALSE,-0.269093336215398,0,-0.314391009807468,0.064060584337855,-1.0805,0.211424927574778,0.35487547141105,FALSE,18.9873417721519,"TRUE",FALSE
"EGFR inhibitor & RAF inhibitor","EGFR inhibitor","RAF inhibitor",-0.39511,-1.07,0.373,0.556,FALSE,-0.272769973007198,-0.57192,-1.66,0.0598,0.0916,FALSE,-1.72325351371137,0,-0.998011743359283,1.02564674763139,-1.365,0.417193000900063,0.107131196248192,FALSE,3.75,"TRUE",FALSE
"EGFR inhibitor & RET tyrosine kinase inhibitor","EGFR inhibitor","RET tyrosine kinase inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94444444444444,"FALSE",FALSE
"EGFR inhibitor & src inhibitor","EGFR inhibitor","src inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,"FALSE",FALSE
