"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.96599,2.83,0,14,0
"EGFR inhibitor","NES","Abl kinase inhibitor",0.48326,1.45,0.0971,7,0.177
"EGFR inhibitor","NES","BCL inhibitor",-0.21204,-0.578,0.926,77,1
"EGFR inhibitor","NES","FLT3 inhibitor",-0.40833,-1.11,0.334,118,0.755
"EGFR inhibitor","NES","KIT inhibitor",-0.1826,-0.5,0.964,65,0.968
"EGFR inhibitor","NES","mTOR inhibitor",-0.3457,-0.963,0.487,66,0.903
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.24255,-0.678,0.847,152,1
"EGFR inhibitor","NES","RAF inhibitor",-0.5513,-1.52,0.0574,95,0.204
"EGFR inhibitor","NES","RET tyrosine kinase inhibitor",0.29361,0.881,0.597,3,0.575
"EGFR inhibitor","NES","src inhibitor",0.63687,1.92,0.0173,10,0.03
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.73872,-1.97,0.00649,137,0.0157
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.80795,-2.21,0.00165,122,0.0021
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.36287,1.11,0.343,7,0.41
"EGFR inhibitor","NES","VEGFR inhibitor",-0.26695,-0.735,0.773,118,1
"Abl kinase inhibitor","NES","EGFR inhibitor",0.89437,2.48,0,24,0
"Abl kinase inhibitor","NES","BCL inhibitor",-0.84932,-2.47,0.00227,124,0.000794
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.74658,2.08,0.00355,42,0.00728
"Abl kinase inhibitor","NES","KIT inhibitor",0.62857,1.71,0.0316,49,0.0421
"Abl kinase inhibitor","NES","mTOR inhibitor",-0.67669,-2.03,0.00473,136,0.0139
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.64539,1.82,0.022,60,0.026
"Abl kinase inhibitor","NES","RAF inhibitor",0.31833,0.879,0.581,81,0.588
"Abl kinase inhibitor","NES","RET tyrosine kinase inhibitor",0.78767,2.18,0.00348,36,0.00402
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.67123,-1.91,0.0137,98,0.018
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.42466,-1.29,0.176,62,0.185
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.69684,1.91,0.00514,36,0.0161
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.58166,1.59,0.0634,36,0.0657
"BCL inhibitor","NES","EGFR inhibitor",0.21832,0.629,0.898,103,0.878
"BCL inhibitor","NES","Abl kinase inhibitor",-0.21751,-0.658,0.824,103,0.851
"BCL inhibitor","NES","FLT3 inhibitor",0.34352,0.976,0.498,39,0.952
"BCL inhibitor","NES","KIT inhibitor",0.25316,0.706,0.793,30,1
"BCL inhibitor","NES","mTOR inhibitor",-0.45517,-1.33,0.18,66,0.581
"BCL inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.24179,-0.719,0.787,139,0.912
"BCL inhibitor","NES","RAF inhibitor",0.52527,1.49,0.0839,53,0.532
"BCL inhibitor","NES","RET tyrosine kinase inhibitor",0.35508,1.03,0.403,27,1
"BCL inhibitor","NES","src inhibitor",-0.46059,-1.38,0.135,103,1
"BCL inhibitor","NES","topoisomerase inhibitor",-0.41781,-1.23,0.227,61,0.526
"BCL inhibitor","NES","tubulin polymerization inhibitor",-0.36301,-1.11,0.352,53,0.566
"BCL inhibitor","NES","tyrosine kinase inhibitor",0.24406,0.681,0.818,27,0.992
"BCL inhibitor","NES","VEGFR inhibitor",-0.28908,-0.882,0.552,142,0.799
"FLT3 inhibitor","NES","EGFR inhibitor",-0.38776,-1.16,0.263,57,0.555
"FLT3 inhibitor","NES","Abl kinase inhibitor",0.62315,1.68,0.0231,40,0.0502
"FLT3 inhibitor","NES","BCL inhibitor",0.29822,0.806,0.675,61,0.697
"FLT3 inhibitor","NES","FLT3 inhibitor",0.79333,2.1,0,37,0.00494
"FLT3 inhibitor","NES","KIT inhibitor",0.76193,2,0.00263,27,0.00617
"FLT3 inhibitor","NES","mTOR inhibitor",-0.34893,-1.06,0.362,88,0.369
"FLT3 inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.809,2.18,0,30,0.00198
"FLT3 inhibitor","NES","RAF inhibitor",0.36278,0.975,0.496,47,0.537
"FLT3 inhibitor","NES","RET tyrosine kinase inhibitor",0.73482,1.98,0.00285,24,0.00593
"FLT3 inhibitor","NES","src inhibitor",0.48405,1.29,0.187,65,0.236
"FLT3 inhibitor","NES","topoisomerase inhibitor",-0.71523,-2.17,0.00337,108,0.0124
"FLT3 inhibitor","NES","tubulin polymerization inhibitor",-0.36424,-1.09,0.345,55,0.458
"FLT3 inhibitor","NES","tyrosine kinase inhibitor",0.58126,1.56,0.0411,40,0.0776
"FLT3 inhibitor","NES","VEGFR inhibitor",0.75997,2.02,0.0055,30,0.00724
"KIT inhibitor","NES","EGFR inhibitor",0.37415,1.03,0.405,101,0.495
"KIT inhibitor","NES","Abl kinase inhibitor",0.64778,1.73,0.0266,44,0.048
"KIT inhibitor","NES","BCL inhibitor",0.25661,0.681,0.834,82,0.831
"KIT inhibitor","NES","FLT3 inhibitor",0.74667,2.05,0.00515,44,0.00645
"KIT inhibitor","NES","KIT inhibitor",0.81801,2.2,0,29,0.00147
"KIT inhibitor","NES","mTOR inhibitor",0.3,0.8,0.708,111,0.756
"KIT inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.88194,2.33,0,29,0.00147
"KIT inhibitor","NES","RAF inhibitor",0.55522,1.51,0.0901,57,0.109
"KIT inhibitor","NES","RET tyrosine kinase inhibitor",0.76821,2.12,0.00177,40,0.00367
"KIT inhibitor","NES","src inhibitor",0.57239,1.57,0.054,29,0.0902
"KIT inhibitor","NES","topoisomerase inhibitor",-0.84106,-2.43,0,127,0.000687
"KIT inhibitor","NES","tubulin polymerization inhibitor",-0.76159,-2.25,0.00253,115,0.00172
