"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"ABT.737","Pearson.est","EGFR inhibitor",0.31335,0.723,0.828,87,0.828,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","Abl kinase inhibitor",-0.50667,-1.43,0.101,76,0.833,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","FLT3 inhibitor",-0.3557,-0.979,0.426,53,0.62,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","KIT inhibitor",-0.35417,-0.945,0.526,51,0.505,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","mTOR inhibitor",0.50609,1.18,0.272,51,0.643,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.35664,-0.974,0.435,51,0.537,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","RAF inhibitor",0.38546,0.902,0.622,58,1,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","RET tyrosine kinase inhibitor",-0.35333,-0.985,0.47,53,0.732,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","src inhibitor",-0.46667,-1.34,0.108,70,0.567,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","topoisomerase inhibitor",0.7,1.64,0.0273,50,0.116,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","tubulin polymerization inhibitor",-0.42667,-1.21,0.189,64,0.585,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","tyrosine kinase inhibitor",-0.35811,-1,0.451,53,0.884,FALSE,NA,"BCL inhibitor"
"ABT.737","Pearson.est","VEGFR inhibitor",0.30719,0.727,0.817,60,1,FALSE,NA,"BCL inhibitor"
"AM.580","Pearson.est","EGFR inhibitor",0.27434,0.675,0.866,92,1,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","Abl kinase inhibitor",0.23908,0.58,0.941,18,0.942,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","BCL inhibitor",0.68667,1.67,0.0193,52,0.287,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","FLT3 inhibitor",0.38714,0.947,0.539,17,0.854,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","KIT inhibitor",0.27288,0.667,0.872,99,0.948,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","mTOR inhibitor",0.5451,1.36,0.129,59,0.809,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.35744,0.87,0.628,72,0.915,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","RAF inhibitor",0.52581,1.28,0.194,40,0.762,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","RET tyrosine kinase inhibitor",0.49248,1.2,0.251,17,0.522,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","src inhibitor",-0.44667,-1.3,0.137,67,0.176,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","topoisomerase inhibitor",0.5071,1.25,0.181,34,0.518,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","tubulin polymerization inhibitor",0.51189,1.26,0.191,39,0.623,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","tyrosine kinase inhibitor",0.34225,0.833,0.689,43,0.891,FALSE,NA,"retinoid receptor agonist"
"AM.580","Pearson.est","VEGFR inhibitor",0.38747,0.958,0.504,44,0.949,FALSE,NA,"retinoid receptor agonist"
"AT13387","Pearson.est","EGFR inhibitor",-0.47917,-1.32,0.171,69,0.625,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","Abl kinase inhibitor",0.36076,0.886,0.6,45,0.869,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","BCL inhibitor",0.43685,1.07,0.379,48,0.76,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","FLT3 inhibitor",0.25516,0.621,0.922,101,0.913,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","KIT inhibitor",-0.41549,-1.16,0.262,59,0.35,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","mTOR inhibitor",0.45084,1.09,0.363,56,0.89,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.27715,-0.775,0.753,59,0.742,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","RAF inhibitor",-0.45578,-1.26,0.187,67,0.387,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","RET tyrosine kinase inhibitor",0.45946,1.11,0.327,85,1,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","src inhibitor",0.36417,0.866,0.661,80,0.796,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","topoisomerase inhibitor",0.67632,1.65,0.027,33,0.116,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","tubulin polymerization inhibitor",0.96622,2.33,0,10,0,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","tyrosine kinase inhibitor",0.37296,0.913,0.572,85,0.956,FALSE,NA,"HSP antagonist"
"AT13387","Pearson.est","VEGFR inhibitor",0.29902,0.722,0.817,85,0.91,FALSE,NA,"HSP antagonist"
"AT7867","Pearson.est","EGFR inhibitor",-0.58219,-1.59,0.0331,85,0.0672,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","Abl kinase inhibitor",0.45002,1.08,0.382,82,0.802,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","BCL inhibitor",-0.32516,-0.862,0.64,100,0.623,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","FLT3 inhibitor",0.54605,1.3,0.146,39,0.423,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","KIT inhibitor",0.34759,0.86,0.653,78,0.791,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","mTOR inhibitor",0.71812,1.75,0.0133,48,0.0439,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.3545,0.865,0.632,78,0.879,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","RAF inhibitor",-0.60403,-1.62,0.0314,90,0.118,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","RET tyrosine kinase inhibitor",0.28667,0.709,0.849,112,0.927,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","src inhibitor",0.36954,0.897,0.577,82,0.936,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","topoisomerase inhibitor",0.72,1.75,0.013,47,0.0439,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","tubulin polymerization inhibitor",0.86667,2.11,0,25,0.00553,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","tyrosine kinase inhibitor",0.38236,0.909,0.584,10,1,FALSE,NA,"AKT inhibitor"
"AT7867","Pearson.est","VEGFR inhibitor",0.27924,0.677,0.881,112,0.874,FALSE,NA,"AKT inhibitor"
"AZD1480","Pearson.est","EGFR inhibitor",-0.58333,-1.63,0.0303,84,0.161,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","Abl kinase inhibitor",0.44532,1.03,0.427,12,0.772,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","BCL inhibitor",-0.49324,-1.34,0.159,73,0.357,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","FLT3 inhibitor",0.40477,0.942,0.558,78,0.691,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","KIT inhibitor",0.44397,1.05,0.394,24,0.909,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","mTOR inhibitor",0.77551,1.82,0.00601,39,0.0411,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.39395,0.918,0.584,80,0.642,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","RAF inhibitor",-0.4898,-1.33,0.133,72,0.245,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","RET tyrosine kinase inhibitor",-0.32432,-0.891,0.605,48,0.583,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","src inhibitor",0.61452,1.41,0.106,25,0.416,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","topoisomerase inhibitor",-0.39865,-1.08,0.34,59,0.457,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","tubulin polymerization inhibitor",0.5473,1.26,0.175,72,0.565,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","tyrosine kinase inhibitor",0.29101,0.684,0.868,76,0.864,FALSE,NA,"JAK inhibitor"
"AZD1480","Pearson.est","VEGFR inhibitor",0.42275,1.01,0.441,35,0.679,FALSE,NA,"JAK inhibitor"
"AZD4547","Pearson.est","EGFR inhibitor",-0.52055,-1.36,0.109,76,0.248,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","Abl kinase inhibitor",0.49142,1.09,0.36,2,0.523,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","BCL inhibitor",-0.34,-0.883,0.576,51,0.59,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","FLT3 inhibitor",0.6329,1.45,0.0703,10,0.416,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","KIT inhibitor",0.56034,1.29,0.151,7,0.316,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","mTOR inhibitor",0.61074,1.4,0.0842,64,0.363,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.61294,1.39,0.0978,35,0.283,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","RAF inhibitor",0.43605,1,0.458,68,0.504,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","RET tyrosine kinase inhibitor",0.5323,1.19,0.243,11,0.421,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","src inhibitor",0.40883,0.919,0.584,31,0.577,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","topoisomerase inhibitor",0.48146,1.07,0.379,41,0.498,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","tubulin polymerization inhibitor",0.59333,1.34,0.119,66,0.301,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","tyrosine kinase inhibitor",0.4527,1.01,0.452,88,0.54,FALSE,NA,"FGFR inhibitor"
"AZD4547","Pearson.est","VEGFR inhibitor",0.68989,1.56,0.0325,15,0.446,FALSE,NA,"FGFR inhibitor"
"AZD6482","Pearson.est","EGFR inhibitor",0.59082,1.47,0.094,57,0.324,FALSE,NA,"PI3K inhibitor"
