"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.96599,2.83,0,0,TRUE,8.50235239928893,0.96599,2.83,0,0,TRUE,8.50235239928893,2,8.50235239928893,0,2.83,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.89437,2.48,0,0,TRUE,7.45082471739808,0.48326,1.45,0.0971,0.177,FALSE,1.09043876377538,1,4.27063174058673,4.49747203877027,1.965,0.728319984622144,0.000985304900495857,FALSE,1.21951219512195,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.21832,0.629,0.898,0.878,FALSE,0.0355419494950615,-0.21204,-0.578,0.926,1,FALSE,0,0,0.0177709747475307,0.0251319535045478,0.0255,0.853477884892163,0.984940545425957,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & FLT3 inhibitor","EGFR inhibitor","FLT3 inhibitor",-0.40833,-1.11,0.334,0.755,FALSE,-0.135478883691601,-0.38776,-1.16,0.263,0.555,FALSE,-0.296620139577696,0,-0.216049511634648,0.113944074765974,-1.135,0.0353553390593273,0.301492676833079,FALSE,4.76190476190476,"TRUE",FALSE
"EGFR inhibitor & KIT inhibitor","EGFR inhibitor","KIT inhibitor",-0.1826,-0.5,0.964,0.968,FALSE,-0.00706232134580317,0.37415,1.03,0.405,0.495,FALSE,0.314556645098424,0,0.153747161876311,0.227418952130922,0.265,1.08187337521542,0.757622580058828,FALSE,14.4736842105263,"TRUE",FALSE
"EGFR inhibitor & mTOR inhibitor","EGFR inhibitor","mTOR inhibitor",-0.3457,-0.963,0.487,0.903,FALSE,-0.0426726964480939,-0.18367,-0.572,0.925,0.924,FALSE,-0.019635632462099,0,-0.0311541644550964,0.0162896641631254,-0.7675,0.27647875144394,0.809707503847417,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & PDGFR tyrosine kinase receptor inhibitor","EGFR inhibitor","PDGFR tyrosine kinase receptor inhibitor",-0.24255,-0.678,0.847,1,FALSE,0,0.29932,0.783,0.71,0.804,FALSE,0.0741845138299626,0,0.0370922569149813,0.0524563727881938,0.0525,1.03308300731355,0.907193642469904,FALSE,18.9873417721519,"TRUE",FALSE
"EGFR inhibitor & RAF inhibitor","EGFR inhibitor","RAF inhibitor",-0.5513,-1.52,0.0574,0.204,FALSE,-1.04936214551263,-0.56392,-1.61,0.0613,0.189,FALSE,-1.16489649528108,0,-1.10712932039686,0.0816951221812446,-1.565,0.0636396103067893,0.0233977196019239,FALSE,3.75,"TRUE",FALSE
"EGFR inhibitor & RET tyrosine kinase inhibitor","EGFR inhibitor","RET tyrosine kinase inhibitor",0.29361,0.881,0.597,0.575,FALSE,0.211732628828436,0.60104,1.7,0.025,0.0469,TRUE,2.25900616738436,1,1.2353693981064,1.44764100205667,1.2905,0.579120453791782,0.0776804104740743,FALSE,6.94444444444444,"FALSE",FALSE
"EGFR inhibitor & src inhibitor","EGFR inhibitor","src inhibitor",0.63687,1.92,0.0173,0.03,TRUE,2.92392719093825,0.96479,2.66,0,0,TRUE,7.99161038237052,2,5.45776878665438,3.58339314956684,2.29,0.523259018078045,0.000205093331177163,FALSE,2.5,"FALSE",FALSE
"EGFR inhibitor & topoisomerase inhibitor","EGFR inhibitor","topoisomerase inhibitor",-0.73872,-1.97,0.00649,0.0157,TRUE,-3.55407768475381,-0.84397,-2.61,0,0.00491,TRUE,-6.02627730555905,2,-4.79017749515643,1.7481091163182,-2.29,0.45254833995939,8.32390875127652e-05,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & tubulin polymerization inhibitor","EGFR inhibitor","tubulin polymerization inhibitor",-0.80795,-2.21,0.00165,0.0021,TRUE,-5.91789535863804,-0.72857,-2.22,0.00389,0.0339,TRUE,-3.26295666998916,2,-4.5904260143136,1.87732515037814,-2.215,0.00707106781186564,8.3160179152577e-05,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & tyrosine kinase inhibitor","EGFR inhibitor","tyrosine kinase inhibitor",0.36287,1.11,0.343,0.41,FALSE,0.429809919041094,0.67347,1.81,0.0178,0.0373,TRUE,2.58520701442628,1,1.50750846673368,1.52409590229665,1.46,0.494974746830583,0.0372342804272807,FALSE,7.95454545454545,"TRUE",FALSE
