"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.96528,2.95,0,13,0
"EGFR inhibitor","NES","Abl kinase inhibitor",0.48916,1.39,0.159,6,0.176
"EGFR inhibitor","NES","BCL inhibitor",-0.22556,-0.608,0.932,77,1
"EGFR inhibitor","NES","FLT3 inhibitor",-0.41564,-1.12,0.33,116,0.729
"EGFR inhibitor","NES","KIT inhibitor",-0.1538,-0.417,0.992,64,0.992
"EGFR inhibitor","NES","mTOR inhibitor",-0.35072,-0.928,0.56,65,0.973
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.24215,-0.642,0.865,148,1
"EGFR inhibitor","NES","RAF inhibitor",-0.54394,-1.46,0.103,95,0.271
"EGFR inhibitor","NES","src inhibitor",0.64241,1.81,0.0241,9,0.0444
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.7483,-1.99,0.00472,110,0.0145
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.81633,-2.19,0,120,0.00112
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.26498,0.761,0.754,6,0.741
"EGFR inhibitor","NES","VEGFR inhibitor",-0.25451,-0.689,0.806,95,1
"Abl kinase inhibitor","NES","EGFR inhibitor",0.89928,2.46,0,22,0
"Abl kinase inhibitor","NES","BCL inhibitor",-0.85211,-2.54,0,121,0
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.74648,2.05,0.00175,41,0.00413
"Abl kinase inhibitor","NES","KIT inhibitor",0.71223,1.93,0.00509,48,0.0138
"Abl kinase inhibitor","NES","mTOR inhibitor",-0.66745,-1.92,0.00952,131,0.0185
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.64234,1.77,0.0197,59,0.0231
"Abl kinase inhibitor","NES","RAF inhibitor",0.47183,1.31,0.16,80,0.174
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.67606,-1.96,0.0144,96,0.0215
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.42958,-1.25,0.217,61,0.214
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.65672,1.8,0.0124,59,0.0235
"BCL inhibitor","NES","EGFR inhibitor",0.22302,0.618,0.876,116,0.89
"BCL inhibitor","NES","Abl kinase inhibitor",-0.21212,-0.626,0.869,71,0.88
"BCL inhibitor","NES","FLT3 inhibitor",0.33647,0.92,0.554,39,0.906
"BCL inhibitor","NES","KIT inhibitor",0.28942,0.799,0.691,30,0.865
"BCL inhibitor","NES","mTOR inhibitor",-0.4539,-1.33,0.159,64,0.585
"BCL inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.23987,-0.696,0.81,135,0.945
"BCL inhibitor","NES","RAF inhibitor",0.48509,1.34,0.176,53,0.805
"BCL inhibitor","NES","src inhibitor",-0.4521,-1.35,0.158,99,1
"BCL inhibitor","NES","topoisomerase inhibitor",-0.41549,-1.21,0.244,59,0.575
"BCL inhibitor","NES","tubulin polymerization inhibitor",-0.35915,-1.09,0.325,51,0.6
"BCL inhibitor","NES","tyrosine kinase inhibitor",0.35758,0.983,0.472,27,1
"BCL inhibitor","NES","VEGFR inhibitor",-0.34895,-1.02,0.444,138,0.581
"FLT3 inhibitor","NES","EGFR inhibitor",-0.39583,-1.18,0.246,57,0.527
"FLT3 inhibitor","NES","Abl kinase inhibitor",0.61666,1.62,0.0421,40,0.0599
"FLT3 inhibitor","NES","BCL inhibitor",0.30137,0.78,0.722,59,0.729
"FLT3 inhibitor","NES","FLT3 inhibitor",0.79452,2.06,0.00137,36,0.00383
"FLT3 inhibitor","NES","KIT inhibitor",0.80283,2.12,0,27,0.00431
"FLT3 inhibitor","NES","mTOR inhibitor",-0.34427,-1,0.418,85,0.429
"FLT3 inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.80523,2.08,0.00136,30,0.00447
"FLT3 inhibitor","NES","RAF inhibitor",0.44105,1.18,0.272,24,0.31
"FLT3 inhibitor","NES","src inhibitor",0.48667,1.27,0.186,63,0.263
"FLT3 inhibitor","NES","topoisomerase inhibitor",-0.70748,-2.07,0.011,104,0.0277
"FLT3 inhibitor","NES","tubulin polymerization inhibitor",-0.36735,-1.1,0.347,54,0.446
"FLT3 inhibitor","NES","tyrosine kinase inhibitor",0.7619,1.95,0.00414,40,0.0069
"FLT3 inhibitor","NES","VEGFR inhibitor",0.8777,2.29,0,30,0.000958
"KIT inhibitor","NES","EGFR inhibitor",0.375,0.998,0.427,98,0.554
"KIT inhibitor","NES","Abl kinase inhibitor",0.64737,1.71,0.0351,43,0.0519
"KIT inhibitor","NES","BCL inhibitor",0.26296,0.705,0.809,79,0.807
"KIT inhibitor","NES","FLT3 inhibitor",0.74658,2,0.00688,43,0.00807
"KIT inhibitor","NES","KIT inhibitor",0.8662,2.32,0,29,0.00144
"KIT inhibitor","NES","mTOR inhibitor",0.30137,0.79,0.718,108,0.779
"KIT inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.87857,2.33,0,29,0.00216
"KIT inhibitor","NES","RAF inhibitor",0.65306,1.7,0.0202,56,0.0476
"KIT inhibitor","NES","src inhibitor",0.56771,1.49,0.0921,29,0.12
"KIT inhibitor","NES","topoisomerase inhibitor",-0.84354,-2.43,0,124,0
"KIT inhibitor","NES","tubulin polymerization inhibitor",-0.7619,-2.14,0.00496,112,0.00298
"KIT inhibitor","NES","tyrosine kinase inhibitor",0.83673,2.2,0,29,0.00144
"KIT inhibitor","NES","VEGFR inhibitor",0.92806,2.46,0,23,0
"mTOR inhibitor","NES","EGFR inhibitor",-0.30556,-0.917,0.568,44,0.707
"mTOR inhibitor","NES","Abl kinase inhibitor",-0.31935,-0.968,0.462,89,0.94
"mTOR inhibitor","NES","BCL inhibitor",-0.22529,-0.675,0.854,74,0.844
"mTOR inhibitor","NES","FLT3 inhibitor",0.45418,1.23,0.213,31,0.405
"mTOR inhibitor","NES","KIT inhibitor",0.37696,1.04,0.388,36,0.512
"mTOR inhibitor","NES","mTOR inhibitor",0.97945,2.67,0,9,0
"mTOR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.30559,0.813,0.679,36,0.695
"mTOR inhibitor","NES","RAF inhibitor",-0.36717,-1.14,0.313,135,1
"mTOR inhibitor","NES","src inhibitor",0.42177,1.15,0.31,90,0.436
"mTOR inhibitor","NES","topoisomerase inhibitor",0.53741,1.45,0.0914,73,0.438
"mTOR inhibitor","NES","tubulin polymerization inhibitor",0.51701,1.39,0.123,76,0.283
"mTOR inhibitor","NES","tyrosine kinase inhibitor",0.52297,1.44,0.126,57,0.307
"mTOR inhibitor","NES","VEGFR inhibitor",0.34893,0.942,0.53,69,0.586
"PDGFR tyrosine kinase receptor inhibitor","NES","EGFR inhibitor",-0.31087,-0.885,0.573,74,0.768
"PDGFR tyrosine kinase receptor inhibitor","NES","Abl kinase inhibitor",0.71988,1.83,0.0106,30,0.013
"PDGFR tyrosine kinase receptor inhibitor","NES","BCL inhibitor",0.24177,0.621,0.891,83,0.89
"PDGFR tyrosine kinase receptor inhibitor","NES","FLT3 inhibitor",0.78082,1.99,0.00147,38,0.00266
"PDGFR tyrosine kinase receptor inhibitor","NES","KIT inhibitor",0.88159,2.27,0,16,0
"PDGFR tyrosine kinase receptor inhibitor","NES","mTOR inhibitor",-0.28032,-0.824,0.67,121,0.661
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.88513,2.28,0,19,0
"PDGFR tyrosine kinase receptor inhibitor","NES","RAF inhibitor",0.57208,1.46,0.0956,32,0.113
"PDGFR tyrosine kinase receptor inhibitor","NES","src inhibitor",0.5018,1.3,0.18,40,0.198
"PDGFR tyrosine kinase receptor inhibitor","NES","topoisomerase inhibitor",-0.77263,-2.2,0,135,0.0123
"PDGFR tyrosine kinase receptor inhibitor","NES","tubulin polymerization inhibitor",-0.54422,-1.54,0.0846,80,0.154
"PDGFR tyrosine kinase receptor inhibitor","NES","tyrosine kinase inhibitor",0.82993,2.15,0,30,0.000256
"PDGFR tyrosine kinase receptor inhibitor","NES","VEGFR inhibitor",0.95683,2.47,0,19,0
"RAF inhibitor","NES","EGFR inhibitor",-0.55556,-1.61,0.0593,80,0.186
"RAF inhibitor","NES","Abl kinase inhibitor",-0.24204,-0.7,0.825,146,0.805
