"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.96528,2.95,0,0,TRUE,8.86287617593723,0.96528,2.95,0,0,TRUE,8.86287617593723,2,8.86287617593723,0,2.95,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.89928,2.46,0,0,TRUE,7.39073742129003,0.48916,1.39,0.159,0.176,FALSE,1.04873739173833,1,4.21973740651418,4.48447122718129,1.925,0.756604255869606,0.00153579532982437,FALSE,1.21951219512195,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.22302,0.618,0.876,0.89,FALSE,0.0312769758934439,-0.22556,-0.608,0.932,1,FALSE,0,0,0.0156384879467219,0.0221161617492624,0.005,0.866912913734707,0.982013922945122,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & FLT3 inhibitor","EGFR inhibitor","FLT3 inhibitor",-0.41564,-1.12,0.33,0.729,FALSE,-0.153745168283868,-0.39583,-1.18,0.246,0.527,FALSE,-0.328263474049195,0,-0.241004321166532,0.12340307744785,-1.15,0.0424264068711927,0.285029991319445,FALSE,4.76190476190476,"TRUE",FALSE
"EGFR inhibitor & KIT inhibitor","EGFR inhibitor","KIT inhibitor",-0.1538,-0.417,0.992,0.992,FALSE,-0.0014546327117075,0.375,0.998,0.427,0.554,FALSE,0.255977254801027,0,0.12726131104466,0.182031833353907,0.2905,1.00055609537896,0.78744411204915,FALSE,14.4736842105263,"TRUE",FALSE
"EGFR inhibitor & mTOR inhibitor","EGFR inhibitor","mTOR inhibitor",-0.35072,-0.928,0.56,0.973,FALSE,-0.0110312842309694,-0.30556,-0.917,0.568,0.707,FALSE,-0.138082397548243,0,-0.0745568408896063,0.0898387037839448,-0.9225,0.00777817459305203,0.68242548524187,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & PDGFR tyrosine kinase receptor inhibitor","EGFR inhibitor","PDGFR tyrosine kinase receptor inhibitor",-0.24215,-0.642,0.865,1,FALSE,0,-0.31087,-0.885,0.573,0.768,FALSE,-0.101455320272112,0,-0.0507276601360559,0.0717397449518633,-0.7635,0.171826947828331,0.843535912977874,FALSE,18.9873417721519,"TRUE",FALSE
"EGFR inhibitor & RAF inhibitor","EGFR inhibitor","RAF inhibitor",-0.54394,-1.46,0.103,0.271,FALSE,-0.827864835323368,-0.55556,-1.61,0.0593,0.186,FALSE,-1.17608415980915,0,-1.00197449756626,0.246228245684099,-1.535,0.106066017177982,0.0372470263696423,FALSE,3.75,"TRUE",FALSE
"EGFR inhibitor & RET tyrosine kinase inhibitor","EGFR inhibitor","RET tyrosine kinase inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94444444444444,"FALSE",FALSE
"EGFR inhibitor & src inhibitor","EGFR inhibitor","src inhibitor",0.64241,1.81,0.0241,0.0444,TRUE,2.44823682409254,0.96403,2.75,0,0,TRUE,8.26200321485674,2,5.35512001947464,4.1109536391438,2.28,0.664680374315355,0.00027779866506319,FALSE,2.5,"FALSE",FALSE
"EGFR inhibitor & topoisomerase inhibitor","EGFR inhibitor","topoisomerase inhibitor",-0.7483,-1.99,0.00472,0.0145,TRUE,-3.6588776755524,-0.84058,-2.56,0,0.00257,TRUE,-6.63057120427189,2,-5.14472443991214,2.10130464576573,-2.275,0.403050865276332,6.20255887858727e-05,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & tubulin polymerization inhibitor","EGFR inhibitor","tubulin polymerization inhibitor",-0.81633,-2.19,0,0.00112,TRUE,-6.4622125303523,-0.72263,-2.17,0.00683,0.0415,TRUE,-2.99883563013476,2,-4.73052408024353,2.44897729194867,-2.18,0.014142135623731,8.72545740503635e-05,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & tyrosine kinase inhibitor","EGFR inhibitor","tyrosine kinase inhibitor",0.26498,0.761,0.754,0.741,FALSE,0.0990683437277313,0.66667,1.78,0.015,0.03,TRUE,2.710724166599,1,1.40489625516337,1.84671954247761,1.2705,0.720541810029092,0.0620021889539399,FALSE,7.95454545454545,"TRUE",FALSE
