"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.82806,2.63,0,78,0
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.37113,-1.17,0.274,239,0.458
"EGFR inhibitor","NES","AKT inhibitor",0.44065,1.41,0.14,84,0.312
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.29579,-0.95,0.477,353,0.639
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.48891,-1.55,0.0892,239,0.214
"EGFR inhibitor","NES","CDK inhibitor",0.24689,0.793,0.667,156,0.735
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.38701,1.23,0.225,224,0.436
"EGFR inhibitor","NES","HDAC inhibitor",0.25249,0.815,0.635,171,0.788
"EGFR inhibitor","NES","HSP inhibitor",0.22185,0.709,0.754,56,0.766
"EGFR inhibitor","NES","JAK inhibitor",-0.50995,-1.63,0.0677,301,0.276
"EGFR inhibitor","NES","KIT inhibitor",-0.42994,-1.37,0.157,239,0.292
"EGFR inhibitor","NES","MDM inhibitor",-0.55566,-1.78,0.0318,272,0.24
"EGFR inhibitor","NES","MEK inhibitor",0.317,1.01,0.419,251,0.577
"EGFR inhibitor","NES","mTOR inhibitor",0.55056,1.73,0.0461,165,0.132
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.48803,-1.55,0.0741,239,0.214
"EGFR inhibitor","NES","PI3K inhibitor",0.56566,1.76,0.0524,113,0.16
"EGFR inhibitor","NES","PLK inhibitor",-0.24719,-0.77,0.697,88,0.706
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.30028,-0.925,0.541,106,0.616
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.6119,1.94,0.0194,49,0.108
"EGFR inhibitor","NES","RAF inhibitor",-0.73011,-2.29,0.00193,257,0.0277
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.44085,-1.4,0.121,263,0.307
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.30043,-0.955,0.48,273,0.703
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.35406,1.11,0.321,62,0.508
"EGFR inhibitor","NES","VEGFR inhibitor",-0.25024,-0.784,0.681,244,0.746
"Abl kinase inhibitor","NES","EGFR inhibitor",-0.63642,-2,0.0112,243,0.0708
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.20151,0.652,0.833,44,0.835
"Abl kinase inhibitor","NES","AKT inhibitor",-0.64466,-2.02,0.0158,291,0.124
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",-0.36628,-1.17,0.281,272,0.426
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.26776,0.858,0.576,44,0.791
"Abl kinase inhibitor","NES","CDK inhibitor",-0.39857,-1.23,0.228,285,0.411
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",-0.25084,-0.803,0.682,305,0.799
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.45175,-1.42,0.131,245,0.267
"Abl kinase inhibitor","NES","HSP inhibitor",-0.24206,-0.767,0.72,214,0.772
"Abl kinase inhibitor","NES","JAK inhibitor",0.34172,1.1,0.337,49,0.669
"Abl kinase inhibitor","NES","KIT inhibitor",0.4148,1.34,0.16,99,0.68
"Abl kinase inhibitor","NES","MDM inhibitor",0.66222,2.15,0.00236,12,0.0436
"Abl kinase inhibitor","NES","MEK inhibitor",0.35348,1.18,0.285,206,0.649
"Abl kinase inhibitor","NES","mTOR inhibitor",-0.48247,-1.48,0.119,223,0.33
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.38783,1.28,0.191,99,0.612
"Abl kinase inhibitor","NES","PI3K inhibitor",-0.51494,-1.63,0.0661,257,0.254
"Abl kinase inhibitor","NES","PLK inhibitor",0.20787,0.663,0.824,287,0.9
"Abl kinase inhibitor","NES","protein synthesis inhibitor",0.2873,0.9,0.553,172,0.935
"Abl kinase inhibitor","NES","protein tyrosine kinase inhibitor",-0.45382,-1.42,0.141,215,0.267
"Abl kinase inhibitor","NES","RAF inhibitor",0.67315,2.22,0.00218,97,0.0521
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.32694,-1.05,0.391,183,0.516
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",0.23749,0.786,0.712,43,0.821
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",-0.222,-0.699,0.779,187,0.787
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.25776,0.867,0.607,77,0.876
"AKT inhibitor","NES","EGFR inhibitor",0.55775,1.81,0.0295,153,0.131
"AKT inhibitor","NES","Abl kinase inhibitor",-0.3696,-1.15,0.299,279,0.414
"AKT inhibitor","NES","Aurora kinase inhibitor",0.39032,1.25,0.207,118,0.539
"AKT inhibitor","NES","Bcr.Abl kinase inhibitor",-0.43011,-1.36,0.168,279,0.297
"AKT inhibitor","NES","CDK inhibitor",0.35792,1.12,0.317,113,0.642
"AKT inhibitor","NES","glucocorticoid receptor agonist",0.35028,1.1,0.333,27,0.578
"AKT inhibitor","NES","HDAC inhibitor",0.53615,1.72,0.0423,104,0.145
"AKT inhibitor","NES","HSP inhibitor",-0.36163,-1.11,0.338,332,0.412
"AKT inhibitor","NES","JAK inhibitor",0.21418,0.683,0.784,137,0.798
"AKT inhibitor","NES","KIT inhibitor",-0.42529,-1.34,0.188,148,0.27
"AKT inhibitor","NES","MDM inhibitor",-0.54146,-1.7,0.0631,257,0.251
"AKT inhibitor","NES","MEK inhibitor",-0.58918,-1.87,0.0149,232,0.25
"AKT inhibitor","NES","mTOR inhibitor",-0.33588,-1.07,0.365,309,0.411
"AKT inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.30452,-0.948,0.5,148,0.499
"AKT inhibitor","NES","PI3K inhibitor",0.62464,1.98,0.0145,138,0.182
"AKT inhibitor","NES","PLK inhibitor",-0.44825,-1.4,0.133,312,0.311
"AKT inhibitor","NES","protein synthesis inhibitor",0.23583,0.757,0.71,96,0.782
"AKT inhibitor","NES","protein tyrosine kinase inhibitor",0.60969,1.94,0.0132,142,0.111
"AKT inhibitor","NES","RAF inhibitor",-0.5072,-1.61,0.056,176,0.239
"AKT inhibitor","NES","topoisomerase inhibitor",0.26706,0.871,0.588,266,0.774
"AKT inhibitor","NES","tubulin polymerization inhibitor",-0.48945,-1.55,0.0832,289,0.228
"AKT inhibitor","NES","tyrosine kinase inhibitor",0.3089,0.971,0.491,221,0.7
"AKT inhibitor","NES","VEGFR inhibitor",0.26047,0.818,0.655,183,0.775
"Aurora kinase inhibitor","NES","EGFR inhibitor",-0.3075,-1.01,0.426,219,0.512
"Aurora kinase inhibitor","NES","Abl kinase inhibitor",-0.32619,-1.07,0.329,202,0.497
"Aurora kinase inhibitor","NES","AKT inhibitor",-0.23416,-0.785,0.65,357,0.753
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.68317,2.08,0.00434,87,0.0284
"Aurora kinase inhibitor","NES","Bcr.Abl kinase inhibitor",-0.41446,-1.39,0.158,250,0.389
"Aurora kinase inhibitor","NES","CDK inhibitor",0.44305,1.32,0.162,137,0.254
"Aurora kinase inhibitor","NES","glucocorticoid receptor agonist",0.29649,0.89,0.568,205,0.75
"Aurora kinase inhibitor","NES","HDAC inhibitor",0.57402,1.76,0.0241,135,0.0741
"Aurora kinase inhibitor","NES","HSP inhibitor",-0.40845,-1.37,0.119,145,0.272
"Aurora kinase inhibitor","NES","JAK inhibitor",0.76966,2.33,0,87,0.00623
"Aurora kinase inhibitor","NES","KIT inhibitor",-0.32295,-1.08,0.325,114,0.554
"Aurora kinase inhibitor","NES","MDM inhibitor",-0.5927,-1.99,0.0129,211,0.0613
