"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.82806,2.63,0,0,TRUE,7.90147943820844,0.82806,2.63,0,0,TRUE,7.90147943820844,2,7.90147943820844,0,2.63,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.63642,-2,0.0112,0.0708,TRUE,-2.29993348462046,-0.37113,-1.17,0.274,0.458,FALSE,-0.396787390735473,1,-1.34836043767797,1.34572750857477,-1.585,0.586898628384834,0.0208263150645468,FALSE,2.12765957446809,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.55775,1.81,0.0295,0.131,TRUE,1.59773895486307,0.44065,1.41,0.14,0.312,FALSE,0.713242022433996,1,1.15549048864853,0.625433778859296,1.61,0.282842712474619,0.026801543611398,FALSE,0,"FALSE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.3075,-1.01,0.426,0.512,FALSE,-0.293637339414411,-0.29579,-0.95,0.477,0.639,FALSE,-0.18477418474952,0,-0.239205762081965,0.0769778748849044,-0.98,0.0424264068711929,0.527015506377335,FALSE,0,"TRUE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",-0.61622,-1.93,0.00503,0.171,TRUE,-1.48031750694314,-0.48891,-1.55,0.0892,0.214,FALSE,-1.03785865130875,1,-1.25908807912595,0.312865657215116,-1.74,0.268700576850888,0.00390761329699663,FALSE,0,"FALSE",FALSE
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.40181,1.25,0.234,0.432,FALSE,0.45564531648136,0.24689,0.793,0.667,0.735,FALSE,0.106034140106233,0,0.280839728293797,0.247212433593458,1.0215,0.323147799002252,0.44597718303673,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & glucocorticoid receptor agonist","EGFR inhibitor","glucocorticoid receptor agonist",0.38701,1.23,0.225,0.436,FALSE,0.443431618199639,0.60523,1.97,0.0132,0.165,TRUE,1.5415566298986,1,0.992494124049122,0.776491642362895,1.6,0.523259018078045,0.0202530041787176,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & HDAC inhibitor","EGFR inhibitor","HDAC inhibitor",0.25249,0.815,0.635,0.788,FALSE,0.0843311327460124,0.38435,1.21,0.263,0.335,FALSE,0.574695783485417,0,0.329513458115715,0.346740169792006,1.0125,0.279307178568686,0.465899113648902,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & HSP inhibitor","EGFR inhibitor","HSP inhibitor",0.22185,0.709,0.754,0.766,FALSE,0.0820818023304838,-0.60292,-2.01,0.0203,0.0457,TRUE,-2.6935684378596,1,-1.30574331776456,1.96268110704048,-0.6505,1.92262333804622,0.0792784216330855,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & JAK inhibitor","EGFR inhibitor","JAK inhibitor",-0.50995,-1.63,0.0677,0.276,FALSE,-0.911318196233695,-0.60339,-2.03,0.0178,0.0562,TRUE,-2.53803527939481,1,-1.72467673781425,1.15026268057522,-1.83,0.282842712474619,0.00930454050805659,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & KIT inhibitor","EGFR inhibitor","KIT inhibitor",-0.42994,-1.37,0.157,0.292,FALSE,-0.732425493515667,-0.59483,-1.89,0.019,0.224,TRUE,-1.22803124534843,1,-0.980228369432049,0.350446187916005,-1.63,0.367695526217005,0.0203286252821999,FALSE,13.953488372093,"FALSE",FALSE
"EGFR inhibitor & MDM inhibitor","EGFR inhibitor","MDM inhibitor",-0.55566,-1.78,0.0318,0.24,TRUE,-1.10322398975334,-0.655,-2.02,0.00485,0.134,TRUE,-1.76324830730309,2,-1.43323614852822,0.466707670687449,-1.9,0.169705627484771,0.00150791682181677,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & MEK inhibitor","EGFR inhibitor","MEK inhibitor",0.317,1.01,0.419,0.577,FALSE,0.241212428712711,0.37093,1.16,0.284,0.285,FALSE,0.632379962390128,0,0.43679619555142,0.276597215643319,1.085,0.106066017177982,0.372298667924231,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & mTOR inhibitor","EGFR inhibitor","mTOR inhibitor",0.55056,1.73,0.0461,0.132,TRUE,1.52140709901388,0.71775,2.4,0.00437,0.0124,TRUE,4.57578795561064,2,3.04859752731226,2.15977341602594,2.065,0.473761543394987,0.00191584289448136,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & PDGFR tyrosine kinase receptor inhibitor","EGFR inhibitor","PDGFR tyrosine kinase receptor inhibitor",-0.48803,-1.55,0.0741,0.214,FALSE,-1.03785865130875,-0.62096,-1.95,0.00821,0.0734,TRUE,-2.21189268316366,1,-1.62487566723621,0.830167425268389,-1.75,0.282842712474619,0.00511311731003522,FALSE,13.3333333333333,"FALSE",FALSE
"EGFR inhibitor & PI3K inhibitor","EGFR inhibitor","PI3K inhibitor",0.56566,1.76,0.0524,0.16,FALSE,1.40074883052557,0.76001,2.44,0,0.012,TRUE,4.6867977596438,1,3.04377329508468,2.32358748109029,2.1,0.480832611206852,0.000563718558596011,FALSE,0,"FALSE",FALSE
