"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.86298,2.52,0,81,0.00089
"EGFR inhibitor","NES","Abl kinase inhibitor",0.46963,1.38,0.128,109,0.369
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.35836,-1.06,0.381,482,0.73
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.54338,-1.63,0.0665,1269,0.276
"EGFR inhibitor","NES","adenosine receptor antagonist",0.49921,1.48,0.0943,72,0.344
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.16243,-0.488,0.97,217,0.989
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.31385,0.921,0.505,236,0.644
"EGFR inhibitor","NES","AKT inhibitor",0.68795,2.08,0.00778,323,0.0585
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.63929,1.88,0.0171,182,0.157
"EGFR inhibitor","NES","androgen receptor antagonist",-0.66468,-2.02,0.00652,894,0.0966
"EGFR inhibitor","NES","antioxidant",-0.3658,-1.11,0.326,492,0.775
"EGFR inhibitor","NES","AP inhibitor",-0.70954,-2.11,0,1195,0.067
"EGFR inhibitor","NES","ATPase inhibitor",-0.22012,-0.661,0.865,1233,0.993
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.21084,-0.636,0.875,280,0.971
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.2755,0.811,0.669,981,0.759
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.47157,-1.41,0.122,1028,0.397
"EGFR inhibitor","NES","BCL inhibitor",0.37808,1.14,0.308,283,0.511
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.40914,1.22,0.243,109,0.543
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.21527,-0.638,0.847,1049,0.994
"EGFR inhibitor","NES","bromodomain inhibitor",0.35985,1.06,0.399,867,0.526
"EGFR inhibitor","NES","calcium channel blocker",0.37879,1.13,0.305,280,0.503
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.36283,-1.08,0.386,1147,0.759
"EGFR inhibitor","NES","CDK inhibitor",0.48619,1.44,0.14,505,0.37
"EGFR inhibitor","NES","CHK inhibitor",0.36598,1.07,0.357,304,0.53
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.17247,-0.535,0.943,1095,0.986
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.43248,-1.33,0.171,934,0.452
"EGFR inhibitor","NES","DNA alkylating agent",-0.29154,-0.909,0.553,1042,0.789
"EGFR inhibitor","NES","DNA inhibitor",-0.45175,-1.38,0.153,933,0.412
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.39643,1.17,0.278,161,0.513
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.42665,-1.3,0.184,989,0.467
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.51005,-1.53,0.0845,1247,0.332
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.17243,-0.537,0.939,1201,1
"EGFR inhibitor","NES","estrogen receptor agonist",0.29213,0.861,0.603,51,0.711
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.52556,-1.57,0.0754,1044,0.312
"EGFR inhibitor","NES","FGFR inhibitor",0.20829,0.613,0.884,579,0.927
"EGFR inhibitor","NES","FLT3 inhibitor",0.41168,1.22,0.24,541,0.543
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.53506,1.55,0.0832,494,0.283
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.20271,-0.616,0.884,927,0.968
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.40236,1.17,0.301,141,0.513
