"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.86298,2.52,0,0.00089,TRUE,7.68753718325482,0.86298,2.52,0,0.00089,TRUE,7.68753718325482,2,7.68753718325482,0,2.52,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.66035,2.16,0.00136,0.0303,TRUE,3.28008392243502,0.46963,1.38,0.128,0.369,FALSE,0.597503614700497,1,1.93879376856776,1.89687072667658,1.77,0.551543289325507,0.00168091571305517,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.46848,-1.76,0.0415,0.752,FALSE,-0.21785660055871,-0.35836,-1.06,0.381,0.73,FALSE,-0.144877768272317,0,-0.181367184415513,0.0516038271927842,-1.41,0.494974746830583,0.081382071242684,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.37326,-1.38,0.149,0.382,FALSE,-0.576752559181842,-0.54338,-1.63,0.0665,0.276,FALSE,-0.911318196233695,0,-0.744035377707768,0.236573630711363,-1.505,0.176776695296637,0.0556299088927214,FALSE,0,"TRUE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.45394,1.51,0.0868,0.393,FALSE,0.612467248933106,0.49921,1.48,0.0943,0.344,FALSE,0.685893504994135,0,0.649180376963621,0.051920203577894,1.495,0.0212132034355964,0.0475187784828595,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.19324,-0.709,0.785,0.79,FALSE,-0.072582392275077,-0.16243,-0.488,0.97,0.989,FALSE,-0.00234420970057645,0,-0.0374633009878267,0.0496658951966481,-0.5985,0.156270598642227,0.968968553814765,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.19368,-0.712,0.743,0.849,FALSE,-0.0506177245463057,0.31385,0.921,0.505,0.644,FALSE,0.176016116161613,0,0.0626991958076537,0.160254325610921,0.1045,1.15470537367763,0.743021786547237,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.60616,2.05,0.0112,0.156,TRUE,1.65409457337335,0.68795,2.08,0.00778,0.0585,TRUE,2.56431579854906,2,2.10920518596121,0.643623600701673,2.065,0.0212132034355966,0.000901686851908185,FALSE,0,"TRUE",TRUE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.65224,2.24,0.00504,0.0259,TRUE,3.554208528458,0.63929,1.88,0.0171,0.157,TRUE,1.51170865347064,2,2.53295859096432,1.44426551217623,2.06,0.254558441227157,0.000892782297850302,FALSE,1.23456790123457,"TRUE",TRUE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.5168,-1.75,0.0478,0.21,TRUE,-1.18611623421564,-0.66468,-2.02,0.00652,0.0966,TRUE,-2.0503462046407,2,-1.61823121942817,0.611102872592211,-1.885,0.190918830920368,0.0028278451672422,FALSE,0,"TRUE",TRUE
