"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.92693,2.53,0,75,0
"EGFR inhibitor","NES","Abl kinase inhibitor",0.43034,1.2,0.236,98,0.526
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.60719,-1.72,0.0413,1053,0.194
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.36766,-1.01,0.44,407,0.683
"EGFR inhibitor","NES","AKT inhibitor",0.71246,1.97,0.00541,276,0.0557
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.78357,2.13,0.00187,161,0.0199
"EGFR inhibitor","NES","androgen receptor antagonist",-0.66907,-1.9,0.023,742,0.106
"EGFR inhibitor","NES","antioxidant",-0.37421,-1.03,0.425,415,0.682
"EGFR inhibitor","NES","ATPase inhibitor",-0.21514,-0.613,0.872,1084,0.882
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.21918,-0.614,0.89,240,0.911
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.32572,0.894,0.573,85,0.722
"EGFR inhibitor","NES","BCL inhibitor",0.58148,1.58,0.0731,243,0.204
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.33831,0.926,0.515,440,0.699
"EGFR inhibitor","NES","bromodomain inhibitor",0.35528,0.986,0.47,721,0.681
"EGFR inhibitor","NES","calcium channel blocker",0.42432,1.16,0.315,644,0.512
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.45861,-1.25,0.227,947,0.515
"EGFR inhibitor","NES","CDK inhibitor",0.49505,1.33,0.178,362,0.417
"EGFR inhibitor","NES","CHK inhibitor",0.35799,0.974,0.487,260,0.673
"EGFR inhibitor","NES","cyclooxygenase inhibitor",0.32171,0.89,0.568,146,0.705
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.46572,-1.31,0.195,838,0.507
"EGFR inhibitor","NES","DNA alkylating agent",-0.26995,-0.773,0.714,904,0.789
"EGFR inhibitor","NES","DNA inhibitor",-0.45013,-1.3,0.203,893,0.479
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.41098,-1.15,0.311,1034,0.561
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.30836,-0.864,0.596,993,0.748
"EGFR inhibitor","NES","estrogen receptor agonist",0.43896,1.24,0.237,48,0.491
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.63996,-1.79,0.0315,860,0.163
"EGFR inhibitor","NES","FGFR inhibitor",0.29128,0.816,0.675,361,0.719
"EGFR inhibitor","NES","FLT3 inhibitor",0.46992,1.32,0.171,385,0.406
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.59393,1.65,0.0461,417,0.176
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.38733,1.07,0.385,99,0.599
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.51743,1.38,0.146,79,0.372
"EGFR inhibitor","NES","HDAC inhibitor",0.30156,0.818,0.662,436,0.738
"EGFR inhibitor","NES","histamine receptor antagonist",-0.41204,-1.18,0.292,887,0.586
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.46719,-1.31,0.171,1109,0.507
"EGFR inhibitor","NES","HMGCR inhibitor",-0.90202,-2.51,0,1054,0
"EGFR inhibitor","NES","HSP inhibitor",0.23481,0.646,0.859,856,0.854
"EGFR inhibitor","NES","JAK inhibitor",0.34409,0.951,0.483,592,0.684
"EGFR inhibitor","NES","KIT inhibitor",0.51314,1.41,0.134,486,0.358
"EGFR inhibitor","NES","MDM inhibitor",-0.57672,-1.63,0.0667,972,0.216
"EGFR inhibitor","NES","MEK inhibitor",0.68251,1.89,0.0116,291,0.0816
"EGFR inhibitor","NES","microtubule inhibitor",0.31193,0.845,0.645,770,0.723
"EGFR inhibitor","NES","mTOR inhibitor",0.62449,1.69,0.0421,281,0.202
"EGFR inhibitor","NES","opioid receptor agonist",-0.36647,-1.04,0.411,1073,0.706
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.37207,1.03,0.413,702,0.638
"EGFR inhibitor","NES","PARP inhibitor",-0.30388,-0.856,0.614,337,0.73
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.3194,0.862,0.604,486,0.722
"EGFR inhibitor","NES","phosphatase inhibitor",-0.26919,-0.767,0.696,1024,0.769
"EGFR inhibitor","NES","PI3K inhibitor",0.64042,1.72,0.0202,219,0.2
"EGFR inhibitor","NES","PLK inhibitor",-0.25903,-0.774,0.73,287,0.818
"EGFR inhibitor","NES","PPAR receptor agonist",-0.67622,-1.96,0.0102,1076,0.0919
"EGFR inhibitor","NES","progesterone receptor agonist",-0.57304,-1.64,0.0572,996,0.236
"EGFR inhibitor","NES","proteasome inhibitor",-0.73397,-2.05,0,968,0.0737
"EGFR inhibitor","NES","protein synthesis inhibitor",0.26244,0.724,0.773,825,0.813
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.82553,2.28,0.00179,78,0.0067
"EGFR inhibitor","NES","RAF inhibitor",-0.49716,-1.43,0.129,943,0.414
"EGFR inhibitor","NES","RET tyrosine kinase inhibitor",0.42117,1.18,0.295,11,0.507
"EGFR inhibitor","NES","retinoid receptor agonist",0.59641,1.65,0.0508,69,0.176
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",-0.39298,-1.16,0.281,786,0.581
"EGFR inhibitor","NES","serotonin receptor antagonist",0.42072,1.14,0.305,648,0.517
"EGFR inhibitor","NES","sodium channel blocker",-0.33797,-0.956,0.49,989,0.702
"EGFR inhibitor","NES","sterol demethylase inhibitor",-0.31925,-0.903,0.529,602,0.722
"EGFR inhibitor","NES","SYK inhibitor",-0.34588,-0.983,0.448,1100,0.693
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.42558,1.18,0.321,128,0.507
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.33924,-0.954,0.5,660,0.672
