"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.92693,2.53,0,75,0
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.63233,1.98,0.00935,336,0.0287
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.66396,2.07,0.00805,378,0.0372
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.71906,2.16,0.00146,319,0.0503
"AKT inhibitor","NES","AKT inhibitor",0.7448,2.34,0.00149,292,0.0136
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.93038,2.94,0,86,0
"androgen receptor antagonist","NES","androgen receptor antagonist",0.80498,2.55,0,92,0.00163
"antioxidant","NES","antioxidant",0.79046,2.49,0,106,0.0128
"ATPase inhibitor","NES","ATPase inhibitor",0.74864,2.28,0.00154,287,0.0235
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.86748,2.62,0,74,0.000804
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.62421,1.96,0.0127,273,0.383
"BCL inhibitor","NES","BCL inhibitor",0.81712,2.57,0,208,0.00428
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.71332,2.16,0.0014,153,0.0125
"bromodomain inhibitor","NES","bromodomain inhibitor",1,3.1,0,6,0
"calcium channel blocker","NES","calcium channel blocker",0.58739,1.87,0.0271,463,0.351
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.47471,1.55,0.0852,404,0.29
"CDK inhibitor","NES","CDK inhibitor",0.72671,2.2,0,269,0.02
"CHK inhibitor","NES","CHK inhibitor",0.90791,2.87,0,8,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.80901,2.48,0.00139,217,0.00801
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.52826,1.62,0.0667,380,0.241
"DNA alkylating agent","NES","DNA alkylating agent",0.62297,1.96,0.00979,426,0.206
"DNA inhibitor","NES","DNA inhibitor",0.62627,1.98,0.0101,307,0.0864
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.68744,2.18,0.00449,354,0.136
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.67482,2.05,0.00282,370,0.0543
"estrogen receptor agonist","NES","estrogen receptor agonist",0.67568,2.08,0.00457,365,0.024
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.66126,2.09,0.00708,381,0.111
"FGFR inhibitor","NES","FGFR inhibitor",0.74526,2.25,0.00155,290,0.00816
"FLT3 inhibitor","NES","FLT3 inhibitor",0.7613,2.32,0,273,0.00692
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.98808,2.84,0,37,0
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.78453,2.48,0.00145,129,0.0135
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.60689,1.9,0.0147,318,0.136
"HDAC inhibitor","NES","HDAC inhibitor",0.88349,2.61,0,152,0
"histamine receptor antagonist","NES","histamine receptor antagonist",0.68903,2.06,0.00786,355,0.0623
"HMGCR inhibitor","NES","HMGCR inhibitor",0.9991,3.13,0,7,0
"HSP inhibitor","NES","HSP inhibitor",0.93654,2.72,0,82,0.000913
"JAK inhibitor","NES","JAK inhibitor",0.62026,1.96,0.0111,149,0.215
"KIT inhibitor","NES","KIT inhibitor",0.95845,2.95,0,54,0
"MDM inhibitor","NES","MDM inhibitor",0.91614,2.93,0,99,0
"MEK inhibitor","NES","MEK inhibitor",0.94091,2.72,0,80,0
"microtubule inhibitor","NES","microtubule inhibitor",0.66363,2.04,0.00264,193,0.0388
"mTOR inhibitor","NES","mTOR inhibitor",0.97431,2.75,0,53,0
"opioid receptor agonist","NES","opioid receptor agonist",0.68891,2.17,0.00417,351,0.127
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.71441,2.22,0.00138,322,0.0485
"PARP inhibitor","NES","PARP inhibitor",0.73743,2.27,0,160,0.0458
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.94187,2.8,0,78,0
"phosphatase inhibitor","NES","phosphatase inhibitor",0.49149,1.5,0.1,296,0.5
"PI3K inhibitor","NES","PI3K inhibitor",0.83166,2.37,0,104,0.00214
"PLK inhibitor","NES","PLK inhibitor",0.92509,2.85,0,90,0
"PPAR receptor agonist","NES","PPAR receptor agonist",0.67268,2.12,0.00837,369,0.0393
"progesterone receptor agonist","NES","progesterone receptor agonist",0.85404,2.65,0,84,0
"proteasome inhibitor","NES","proteasome inhibitor",0.99819,3.23,0,9,0
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.79052,2.36,0,153,0.00376
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.8991,2.83,0,117,0
"RAF inhibitor","NES","RAF inhibitor",0.89288,2.65,0,65,0
"RET tyrosine kinase inhibitor","NES","RET tyrosine kinase inhibitor",0.76847,2.45,0,262,0.00332
"retinoid receptor agonist","NES","retinoid receptor agonist",0.88909,2.89,0,129,0
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.67841,2.16,0.00145,364,0.111
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.56757,1.79,0.0251,485,0.399
"sodium channel blocker","NES","sodium channel blocker",0.54555,1.69,0.0389,424,0.345
"sterol demethylase inhibitor","NES","sterol demethylase inhibitor",0.56628,1.77,0.0389,487,0.223
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.81733,2.54,0,36,0.00496
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.8698,2.53,0,91,0
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.9247,2.69,0,108,0
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.57395,1.79,0.0229,218,0.0859
"VEGFR inhibitor","NES","VEGFR inhibitor",0.86093,2.53,0,174,0
"vitamin D receptor agonist","NES","vitamin D receptor agonist",1,3.14,0,7,0
