"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.92693,2.53,0,0,TRUE,7.6010429576682,0.92693,2.53,0,0,TRUE,7.6010429576682,2,7.6010429576682,0,2.53,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.7185,2.18,0.00135,0.0106,TRUE,4.3048332137228,0.43034,1.2,0.236,0.526,FALSE,0.334817107015513,1,2.31982516036916,2.80722531047254,1.69,0.692964645562817,0.00288383152753158,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.42932,-1.44,0.12,0.28,FALSE,-0.796092434867204,-0.60719,-1.72,0.0413,0.194,TRUE,-1.22498102452001,1,-1.01053672969361,0.303270030117034,-1.58,0.197989898732233,0.0312582666982067,FALSE,0,"TRUE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.21389,-0.711,0.807,0.873,FALSE,-0.0419388727253399,-0.36766,-1.01,0.44,0.683,FALSE,-0.167235089281652,0,-0.104586981003496,0.0885978043839865,-0.8605,0.211424927574778,0.722734150760639,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.62597,1.94,0.00822,0.0918,TRUE,2.01208519846959,0.71246,1.97,0.00541,0.0557,TRUE,2.47066526550775,2,2.24137523198867,0.324265075119668,1.955,0.0212132034355964,0.000490092344294252,FALSE,0,"TRUE",TRUE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.7138,2.21,0.00842,0.0354,TRUE,3.20670279092301,0.78357,2.13,0.00187,0.0199,TRUE,3.62344294724732,2,3.41507286908517,0.294679790529666,2.17,0.0565685424949239,0.000189873184980211,FALSE,1.23456790123457,"TRUE",TRUE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.55564,-1.72,0.0385,0.207,TRUE,-1.1765310058141,-0.66907,-1.9,0.023,0.106,TRUE,-1.85191885599694,2,-1.51422493090552,0.477571328795287,-1.81,0.127279220613579,0.0071099965982065,FALSE,0,"TRUE",TRUE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.36713,-1.21,0.268,0.402,FALSE,-0.478886475767791,-0.37421,-1.03,0.425,0.682,FALSE,-0.171202094103827,0,-0.325044284935809,0.217565712739779,-1.12,0.127279220613579,0.361340279131453,FALSE,0,"TRUE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.27626,-0.92,0.523,0.63,FALSE,-0.184606694502705,-0.21514,-0.613,0.872,0.882,FALSE,-0.0334277573141945,0,-0.10901722590845,0.106899651658571,-0.7665,0.21708178182427,0.814123657337129,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.17709,-0.565,0.924,0.919,FALSE,-0.0207267360668471,-0.21918,-0.614,0.89,0.911,FALSE,-0.0248557165385791,0,-0.0227912263027131,0.00291963009094849,-0.5895,0.0346482322781409,0.983194721124739,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",-0.13391,-0.454,0.956,0.967,FALSE,-0.00661638076631725,0.32572,0.894,0.573,0.722,FALSE,0.126467745372743,0,0.0599256823032127,0.0941046880612151,0.22,0.953179941039466,0.877483480863799,FALSE,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
