"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.35661,1.26,0.227,254,0.687
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.19172,-0.615,0.871,651,0.972
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.47243,-1.54,0.0862,913,0.672
"EGFR inhibitor","NES","acetylcholine receptor antagonist",0.60878,2.09,0.00838,334,0.222
"EGFR inhibitor","NES","adenosine receptor antagonist",0.53509,1.85,0.0258,378,0.237
"EGFR inhibitor","NES","adrenergic receptor agonist",0.16439,0.575,0.916,1057,1
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.27536,1.01,0.41,331,0.779
"EGFR inhibitor","NES","AKT inhibitor",0.34007,1.17,0.292,650,0.806
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.23324,0.824,0.64,242,0.89
"EGFR inhibitor","NES","androgen receptor antagonist",0.44448,1.56,0.0657,439,0.411
"EGFR inhibitor","NES","antioxidant",0.25612,0.878,0.562,593,0.833
"EGFR inhibitor","NES","AP inhibitor",-0.55831,-1.79,0.0266,818,0.465
"EGFR inhibitor","NES","ATPase inhibitor",0.40375,1.42,0.126,393,0.513
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.42967,-1.4,0.149,932,0.664
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.19617,-0.639,0.863,246,0.997
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.50736,-1.6,0.0827,1217,0.634
"EGFR inhibitor","NES","BCL inhibitor",0.29107,1.04,0.368,897,0.804
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.20857,0.725,0.749,82,0.948
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.1779,-0.576,0.89,954,0.986
"EGFR inhibitor","NES","bromodomain inhibitor",-0.34117,-1.1,0.36,1231,0.937
"EGFR inhibitor","NES","calcium channel blocker",-0.17033,-0.552,0.923,967,0.981
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.37231,-1.19,0.277,877,0.901
"EGFR inhibitor","NES","CDK inhibitor",0.3182,1.08,0.346,223,0.774
"EGFR inhibitor","NES","CHK inhibitor",0.23825,0.818,0.637,963,0.867
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.21274,-0.67,0.819,1073,1
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.46412,-1.53,0.0992,820,0.525
