"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.803467","Pearson.est","sodium channel blocker",0.29678,0.817,0.633,435,1,TRUE,FALSE,"sodium channel blocker"
"A61603","Pearson.est","adrenergic receptor agonist",-0.41414,-1.21,0.225,907,0.857,TRUE,FALSE,"adrenergic receptor agonist"
"ACY.1215","Pearson.est","HDAC inhibitor",0.26005,0.703,0.821,260,0.95,TRUE,FALSE,"HDAC inhibitor"
"AEE788","Pearson.est","EGFR inhibitor",0.34292,0.973,0.449,193,0.772,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",-0.2862,-0.757,0.761,835,1,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",-0.3653,-1.04,0.381,1006,1,TRUE,FALSE,"PARP inhibitor"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",-0.24354,-0.694,0.798,701,0.896,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",-0.73958,-2.12,0.00347,940,0.268,TRUE,FALSE,"MET inhibitor"
"AMG900","Pearson.est","Aurora kinase inhibitor",0.29019,0.839,0.646,484,0.769,TRUE,FALSE,"Aurora kinase inhibitor"
"AP26113","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.30013,0.897,0.524,315,1,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",-0.15508,-0.447,0.992,503,1,TRUE,FALSE,"EGFR inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",-0.24233,-0.714,0.791,1001,0.869,TRUE,FALSE,"CDK inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",0.29061,0.83,0.619,315,0.792,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AT7867","Pearson.est","AKT inhibitor",0.24582,0.707,0.806,82,0.95,TRUE,FALSE,"AKT inhibitor"
"AV.412","Pearson.est","protein tyrosine kinase inhibitor",-0.35546,-1.01,0.397,1118,0.852,TRUE,FALSE,"protein tyrosine kinase inhibitor"
"AZ960","Pearson.est","JAK inhibitor",0.21641,0.617,0.877,388,0.991,TRUE,FALSE,"JAK inhibitor"
"AZD2014","Pearson.est","mTOR inhibitor",-0.33177,-0.941,0.472,1004,0.818,TRUE,FALSE,"mTOR inhibitor"
"AZD2858","Pearson.est","glycogen synthase kinase inhibitor",-0.45209,-1.33,0.177,784,0.543,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"AZD3463","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.27831,0.825,0.657,293,0.917,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor"
"AZD5363","Pearson.est","AKT inhibitor",-0.54106,-1.55,0.0792,937,0.533,TRUE,FALSE,"AKT inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.37536,0.992,0.437,288,0.852,TRUE,FALSE,"PI3K inhibitor"
"AZD8055","Pearson.est","mTOR inhibitor",0.35697,0.977,0.483,262,0.856,TRUE,FALSE,"mTOR inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",-0.34351,-0.964,0.5,1021,0.766,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",0.32404,0.857,0.61,185,1,TRUE,FALSE,"histamine receptor antagonist"
"BGT226","Pearson.est","PI3K inhibitor",0.1767,0.456,0.988,458,0.99,TRUE,FALSE,"PI3K inhibitor"
"BIBU.1361","Pearson.est","EGFR inhibitor",0.30858,0.928,0.505,151,0.76,TRUE,FALSE,"EGFR inhibitor"
"BIBX.1382","Pearson.est","EGFR inhibitor",-0.31619,-0.88,0.55,922,0.999,TRUE,FALSE,"EGFR inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",-0.38841,-1.08,0.34,1031,1,TRUE,FALSE,"CDK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",0.24042,0.771,0.72,25,0.835,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
