"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.35661,1.26,0.227,254,0.687
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.32094,1.04,0.398,176,0.723
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.19664,0.66,0.835,742,0.997
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",-0.25172,-0.856,0.587,979,0.858
"AKT inhibitor","NES","AKT inhibitor",0.34553,1.2,0.256,184,0.739
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.19543,0.711,0.741,347,0.887
"ATPase inhibitor","NES","ATPase inhibitor",0.39908,1.45,0.129,314,0.661
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.34981,1.13,0.331,325,0.977
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.43285,1.4,0.15,476,0.672
"BCL inhibitor","NES","BCL inhibitor",-0.32031,-1.08,0.342,949,1
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.4975,1.64,0.0503,52,0.752
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",-0.56925,-1.99,0.0152,942,0.241
"calcium channel blocker","NES","calcium channel blocker",0.46706,1.54,0.0912,529,0.648
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.38748,1.21,0.245,91,0.64
"CDK inhibitor","NES","CDK inhibitor",0.35306,1.25,0.229,345,0.699
"CHK inhibitor","NES","CHK inhibitor",-0.26019,-0.868,0.593,1259,0.958
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.199,0.679,0.823,410,0.956
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",-0.36847,-1.27,0.219,395,0.528
"DNA alkylating agent","NES","DNA alkylating agent",0.33843,1.14,0.311,529,0.741
"DNA inhibitor","NES","DNA inhibitor",0.1442,0.485,0.953,145,0.975
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",-0.14515,-0.483,0.954,1199,0.96
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.34739,1.17,0.292,225,1
"dopamine receptor antagonist","NES","dopamine receptor antagonist",-0.15334,-0.529,0.954,1123,0.952
"FGFR inhibitor","NES","FGFR inhibitor",0.29024,0.98,0.463,457,0.758
"FLT3 inhibitor","NES","FLT3 inhibitor",-0.2907,-1.07,0.369,775,0.701
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.25407,0.833,0.629,617,0.924
"glutamate receptor antagonist","NES","glutamate receptor antagonist",-0.58699,-2.05,0.0142,1025,0.189
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",-0.29726,-0.972,0.477,826,0.882
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",-0.62869,-2.11,0.00685,789,0.209
"HDAC inhibitor","NES","HDAC inhibitor",0.60033,1.93,0.00771,342,0.36
"histamine receptor antagonist","NES","histamine receptor antagonist",0.22884,0.74,0.729,282,0.789
"HSP inhibitor","NES","HSP inhibitor",0.60518,1.91,0.00982,460,0.419
"JAK inhibitor","NES","JAK inhibitor",-0.1735,-0.605,0.872,1238,0.932
"KIT inhibitor","NES","KIT inhibitor",0.23819,0.794,0.668,369,0.864
"MDM inhibitor","NES","MDM inhibitor",0.5953,1.97,0.0106,379,0.733
"MEK inhibitor","NES","MEK inhibitor",0.65115,2.14,0,244,0.214
"MET inhibitor","NES","MET inhibitor",0.51066,1.79,0.0477,133,0.418
"microtubule inhibitor","NES","microtubule inhibitor",-0.24022,-0.828,0.649,920,1
"mTOR inhibitor","NES","mTOR inhibitor",0.34099,1.08,0.361,387,0.805
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",0.30649,1.06,0.389,361,0.664
"PARP inhibitor","NES","PARP inhibitor",-0.21739,-0.721,0.746,620,0.873
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.2115,-0.725,0.741,1127,1
"phosphatase inhibitor","NES","phosphatase inhibitor",-0.2484,-0.903,0.508,311,0.846
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.37452,1.32,0.182,476,0.706
"PI3K inhibitor","NES","PI3K inhibitor",0.17469,0.597,0.877,453,0.936
"PLK inhibitor","NES","PLK inhibitor",0.69511,2.33,0,323,0.0961
"progesterone receptor agonist","NES","progesterone receptor agonist",0.18787,0.641,0.828,16,0.946
"proteasome inhibitor","NES","proteasome inhibitor",0.63787,2.06,0.0065,263,0.164
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.25648,0.888,0.55,312,0.754
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",-0.5621,-1.96,0.0197,937,0.446
"RAF inhibitor","NES","RAF inhibitor",0.45605,1.45,0.123,583,0.503
"retinoid receptor agonist","NES","retinoid receptor agonist",0.5803,1.94,0.0195,302,1
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",-0.25677,-0.894,0.519,1015,0.891
"serotonin receptor antagonist","NES","serotonin receptor antagonist",-0.23364,-0.819,0.648,929,0.847
"sodium channel blocker","NES","sodium channel blocker",-0.22989,-0.792,0.68,1049,1
"src inhibitor","NES","src inhibitor",-0.40515,-1.41,0.139,1237,0.975
