pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass
EGFR inhibitor & EGFR inhibitor,EGFR inhibitor,EGFR inhibitor,0.35661,1.26,0.227,0.687,FALSE,0.205434511,0.35661,1.26,0.227,0.687,FALSE,0.205434511,0,0.205434511,0,1.26,0,0.204343945,TRUE,100,FALSE,FALSE
Abl kinase inhibitor & EGFR inhibitor,Abl kinase inhibitor,EGFR inhibitor,-0.13877,-0.492,0.966,0.98,FALSE,-0.004316771,-0.19172,-0.615,0.871,0.972,FALSE,-0.007585247,0,-0.005951009,0.002311162,-0.5535,0.086974134,0.986697356,FALSE,1.219512195,FALSE,FALSE
acetylcholine receptor agonist & EGFR inhibitor,acetylcholine receptor agonist,EGFR inhibitor,-0.32095,-1.17,0.281,0.599,FALSE,-0.260410618,-0.47243,-1.54,0.0862,0.672,FALSE,-0.265851319,0,-0.263130969,0.003847157,-1.355,0.261629509,0.114340549,FALSE,0,FALSE,FALSE
acetylcholine receptor antagonist & EGFR inhibitor,acetylcholine receptor antagonist,EGFR inhibitor,0.32216,1.06,0.379,0.592,FALSE,0.241338991,0.60878,2.09,0.00838,0.222,TRUE,1.366122283,1,0.803730637,0.795341894,1.575,0.728319985,0.021444889,FALSE,0,FALSE,FALSE
adenosine receptor antagonist & EGFR inhibitor,adenosine receptor antagonist,EGFR inhibitor,0.38447,1.25,0.259,0.662,FALSE,0.223927513,0.53509,1.85,0.0258,0.237,TRUE,1.15671556,1,0.690321537,0.659580753,1.55,0.424264069,0.040148716,FALSE,0,FALSE,FALSE
adrenergic receptor agonist & EGFR inhibitor,adrenergic receptor agonist,EGFR inhibitor,-0.11177,-0.393,0.988,0.989,FALSE,-0.001887857,0.16439,0.575,0.916,1,FALSE,0,0,-0.000943929,0.001334917,0.091,0.684479364,0.995338202,FALSE,0,FALSE,FALSE
adrenergic receptor antagonist & EGFR inhibitor,adrenergic receptor antagonist,EGFR inhibitor,0.29018,1.05,0.408,0.697,FALSE,0.164605583,0.27536,1.01,0.41,0.779,FALSE,0.109547168,0,0.137076375,0.038932179,1.03,0.028284271,0.466391064,FALSE,0,FALSE,FALSE
AKT inhibitor & EGFR inhibitor,AKT inhibitor,EGFR inhibitor,0.22859,0.813,0.633,1,FALSE,0,0.34007,1.17,0.292,0.806,FALSE,0.109588001,0,0.054794001,0.077490419,0.9915,0.252437121,0.496892093,FALSE,0,FALSE,FALSE
ALK tyrosine kinase receptor inhibitor & EGFR inhibitor,ALK tyrosine kinase receptor inhibitor,EGFR inhibitor,0.14131,0.49,0.952,0.951,FALSE,0.010691547,0.23324,0.824,0.64,0.89,FALSE,0.041702635,0,0.026197091,0.02192815,0.657,0.236173665,0.911164438,FALSE,1.234567901,FALSE,FALSE
androgen receptor antagonist & EGFR inhibitor,androgen receptor antagonist,EGFR inhibitor,0.31147,1.09,0.352,0.953,FALSE,0.022788738,0.44448,1.56,0.0657,0.411,FALSE,0.602406758,0,0.312597748,0.409851832,1.325,0.332340187,0.110238472,FALSE,0,FALSE,FALSE
antioxidant & EGFR inhibitor,antioxidant,EGFR inhibitor,-0.11805,-0.415,0.986,0.988,FALSE,-0.002175868,0.25612,0.878,0.562,0.833,FALSE,0.069673689,0,0.03374891,0.050805309,0.2315,0.914289068,0.88126513,FALSE,0,FALSE,FALSE
AP inhibitor & EGFR inhibitor,AP inhibitor,EGFR inhibitor,-0.36005,-1.24,0.229,0.648,FALSE,-0.233646993,-0.55831,-1.79,0.0266,0.465,FALSE,-0.595259214,0,-0.414453104,0.255698454,-1.515,0.38890873,0.037162884,FALSE,0,FALSE,FALSE
ATPase inhibitor & EGFR inhibitor,ATPase inhibitor,EGFR inhibitor,0.27342,0.982,0.456,0.713,FALSE,0.144266082,0.40375,1.42,0.126,0.513,FALSE,0.411633342,0,0.277949712,0.189057203,1.201,0.30971277,0.221592615,FALSE,0,FALSE,FALSE
Aurora kinase inhibitor & EGFR inhibitor,Aurora kinase inhibitor,EGFR inhibitor,-0.34103,-1.19,0.257,0.759,FALSE,-0.142512287,-0.42967,-1.4,0.149,0.664,FALSE,-0.248964689,0,-0.195738488,0.075273215,-1.295,0.148492424,0.163223459,FALSE,1.075268817,FALSE,FALSE
bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor,bacterial 50S ribosomal subunit inhibitor,EGFR inhibitor,0.10064,0.328,0.998,0.997,FALSE,0.000427988,-0.19617,-0.639,0.863,0.997,FALSE,-0.000833794,0,-0.000202903,0.000892215,-0.1555,0.683772257,0.98989889,FALSE,0,FALSE,FALSE
bacterial DNA gyrase inhibitor & EGFR inhibitor,bacterial DNA gyrase inhibitor,EGFR inhibitor,-0.31378,-1.12,0.31,0.636,FALSE,-0.22012803,-0.50736,-1.6,0.0827,0.634,FALSE,-0.316657187,0,-0.268392609,0.068256421,-1.36,0.339411255,0.119563755,FALSE,0,FALSE,FALSE
BCL inhibitor & EGFR inhibitor,BCL inhibitor,EGFR inhibitor,0.31881,1.08,0.349,0.816,FALSE,0.095374629,0.29107,1.04,0.368,0.804,FALSE,0.098533709,0,0.096954169,0.002233807,1.06,0.028284271,0.392020147,FALSE,0,FALSE,FALSE
Bcr.Abl kinase inhibitor & EGFR inhibitor,Bcr.Abl kinase inhibitor,EGFR inhibitor,-0.1272,-0.425,0.978,0.979,FALSE,-0.003917356,0.20857,0.725,0.749,0.948,FALSE,0.016813955,0,0.0064483,0.014659251,0.15,0.813172798,0.960528193,FALSE,0,FALSE,FALSE
