"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.91266,2.73,0,76,0
"EGFR inhibitor","NES","acetylcholine receptor antagonist",0.76641,2.27,0,190,0.0131
"EGFR inhibitor","NES","adenosine receptor antagonist",0.56188,1.66,0.0429,219,0.127
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.30177,-0.863,0.625,239,0.849
"EGFR inhibitor","NES","AKT inhibitor",0.58586,1.77,0.03,333,0.109
"EGFR inhibitor","NES","antioxidant",0.23377,0.709,0.787,353,0.798
"EGFR inhibitor","NES","AP inhibitor",-0.54247,-1.54,0.0758,503,0.197
"EGFR inhibitor","NES","ATPase inhibitor",0.71555,2.2,0,231,0.0161
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.64942,-1.81,0.0177,599,0.0676
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.23149,-0.638,0.87,459,0.98
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.65679,-1.81,0.0169,762,0.0676
"EGFR inhibitor","NES","bromodomain inhibitor",-0.33726,-0.945,0.529,774,0.779
"EGFR inhibitor","NES","calcium channel blocker",-0.13112,-0.362,0.997,393,0.996
"EGFR inhibitor","NES","DNA alkylating agent",0.47222,1.41,0.141,423,0.263
"EGFR inhibitor","NES","DNA inhibitor",0.34611,1.08,0.337,295,0.614
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.33333,1.02,0.421,533,0.567
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.57323,-1.59,0.0482,454,0.185
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.30798,0.932,0.52,554,0.615
"EGFR inhibitor","NES","HCV inhibitor",-0.36742,-1.03,0.416,291,0.697
"EGFR inhibitor","NES","HDAC inhibitor",-0.24953,-0.699,0.805,319,0.972
"EGFR inhibitor","NES","HMGCR inhibitor",-0.21679,-0.599,0.908,755,0.961
"EGFR inhibitor","NES","HSP inhibitor",-0.52971,-1.47,0.0909,562,0.235
"EGFR inhibitor","NES","MDM inhibitor",0.57649,1.71,0.0548,341,0.121
"EGFR inhibitor","NES","MEK inhibitor",-0.72244,-2.07,0,637,0.0163
"EGFR inhibitor","NES","mTOR inhibitor",0.42586,1.29,0.202,461,0.352
"EGFR inhibitor","NES","phosphatase inhibitor",-0.30119,-0.848,0.637,651,0.811
"EGFR inhibitor","NES","PLK inhibitor",-0.42882,-1.19,0.275,437,0.487
"EGFR inhibitor","NES","proteasome inhibitor",-0.75852,-2.17,0.00166,695,0.0124
"EGFR inhibitor","NES","protein synthesis inhibitor",0.27434,0.816,0.674,580,0.743
"EGFR inhibitor","NES","RAF inhibitor",-0.48696,-1.36,0.138,439,0.329
"EGFR inhibitor","NES","retinoid receptor agonist",0.33059,1.02,0.413,89,0.567
"EGFR inhibitor","NES","serotonin receptor agonist",0.34975,1.06,0.36,520,0.595
"EGFR inhibitor","NES","SYK inhibitor",0.65657,2.07,0.00276,277,0.0283
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.44425,-1.27,0.21,518,0.413
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.32526,1,0.447,542,0.558
"EGFR inhibitor","NES","VEGFR inhibitor",0.51454,1.56,0.0651,390,0.167
"EGFR inhibitor","NES","vitamin D receptor agonist",0.23924,0.72,0.772,608,0.828
"Abl kinase inhibitor","NES","EGFR inhibitor",-0.40969,-1.2,0.266,563,0.582
"Abl kinase inhibitor","NES","acetylcholine receptor antagonist",-0.457,-1.41,0.121,780,0.586
"Abl kinase inhibitor","NES","adenosine receptor antagonist",0.50097,1.4,0.122,230,0.307
"Abl kinase inhibitor","NES","adrenergic receptor agonist",0.52699,1.49,0.0908,148,0.3
"Abl kinase inhibitor","NES","AKT inhibitor",-0.35354,-1.1,0.333,280,0.519
"Abl kinase inhibitor","NES","antioxidant",0.55559,1.56,0.0617,72,0.381
"Abl kinase inhibitor","NES","AP inhibitor",0.35075,1.01,0.453,204,0.627
