"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.91266,2.73,0,0,TRUE,8.20191591874869,0.91266,2.73,0,0,TRUE,8.20191591874869,2,8.20191591874869,0,2.73,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",0.72935,2.18,0.00499,0.0204,TRUE,3.68500623501154,0.76641,2.27,0,0.0131,TRUE,4.27379415886142,2,3.97940019693648,0.416335933634995,2.225,0.0636396103067892,6.52988592337269e-05,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.88748,2.65,0,0.00115,TRUE,7.78915072306293,0.56188,1.66,0.0429,0.127,TRUE,1.48768582321311,2,4.63841827313802,4.45580856209281,2.155,0.700035713374682,0.000470013351402093,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.49114,-1.5,0.0767,0.181,FALSE,-1.11348213769622,-0.30177,-0.863,0.625,0.849,FALSE,-0.0613526633194689,0,-0.587417400507846,0.743967886018041,-1.1815,0.450427019615831,0.193564779518033,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.62267,1.83,0.017,0.128,TRUE,1.6338057555444,0.58586,1.77,0.03,0.109,TRUE,1.7037550986451,2,1.66878042709475,0.049461654846046,1.8,0.0424264068711929,0.00437636091444541,FALSE,0,"TRUE",TRUE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.51237,-1.58,0.0644,0.198,FALSE,-1.11126899938678,0.23377,0.709,0.787,0.798,FALSE,0.0694799500323328,0,-0.520894524677224,0.834915589013147,-0.4355,1.61856742213601,0.201827458594099,FALSE,0,"FALSE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.80665,-2.49,0.00252,0.00488,TRUE,-5.75583464321325,-0.54247,-1.54,0.0758,0.197,FALSE,-1.08652201171115,1,-3.4211783274622,3.30170262521514,-2.015,0.67175144212722,0.00182671530293821,FALSE,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",0.71519,2.19,0.00557,0.0232,TRUE,3.57958131308893,0.71555,2.2,0,0.0161,TRUE,3.94498307272993,2,3.76228219290943,0.258378062099649,2.195,0.00707106781186564,7.22823588908424e-05,FALSE,0,"TRUE",TRUE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.87848,-2.65,0,0,TRUE,-7.96156673431649,-0.64942,-1.81,0.0177,0.0676,TRUE,-2.11779648034564,2,-5.03968160733107,4.13216957427902,-2.23,0.5939696961967,0.000209434830363012,FALSE,1.0752688172043,"TRUE",TRUE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",0.49514,1.43,0.131,0.233,FALSE,0.904681032932793,-0.23149,-0.638,0.87,0.98,FALSE,-0.00559776370818829,0,0.449541634612302,0.643664309875168,0.396,1.46229682349378,0.361492328034359,FALSE,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.82841,-2.6,0,0.00232,TRUE,-6.84973123928366,-0.65679,-1.81,0.0169,0.0676,TRUE,-2.11779648034564,2,-4.48376385981465,3.34598315617741,-2.205,0.558614357137373,0.000200742675105971,FALSE,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
