"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.17577,0.634,0.843,142,0.936
"EGFR inhibitor","NES","Abl kinase inhibitor",0.40454,1.4,0.165,773,0.999
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.438,-1.45,0.129,1254,0.651
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.38719,-1.3,0.197,880,0.762
"EGFR inhibitor","NES","adenosine receptor antagonist",0.36913,1.31,0.196,11,0.982
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.23226,-0.775,0.675,1097,0.832
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.29802,-0.994,0.442,1113,0.816
"EGFR inhibitor","NES","AKT inhibitor",0.256,0.892,0.539,138,0.838
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.48195,1.66,0.0541,212,1
"EGFR inhibitor","NES","androgen receptor antagonist",-0.34791,-1.16,0.29,844,0.827
"EGFR inhibitor","NES","antioxidant",-0.51603,-1.72,0.0466,1224,0.374
"EGFR inhibitor","NES","AP inhibitor",-0.31789,-1.05,0.386,1155,0.823
"EGFR inhibitor","NES","ATPase inhibitor",0.2795,0.971,0.493,765,0.762
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.17496,0.616,0.855,908,0.906
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.33167,1.15,0.315,157,0.612
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.33653,-1.12,0.309,1239,0.867
"EGFR inhibitor","NES","BCL inhibitor",0.32596,1.16,0.274,156,0.662
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.40391,1.37,0.176,773,0.936
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.31564,1.09,0.333,104,0.619
"EGFR inhibitor","NES","bromodomain inhibitor",-0.63474,-2.13,0.00712,815,0.236
"EGFR inhibitor","NES","calcium channel blocker",0.33986,1.18,0.288,460,0.707
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.24993,-0.828,0.611,935,0.828
"EGFR inhibitor","NES","CDK inhibitor",0.37852,1.29,0.222,370,0.833
"EGFR inhibitor","NES","CHK inhibitor",0.40595,1.45,0.131,391,1
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.2812,-0.934,0.518,869,0.859
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.35592,-1.17,0.296,636,0.863
"EGFR inhibitor","NES","DNA alkylating agent",0.18286,0.656,0.809,341,0.964
"EGFR inhibitor","NES","DNA inhibitor",-0.31678,-1.07,0.383,1142,0.828
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.29977,-0.999,0.45,860,0.843
"EGFR inhibitor","NES","DNA polymerase inhibitor",0.22654,0.793,0.643,477,0.887
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.2049,0.731,0.752,331,0.949
