"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.803467","Pearson.est","sodium channel blocker",0.28933,0.762,0.726,265,1,TRUE,FALSE,"sodium channel blocker"
"A61603","Pearson.est","adrenergic receptor agonist",0.19953,0.509,0.963,1044,0.974,TRUE,FALSE,"adrenergic receptor agonist"
"ACDPP","Pearson.est","glutamate receptor antagonist",0.27696,0.772,0.692,203,0.988,TRUE,FALSE,"glutamate receptor antagonist"
"ADL5859","Pearson.est","opioid receptor agonist",-0.39807,-1.04,0.414,876,0.843,TRUE,FALSE,"opioid receptor agonist"
"AEE788","Pearson.est","EGFR inhibitor",-0.30329,-0.781,0.717,989,0.933,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",-0.22306,-0.57,0.934,832,0.996,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",-0.58287,-1.55,0.0663,762,0.532,TRUE,FALSE,"PARP inhibitor"
"AM.580","Pearson.est","retinoid receptor agonist",-0.40913,-1.09,0.35,821,1,TRUE,FALSE,"retinoid receptor agonist"
"AMG458","Pearson.est","MET inhibitor",-0.36697,-0.984,0.458,1000,0.712,TRUE,FALSE,"MET inhibitor"
"ARRY.334543","Pearson.est","EGFR inhibitor",0.1518,0.434,0.994,956,0.993,TRUE,FALSE,"EGFR inhibitor"
"AS.703026","Pearson.est","MEK inhibitor",-0.33076,-0.935,0.519,1114,0.711,TRUE,FALSE,"MEK inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.27936,0.796,0.671,260,0.945,TRUE,FALSE,"CDK inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",0.2603,0.72,0.82,126,0.96,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AV.412","Pearson.est","protein tyrosine kinase inhibitor",-0.31237,-0.909,0.536,1160,0.715,TRUE,FALSE,"protein tyrosine kinase inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",0.30218,0.817,0.637,361,0.807,TRUE,FALSE,"JAK inhibitor"
"AZD2014","Pearson.est","mTOR inhibitor",-0.32137,-0.85,0.613,961,0.815,TRUE,FALSE,"mTOR inhibitor"
"AZD5438","Pearson.est","CDK inhibitor",0.36091,0.932,0.532,80,0.825,TRUE,FALSE,"CDK inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.26142,0.699,0.831,424,0.851,TRUE,FALSE,"PI3K inhibitor"
"AZD8055","Pearson.est","mTOR inhibitor",0.22592,0.607,0.903,451,0.946,TRUE,FALSE,"mTOR inhibitor"
"AZD8330","Pearson.est","MEK inhibitor",0.37729,0.985,0.45,209,0.727,TRUE,FALSE,"MEK inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",0.20811,0.552,0.942,27,0.966,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",0.27009,0.699,0.824,193,0.993,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",-0.29422,-0.849,0.586,953,0.802,TRUE,FALSE,"histamine receptor antagonist"
"BGT226","Pearson.est","PI3K inhibitor",0.35716,0.932,0.553,212,0.666,TRUE,FALSE,"PI3K inhibitor"
"BIBU.1361","Pearson.est","EGFR inhibitor",-0.36701,-1.04,0.38,1008,0.78,TRUE,FALSE,"EGFR inhibitor"
"BIBX.1382","Pearson.est","EGFR inhibitor",0.17855,0.489,0.974,523,0.977,TRUE,FALSE,"EGFR inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.19218,-0.516,0.945,993,0.968,TRUE,FALSE,"MEK inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",0.2193,0.606,0.92,551,0.929,TRUE,FALSE,"CDK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",0.37236,0.993,0.436,466,1,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
"BMS.599626","Pearson.est","EGFR inhibitor",0.18694,0.547,0.947,246,0.958,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BMS.599626","Pearson.est","protein tyrosine kinase inhibitor",-0.64216,-1.72,0.0256,863,0.652,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BMS.690514","Pearson.est","EGFR inhibitor",0.34423,0.956,0.501,285,0.675,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"CB.10.277","Pearson.est","DNA synthesis inhibitor",-0.30124,-0.814,0.659,1097,0.787,TRUE,FALSE,"DNA synthesis inhibitor"
"CCT129202","Pearson.est","Aurora kinase inhibitor",0.20981,0.545,0.959,265,1,TRUE,FALSE,"Aurora kinase inhibitor"
"CD.437","Pearson.est","retinoid receptor agonist",-0.3657,-1.03,0.371,1013,0.728,TRUE,FALSE,"retinoid receptor agonist"
"CEP.33779","Pearson.est","JAK inhibitor",0.32987,0.898,0.585,183,0.806,TRUE,FALSE,"JAK inhibitor"
"CGP.37849","Pearson.est","glutamate receptor antagonist",0.29902,0.805,0.706,271,0.812,TRUE,FALSE,"glutamate receptor antagonist"
"CGP.52411","Pearson.est","EGFR inhibitor",0.20661,0.551,0.948,140,0.991,TRUE,FALSE,"EGFR inhibitor"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",0.28986,0.749,0.768,248,1,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
