"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.17577,0.634,0.843,142,0.936
"Abl kinase inhibitor","NES","Abl kinase inhibitor",-0.38457,-1.36,0.163,970,0.574
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",-0.36486,-1.31,0.164,868,0.765
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.2938,1.02,0.403,362,0.747
"adenosine receptor antagonist","NES","adenosine receptor antagonist",-0.61222,-2.11,0.0076,1248,0.163
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.51979,1.79,0.0417,199,0.42
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.17089,0.573,0.891,975,0.999
"AKT inhibitor","NES","AKT inhibitor",0.49159,1.62,0.0693,415,0.661
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.45324,1.54,0.107,49,1
"androgen receptor antagonist","NES","androgen receptor antagonist",0.7362,2.58,0,331,0.0271
"antioxidant","NES","antioxidant",0.31808,1.09,0.365,537,0.73
"AP inhibitor","NES","AP inhibitor",0.44909,1.49,0.119,365,0.687
"ATPase inhibitor","NES","ATPase inhibitor",0.30135,0.987,0.448,505,0.698
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.54358,1.71,0.0429,352,0.388
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.51597,-1.85,0.0261,1001,0.202
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.24663,0.844,0.609,121,1
"BCL inhibitor","NES","BCL inhibitor",0.30992,1.03,0.404,318,0.853
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",-0.35374,-1.19,0.27,1231,0.751
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.26822,0.916,0.494,280,0.836
"bromodomain inhibitor","NES","bromodomain inhibitor",0.57939,1.84,0.0193,394,0.511
"calcium channel blocker","NES","calcium channel blocker",-0.22924,-0.781,0.681,932,0.852
