pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass
EGFR inhibitor & EGFR inhibitor,EGFR inhibitor,EGFR inhibitor,0.17577,0.634,0.843,0.936,FALSE,0.018211112,0.17577,0.634,0.843,0.936,FALSE,0.018211112,0,0.018211112,0,0.634,0,0.953390099,TRUE,100,FALSE,FALSE
Abl kinase inhibitor & EGFR inhibitor,Abl kinase inhibitor,EGFR inhibitor,0.25949,0.897,0.56,0.789,FALSE,0.092321928,0.40454,1.4,0.165,0.999,FALSE,0.000608316,0,0.046465122,0.064851317,1.1485,0.355674711,0.312462455,FALSE,1.219512195,FALSE,FALSE
acetylcholine receptor agonist & EGFR inhibitor,acetylcholine receptor agonist,EGFR inhibitor,-0.26923,-0.944,0.506,0.9,FALSE,-0.043195071,-0.438,-1.45,0.129,0.651,FALSE,-0.270307567,0,-0.156751319,0.160592786,-1.197,0.357796031,0.243417287,FALSE,0,FALSE,FALSE
acetylcholine receptor antagonist & EGFR inhibitor,acetylcholine receptor antagonist,EGFR inhibitor,0.16564,0.56,0.895,0.985,FALSE,0.003675711,-0.38719,-1.3,0.197,0.762,FALSE,-0.153458537,0,-0.074891413,0.111110692,-0.37,1.315218613,0.482306705,FALSE,0,FALSE,FALSE
adenosine receptor antagonist & EGFR inhibitor,adenosine receptor antagonist,EGFR inhibitor,0.34687,1.22,0.254,1,FALSE,0,0.36913,1.31,0.196,0.982,FALSE,0.010333951,0,0.005166975,0.007307207,1.265,0.06363961,0.199139068,FALSE,0,FALSE,FALSE
adrenergic receptor agonist & EGFR inhibitor,adrenergic receptor agonist,EGFR inhibitor,0.172,0.581,0.876,0.955,FALSE,0.011618041,-0.23226,-0.775,0.675,0.832,FALSE,-0.061904422,0,-0.025143191,0.051988232,-0.097,0.958836795,0.901987809,FALSE,0,FALSE,FALSE
adrenergic receptor antagonist & EGFR inhibitor,adrenergic receptor antagonist,EGFR inhibitor,-0.23093,-0.806,0.637,1,FALSE,0,-0.29802,-0.994,0.442,0.816,FALSE,-0.087779982,0,-0.043889991,0.062069821,-0.9,0.132936075,0.638404273,FALSE,0,FALSE,FALSE
AKT inhibitor & EGFR inhibitor,AKT inhibitor,EGFR inhibitor,-0.13876,-0.47,0.965,1,FALSE,0,0.256,0.892,0.539,0.838,FALSE,0.068466335,0,0.034233168,0.04841301,0.211,0.963079436,0.860130026,FALSE,0,FALSE,FALSE
ALK tyrosine kinase receptor inhibitor & EGFR inhibitor,ALK tyrosine kinase receptor inhibitor,EGFR inhibitor,0.30126,1.01,0.438,0.866,FALSE,0.063106929,0.48195,1.66,0.0541,1,FALSE,0,0,0.031553465,0.044623337,1.335,0.459619408,0.112376324,FALSE,1.234567901,FALSE,FALSE
androgen receptor antagonist & EGFR inhibitor,androgen receptor antagonist,EGFR inhibitor,-0.15311,-0.509,0.942,0.948,FALSE,-0.011804556,-0.34791,-1.16,0.29,0.827,FALSE,-0.095693609,0,-0.053749083,0.059318518,-0.8345,0.460326515,0.627665023,FALSE,0,FALSE,FALSE
antioxidant & EGFR inhibitor,antioxidant,EGFR inhibitor,0.10176,0.353,0.994,0.995,FALSE,0.000768452,-0.51603,-1.72,0.0466,0.374,FALSE,-0.734660844,0,-0.366946196,0.520027043,-0.6835,1.465832357,0.188624673,FALSE,0,FALSE,FALSE
AP inhibitor & EGFR inhibitor,AP inhibitor,EGFR inhibitor,-0.27993,-0.943,0.488,0.861,FALSE,-0.061292028,-0.31789,-1.05,0.386,0.823,FALSE,-0.088830173,0,-0.075061101,0.019472409,-0.9965,0.075660426,0.502821587,FALSE,0,FALSE,FALSE
ATPase inhibitor & EGFR inhibitor,ATPase inhibitor,EGFR inhibitor,-0.13898,-0.484,0.961,1,FALSE,0,0.2795,0.971,0.493,0.762,FALSE,0.114621723,0,0.057310861,0.081049797,0.2435,1.028840367,0.827694211,FALSE,0,FALSE,FALSE
Aurora kinase inhibitor & EGFR inhibitor,Aurora kinase inhibitor,EGFR inhibitor,-0.17249,-0.589,0.871,1,FALSE,0,0.17496,0.616,0.855,0.906,FALSE,0.02640903,0,0.013204515,0.018674004,0.0135,0.852063671,0.964219542,FALSE,1.075268817,FALSE,FALSE
bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor,bacterial 50S ribosomal subunit inhibitor,EGFR inhibitor,0.10966,0.39,0.984,0.989,FALSE,0.001873446,0.33167,1.15,0.315,0.612,FALSE,0.245235865,0,0.123554655,0.172083216,0.77,0.537401154,0.673019874,FALSE,0,FALSE,FALSE
bacterial DNA gyrase inhibitor & EGFR inhibitor,bacterial DNA gyrase inhibitor,EGFR inhibitor,-0.12414,-0.428,0.988,0.98,FALSE,-0.00375524,-0.33653,-1.12,0.309,0.867,FALSE,-0.069418611,0,-0.036586925,0.046431015,-0.774,0.489317893,0.667516862,FALSE,0,FALSE,FALSE
BCL inhibitor & EGFR inhibitor,BCL inhibitor,EGFR inhibitor,0.16336,0.531,0.922,0.996,FALSE,0.000924291,0.32596,1.16,0.274,0.662,FALSE,0.207804732,0,0.104364512,0.146286563,0.8455,0.444770165,0.600203007,FALSE,0,FALSE,FALSE
