"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","Abl kinase inhibitor",0.42459,1.28,0.218,460,0.35
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.38855,-1.13,0.324,694,0.705
"EGFR inhibitor","NES","AKT inhibitor",0.45936,1.38,0.169,286,0.359
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.85316,2.55,0,121,0.00134
"EGFR inhibitor","NES","androgen receptor antagonist",-0.34614,-1.01,0.447,518,0.632
"EGFR inhibitor","NES","AP inhibitor",-0.31754,-0.927,0.523,711,0.624
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.32564,0.985,0.448,541,0.512
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.42459,1.28,0.201,460,0.35
"EGFR inhibitor","NES","bromodomain inhibitor",-0.62911,-1.79,0.0249,497,0.157
"EGFR inhibitor","NES","CC chemokine receptor antagonist",0.35568,1.08,0.352,312,0.469
"EGFR inhibitor","NES","CDK inhibitor",0.75032,2.31,0.00484,203,0.0125
"EGFR inhibitor","NES","estrogen receptor antagonist",0.32785,1.02,0.407,536,0.504
"EGFR inhibitor","NES","FGFR inhibitor",0.84177,2.56,0,130,0.00269
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.38583,1.18,0.277,152,0.39
"EGFR inhibitor","NES","HDAC inhibitor",-0.39768,-1.19,0.267,309,0.721
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.30548,-0.877,0.563,600,0.635
"EGFR inhibitor","NES","HMGCR inhibitor",-0.55852,-1.63,0.0432,645,0.231
"EGFR inhibitor","NES","HSP inhibitor",-0.3962,-1.12,0.34,313,0.62
"EGFR inhibitor","NES","MDM inhibitor",0.48388,1.47,0.112,253,0.322
"EGFR inhibitor","NES","microtubule inhibitor",0.3934,1.2,0.259,485,0.401
"EGFR inhibitor","NES","mTOR inhibitor",-0.52536,-1.55,0.0891,471,0.255
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.73827,2.23,0,158,0.0105
"EGFR inhibitor","NES","phosphatase inhibitor",-0.33598,-0.977,0.447,665,0.614
"EGFR inhibitor","NES","PLK inhibitor",-0.36882,-1.08,0.362,291,0.598
"EGFR inhibitor","NES","progesterone receptor agonist",0.29657,0.914,0.552,13,0.565
"EGFR inhibitor","NES","serotonin receptor agonist",-0.61946,-1.79,0.0166,585,0.157
"EGFR inhibitor","NES","topoisomerase inhibitor",0.22134,0.674,0.788,512,0.817
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.21207,-0.623,0.846,310,0.865
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.43284,1.29,0.175,215,0.423
"EGFR inhibitor","NES","VEGFR inhibitor",0.75075,2.29,0.00245,158,0.00975
"Abl kinase inhibitor","NES","Abl kinase inhibitor",-0.31063,-0.949,0.479,725,0.834
"Abl kinase inhibitor","NES","adrenergic receptor agonist",0.27629,0.834,0.625,329,0.727
"Abl kinase inhibitor","NES","AKT inhibitor",0.4544,1.38,0.155,108,0.286
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.78987,2.44,0,171,0.0049
"Abl kinase inhibitor","NES","androgen receptor antagonist",-0.45247,-1.35,0.182,357,0.498
"Abl kinase inhibitor","NES","AP inhibitor",-0.18184,-0.545,0.943,632,0.926
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",-0.20128,-0.615,0.885,157,1
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",-0.31063,-0.943,0.533,725,0.76
"Abl kinase inhibitor","NES","bromodomain inhibitor",-0.81646,-2.42,0,645,0.00306
"Abl kinase inhibitor","NES","CC chemokine receptor antagonist",0.69494,2.05,0.00413,246,0.0186
"Abl kinase inhibitor","NES","CDK inhibitor",-0.33944,-1.02,0.443,519,0.8
"Abl kinase inhibitor","NES","estrogen receptor antagonist",0.46722,1.41,0.14,121,0.291
"Abl kinase inhibitor","NES","FGFR inhibitor",0.75949,2.23,0,195,0.0113
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",-0.21229,-0.64,0.867,471,1
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.1879,-0.58,0.924,146,0.967
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",-0.40996,-1.25,0.235,476,0.494
"Abl kinase inhibitor","NES","HMGCR inhibitor",0.37273,1.16,0.297,343,0.444
"Abl kinase inhibitor","NES","HSP inhibitor",-0.47342,-1.41,0.163,374,0.511
"Abl kinase inhibitor","NES","MDM inhibitor",-0.44122,-1.33,0.162,666,0.441
"Abl kinase inhibitor","NES","microtubule inhibitor",0.19924,0.599,0.891,638,0.887
"Abl kinase inhibitor","NES","mTOR inhibitor",-0.51364,-1.52,0.0862,485,0.449
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.56775,1.67,0.0458,206,0.122
"Abl kinase inhibitor","NES","phosphatase inhibitor",-0.71785,-2.11,0.00397,638,0.0275
"Abl kinase inhibitor","NES","PLK inhibitor",0.23067,0.697,0.788,613,0.847
"Abl kinase inhibitor","NES","progesterone receptor agonist",0.68933,2.11,0.00591,48,0.015
"Abl kinase inhibitor","NES","serotonin receptor agonist",0.30886,0.92,0.535,551,0.667
"Abl kinase inhibitor","NES","topoisomerase inhibitor",0.32412,0.994,0.456,416,0.616
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.21059,-0.63,0.847,163,1
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.43932,1.31,0.2,106,0.323
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.72033,2.15,0.0057,132,0.0147
"acetylcholine receptor agonist","NES","Abl kinase inhibitor",-0.31442,-0.946,0.523,593,0.639
"acetylcholine receptor agonist","NES","adrenergic receptor agonist",-0.32089,-0.979,0.453,756,0.649
"acetylcholine receptor agonist","NES","AKT inhibitor",-0.48419,-1.5,0.0848,511,0.229
"acetylcholine receptor agonist","NES","ALK tyrosine kinase receptor inhibitor",0.37039,1.09,0.37,66,0.633
"acetylcholine receptor agonist","NES","androgen receptor antagonist",-0.32508,-0.981,0.451,534,0.718
"acetylcholine receptor agonist","NES","AP inhibitor",0.35366,1.07,0.379,194,0.599
"acetylcholine receptor agonist","NES","Aurora kinase inhibitor",0.5271,1.52,0.0907,275,0.284
"acetylcholine receptor agonist","NES","Bcr.Abl kinase inhibitor",-0.31442,-0.928,0.54,593,0.561
"acetylcholine receptor agonist","NES","bromodomain inhibitor",0.26346,0.78,0.686,301,0.701
"acetylcholine receptor agonist","NES","CC chemokine receptor antagonist",-0.47436,-1.44,0.106,370,0.244
"acetylcholine receptor agonist","NES","CDK inhibitor",-0.49037,-1.52,0.0801,382,0.321
"acetylcholine receptor agonist","NES","estrogen receptor antagonist",0.28462,0.842,0.633,563,0.671
"acetylcholine receptor agonist","NES","FGFR inhibitor",-0.18462,-0.552,0.948,144,0.922
"acetylcholine receptor agonist","NES","glucocorticoid receptor agonist",-0.60893,-1.84,0.0154,642,0.318
"acetylcholine receptor agonist","NES","HDAC inhibitor",0.60729,1.78,0.0227,197,0.238
"acetylcholine receptor agonist","NES","histone lysine methyltransferase inhibitor",0.32259,0.969,0.486,99,0.696
"acetylcholine receptor agonist","NES","HMGCR inhibitor",0.6359,1.87,0.0107,289,0.295
"acetylcholine receptor agonist","NES","HSP inhibitor",0.53974,1.65,0.0604,364,0.216
"acetylcholine receptor agonist","NES","MDM inhibitor",-0.53081,-1.58,0.0846,532,0.341
"acetylcholine receptor agonist","NES","microtubule inhibitor",0.38958,1.17,0.294,127,0.66
"acetylcholine receptor agonist","NES","mTOR inhibitor",-0.59932,-1.8,0.0262,504,0.201
"acetylcholine receptor agonist","NES","PDGFR tyrosine kinase receptor inhibitor",-0.4955,-1.51,0.0953,385,0.265
"acetylcholine receptor agonist","NES","phosphatase inhibitor",0.29868,0.908,0.519,374,0.677
"acetylcholine receptor agonist","NES","PLK inhibitor",0.59442,1.76,0.0323,134,0.174
"acetylcholine receptor agonist","NES","progesterone receptor agonist",0.32374,0.966,0.507,381,0.642
"acetylcholine receptor agonist","NES","serotonin receptor agonist",-0.30422,-0.931,0.515,643,0.604
"acetylcholine receptor agonist","NES","topoisomerase inhibitor",0.46497,1.35,0.165,114,0.441
"acetylcholine receptor agonist","NES","tubulin polymerization inhibitor",0.38965,1.14,0.309,343,0.626
"acetylcholine receptor agonist","NES","tyrosine kinase inhibitor",0.28705,0.864,0.583,131,0.69
"acetylcholine receptor agonist","NES","VEGFR inhibitor",-0.39974,-1.22,0.255,309,0.433
"acetylcholine receptor antagonist","NES","Abl kinase inhibitor",0.29264,0.903,0.548,409,0.684
"acetylcholine receptor antagonist","NES","adrenergic receptor agonist",0.71769,2.14,0.00423,162,0.0682
"acetylcholine receptor antagonist","NES","AKT inhibitor",-0.34665,-1.05,0.419,418,0.457
"acetylcholine receptor antagonist","NES","ALK tyrosine kinase receptor inhibitor",-0.77011,-2.36,0,603,0.00821
"acetylcholine receptor antagonist","NES","androgen receptor antagonist",0.61295,1.81,0.0295,99,0.105
"acetylcholine receptor antagonist","NES","AP inhibitor",0.35531,1.08,0.385,227,0.785
"acetylcholine receptor antagonist","NES","Aurora kinase inhibitor",-0.5718,-1.77,0.0244,442,0.139
"acetylcholine receptor antagonist","NES","Bcr.Abl kinase inhibitor",0.29264,0.921,0.524,409,0.787
"acetylcholine receptor antagonist","NES","bromodomain inhibitor",0.30268,0.908,0.536,551,0.739
"acetylcholine receptor antagonist","NES","CC chemokine receptor antagonist",0.31801,0.976,0.451,539,0.869
"acetylcholine receptor antagonist","NES","CDK inhibitor",-0.66395,-1.95,0.00561,667,0.0839
"acetylcholine receptor antagonist","NES","estrogen receptor antagonist",0.6092,1.88,0.025,311,0.155
"acetylcholine receptor antagonist","NES","FGFR inhibitor",0.31543,0.953,0.494,96,0.814
"acetylcholine receptor antagonist","NES","glucocorticoid receptor agonist",-0.47623,-1.4,0.145,464,0.221
"acetylcholine receptor antagonist","NES","HDAC inhibitor",-0.5273,-1.57,0.073,593,0.151
"acetylcholine receptor antagonist","NES","histone lysine methyltransferase inhibitor",-0.38367,-1.15,0.297,701,0.387
"acetylcholine receptor antagonist","NES","HMGCR inhibitor",0.60481,1.84,0.035,180,0.121
"acetylcholine receptor antagonist","NES","HSP inhibitor",0.20814,0.64,0.868,52,0.847
"acetylcholine receptor antagonist","NES","microtubule inhibitor",-0.5436,-1.61,0.0584,596,0.148
"acetylcholine receptor antagonist","NES","mTOR inhibitor",0.21328,0.64,0.843,515,0.847
"acetylcholine receptor antagonist","NES","PDGFR tyrosine kinase receptor inhibitor",0.3859,1.19,0.286,487,0.681
"acetylcholine receptor antagonist","NES","phosphatase inhibitor",0.25188,0.78,0.68,146,0.803
"acetylcholine receptor antagonist","NES","PLK inhibitor",-0.45427,-1.37,0.152,645,0.219
"acetylcholine receptor antagonist","NES","progesterone receptor agonist",-0.26948,-0.805,0.657,211,0.719
"acetylcholine receptor antagonist","NES","serotonin receptor agonist",0.55836,1.68,0.0579,132,0.153
"acetylcholine receptor antagonist","NES","topoisomerase inhibitor",-0.54377,-1.61,0.0699,539,0.148
