"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"Abl kinase inhibitor","NES","Abl kinase inhibitor",-0.31063,-0.949,0.479,725,0.834
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.85642,2.51,0,121,0.00322
"AKT inhibitor","NES","AKT inhibitor",0.76553,2.26,0,191,0.0174
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.81899,2.43,0,148,0.00814
"androgen receptor antagonist","NES","androgen receptor antagonist",0.73747,2.25,0.00231,205,0.0277
"AP inhibitor","NES","AP inhibitor",0.45011,1.31,0.176,225,0.408
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.69754,1.95,0.0131,214,0.0426
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.33319,1.01,0.417,138,0.461
"bromodomain inhibitor","NES","bromodomain inhibitor",0.68516,2,0.00517,249,0.0479
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.76611,2.23,0.00177,79,0.0148
"CDK inhibitor","NES","CDK inhibitor",0.80735,2.38,0,158,0.00694
"FGFR inhibitor","NES","FGFR inhibitor",0.83969,2.5,0,131,0.00124
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.81959,2.29,0,159,0.000979
"HDAC inhibitor","NES","HDAC inhibitor",0.76592,2.17,0,165,0.00852
"HSP inhibitor","NES","HSP inhibitor",0.74557,2.15,0,206,0.0277
"microtubule inhibitor","NES","microtubule inhibitor",0.67513,1.92,0.00488,263,0.025
"mTOR inhibitor","NES","mTOR inhibitor",0.83567,2.44,0,139,0
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.85388,2.52,0,123,0
"phosphatase inhibitor","NES","phosphatase inhibitor",0.3693,1.11,0.355,336,0.493
"PLK inhibitor","NES","PLK inhibitor",0.71272,2.02,0.0106,149,0.0273
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.71742,2.01,0.00167,239,0.0225
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.63695,1.82,0.0181,302,0.0596
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.59287,1.78,0.0333,163,0.157
"VEGFR inhibitor","NES","VEGFR inhibitor",0.87612,2.56,0,109,0.000832
