"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.70764,2.42,0,194,0.0311
"EGFR inhibitor","NES","Abl kinase inhibitor",0.21632,0.718,0.743,1059,0.994
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.44971,-1.37,0.149,939,0.68
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.49974,-1.51,0.113,905,0.683
"EGFR inhibitor","NES","adenosine receptor antagonist",0.28831,0.971,0.476,57,0.879
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.27343,-0.82,0.659,1147,0.777
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.21738,0.72,0.756,333,1
"EGFR inhibitor","NES","AKT inhibitor",0.39544,1.31,0.176,330,0.813
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.3785,1.27,0.213,177,0.821
"EGFR inhibitor","NES","androgen receptor antagonist",-0.43946,-1.31,0.172,1088,0.556
"EGFR inhibitor","NES","antioxidant",-0.53385,-1.61,0.0546,869,0.674
"EGFR inhibitor","NES","AP inhibitor",-0.51863,-1.55,0.063,696,0.701
"EGFR inhibitor","NES","ATPase inhibitor",0.21144,0.719,0.792,286,1
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.2931,-0.89,0.565,791,0.715
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.17405,-0.526,0.943,1090,0.944
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.33161,-1.01,0.432,779,0.722
"EGFR inhibitor","NES","BCL inhibitor",0.2897,1,0.414,667,0.91
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.2322,-0.711,0.823,744,0.862
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.24714,0.812,0.663,163,0.934
"EGFR inhibitor","NES","bromodomain inhibitor",0.58193,1.91,0.0161,266,0.21
"EGFR inhibitor","NES","calcium channel blocker",-0.30615,-0.927,0.523,819,0.741
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.65914,-2.03,0.00623,1106,0.265
"EGFR inhibitor","NES","CDK inhibitor",0.18093,0.616,0.869,150,0.948
"EGFR inhibitor","NES","CHK inhibitor",0.78225,2.65,0,299,0.00676
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.28071,-0.854,0.611,1012,0.747
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.46404,-1.4,0.124,837,0.766
"EGFR inhibitor","NES","DNA alkylating agent",0.32703,1.08,0.329,214,1
"EGFR inhibitor","NES","DNA inhibitor",-0.43847,-1.31,0.207,997,0.556
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.27306,0.918,0.529,348,0.838
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.3692,-1.12,0.339,1065,0.701
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.46608,1.58,0.0731,241,0.432
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.29498,-0.897,0.561,1274,0.724
"EGFR inhibitor","NES","estrogen receptor agonist",-0.33885,-1.04,0.376,882,0.754
"EGFR inhibitor","NES","estrogen receptor antagonist",0.31321,1.04,0.363,75,0.919
"EGFR inhibitor","NES","FGFR inhibitor",-0.3296,-1.01,0.433,755,0.722
"EGFR inhibitor","NES","FLT3 inhibitor",-0.23776,-0.726,0.769,791,0.864
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.55081,1.85,0.032,500,0.218
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.3156,-0.98,0.455,788,0.723
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.19904,0.661,0.828,119,0.978
"EGFR inhibitor","NES","growth factor receptor inhibitor",-0.29978,-0.916,0.534,402,0.715
"EGFR inhibitor","NES","HCV inhibitor",0.16244,0.531,0.94,1130,0.968
"EGFR inhibitor","NES","HDAC inhibitor",0.18732,0.628,0.869,189,0.962
"EGFR inhibitor","NES","histamine receptor antagonist",-0.45056,-1.38,0.13,959,0.731
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.58228,-1.77,0.0211,782,0.414
"EGFR inhibitor","NES","HMGCR inhibitor",-0.27422,-0.818,0.677,368,0.76
"EGFR inhibitor","NES","HSP inhibitor",0.28923,0.968,0.439,362,0.846
"EGFR inhibitor","NES","JAK inhibitor",0.15327,0.514,0.92,1144,0.954
"EGFR inhibitor","NES","KIT inhibitor",-0.44124,-1.34,0.184,758,0.688
"EGFR inhibitor","NES","MDM inhibitor",-0.31452,-0.966,0.483,913,0.723
"EGFR inhibitor","NES","MEK inhibitor",0.17823,0.603,0.874,978,0.937
"EGFR inhibitor","NES","MET inhibitor",-0.38608,-1.18,0.286,1117,0.69
"EGFR inhibitor","NES","microtubule inhibitor",-0.21417,-0.641,0.879,894,0.917
"EGFR inhibitor","NES","mTOR inhibitor",0.44223,1.45,0.108,277,0.585
"EGFR inhibitor","NES","NFkB pathway inhibitor",0.20359,0.684,0.811,1076,0.979
"EGFR inhibitor","NES","opioid receptor agonist",-0.59483,-1.79,0.025,903,0.555
