"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",0.2991,0.745,0.813,723,0.956,TRUE,FALSE,"AKT inhibitor"
"A.803467","Pearson.est","sodium channel blocker",-0.4021,-1.15,0.262,536,0.646,TRUE,FALSE,"sodium channel blocker"
"A61603","Pearson.est","adrenergic receptor agonist",-0.23882,-0.666,0.857,1273,0.998,TRUE,FALSE,"adrenergic receptor agonist"
"ACDPP","Pearson.est","glutamate receptor antagonist",-0.31659,-0.851,0.651,1263,0.75,TRUE,FALSE,"glutamate receptor antagonist"
"AG.14361","Pearson.est","PARP inhibitor",0.35404,0.881,0.594,300,0.754,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",-0.43929,-1.17,0.28,1119,0.583,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.35975,0.903,0.595,430,0.848,TRUE,FALSE,"tyrosine kinase inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.36639,0.954,0.467,429,0.708,TRUE,FALSE,"CDK inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",-0.25734,-0.727,0.804,342,0.786,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AV.412","Pearson.est","protein tyrosine kinase inhibitor",-0.49894,-1.32,0.163,1255,0.68,TRUE,FALSE,"protein tyrosine kinase inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",0.29318,0.736,0.775,412,0.855,TRUE,FALSE,"JAK inhibitor"
"AZD2461","Pearson.est","PARP inhibitor",0.31974,0.758,0.765,125,0.966,TRUE,FALSE,"PARP inhibitor"
"AZD2858","Pearson.est","glycogen synthase kinase inhibitor",0.36433,0.929,0.5,290,0.792,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"AZD5438","Pearson.est","CDK inhibitor",0.4032,0.988,0.479,652,1,TRUE,FALSE,"CDK inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.34807,0.818,0.725,453,0.97,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",-0.27816,-0.778,0.728,1018,0.983,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",-0.34578,-0.866,0.622,1289,0.921,TRUE,FALSE,"NFkB pathway inhibitor"
"BIBU.1361","Pearson.est","EGFR inhibitor",0.33668,0.842,0.666,239,0.989,TRUE,FALSE,"EGFR inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.50009,-1.23,0.224,759,0.623,TRUE,FALSE,"MEK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",0.2389,0.591,0.914,279,0.96,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
"BMS.599626","Pearson.est","EGFR inhibitor",-0.23221,-0.617,0.898,947,0.955,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BMS.599626","Pearson.est","protein tyrosine kinase inhibitor",-0.4595,-1.2,0.257,1171,0.585,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BMS.690514","Pearson.est","VEGFR inhibitor",0.33848,0.871,0.585,213,0.855,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"CB.10.277","Pearson.est","DNA synthesis inhibitor",-0.60046,-1.61,0.067,1223,0.53,TRUE,FALSE,"DNA synthesis inhibitor"
"CCT129202","Pearson.est","Aurora kinase inhibitor",0.25392,0.586,0.939,752,1,TRUE,FALSE,"Aurora kinase inhibitor"
"CEP.33779","Pearson.est","JAK inhibitor",0.38354,0.993,0.466,196,0.936,TRUE,FALSE,"JAK inhibitor"
"CGP.37849","Pearson.est","glutamate receptor antagonist",-0.47893,-1.18,0.265,1007,0.59,TRUE,FALSE,"glutamate receptor antagonist"
"CGP.52411","Pearson.est","EGFR inhibitor",-0.31171,-0.832,0.663,1072,0.94,TRUE,FALSE,"EGFR inhibitor"
"CGS.15943","Pearson.est","adenosine receptor antagonist",0.34034,0.892,0.565,79,0.83,TRUE,FALSE,"adenosine receptor antagonist"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",-0.47154,-1.25,0.216,1282,0.664,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CHIR.98014","Pearson.est","glycogen synthase kinase inhibitor",-0.44405,-1.14,0.305,1246,0.66,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CHIR.99021","Pearson.est","glycogen synthase kinase inhibitor",0.37557,0.938,0.546,99,1,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CL.218872","Pearson.est","benzodiazepine receptor agonist",-0.26918,-0.697,0.808,937,0.841,TRUE,FALSE,"benzodiazepine receptor agonist"
"CNX.2006","Pearson.est","EGFR inhibitor",-0.37667,-0.981,0.45,1076,0.662,TRUE,FALSE,"EGFR inhibitor"
