"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.70764,2.42,0,0.0311,TRUE,3.64751985855505,0.70764,2.42,0,0.0311,TRUE,3.64751985855505,2,3.64751985855505,0,2.42,0,1.45403825662008e-05,TRUE,100,"TRUE","TRUE"
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.14131,-0.495,0.957,1,FALSE,0,0.21632,0.718,0.743,0.994,FALSE,0.00187657600272904,0,0.000938288001364522,0.00132693961694165,0.1115,0.857720525579282,0.953527299162433,FALSE,1.21951219512195,"FALSE","FALSE"
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.46656,-1.7,0.0588,0.373,FALSE,-0.728094985925231,-0.44971,-1.37,0.149,0.68,FALSE,-0.229462789592456,0,-0.478778887758844,0.352586207344847,-1.535,0.233345237791561,0.0502667051055972,FALSE,0,"FALSE","FALSE"
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.50769,-1.79,0.039,0.462,FALSE,-0.600290863754535,-0.49974,-1.51,0.113,0.683,FALSE,-0.250024737440886,0,-0.425157800597711,0.247675553136325,-1.65,0.197989898732233,0.0283130407373899,FALSE,0,"FALSE","FALSE"
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",-0.12513,-0.435,0.966,0.977,FALSE,-0.00439586478233372,0.28831,0.971,0.476,0.879,FALSE,0.0543868023033675,0,0.0249954687605169,0.0415656225125306,0.268,0.994192134348286,0.817060325067363,FALSE,0,"FALSE","FALSE"
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.34341,-1.25,0.226,0.955,FALSE,-0.0249957855203171,-0.27343,-0.82,0.659,0.777,FALSE,-0.0898547645832503,0,-0.0574252750517837,0.0458622239162364,-1.035,0.304055915910215,0.432541870970636,FALSE,0,"FALSE","FALSE"
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",0.34153,1.17,0.276,0.736,FALSE,0.155752957225126,0.21738,0.72,0.756,1,FALSE,0,0,0.0778764786125632,0.110133972243745,0.945,0.318198051533946,0.535634206557399,FALSE,0,"FALSE","FALSE"
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.24239,0.813,0.674,0.921,FALSE,0.0290569206499618,0.39544,1.31,0.176,0.813,FALSE,0.117781385271771,0,0.0734191529608663,0.062737670591227,1.0615,0.351432070249714,0.371506222323687,FALSE,0,"TRUE","FALSE"
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.37848,1.31,0.186,0.6,FALSE,0.290621861997427,0.3785,1.27,0.213,0.821,FALSE,0.10878419045831,0,0.199703026227869,0.128578650620481,1.29,0.0282842712474619,0.167523592545183,FALSE,1.23456790123457,"FALSE","FALSE"
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.33023,-1.12,0.327,0.686,FALSE,-0.183316990408438,-0.43946,-1.31,0.172,0.556,FALSE,-0.333952023027505,0,-0.258634506717971,0.106515053049199,-1.215,0.134350288425444,0.218117376616302,FALSE,0,"TRUE","FALSE"
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.51913,-1.76,0.0441,0.25,FALSE,-1.05962558473721,-0.53385,-1.61,0.0546,0.674,FALSE,-0.275857566578135,0,-0.667741575657674,0.554207680517426,-1.685,0.106066017177982,0.0169248886154026,FALSE,0,"TRUE","FALSE"
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.36342,-1.23,0.232,0.712,FALSE,-0.181449607826667,-0.51863,-1.55,0.063,0.701,FALSE,-0.239137072151679,0,-0.210293339989173,0.0407911972136733,-1.39,0.226274169979695,0.0763779317299924,FALSE,0,"TRUE","FALSE"
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",0.13014,0.433,0.978,0.977,FALSE,0.00437565390977126,0.21144,0.719,0.792,1,FALSE,0,0,0.00218782695488563,0.00309405455172469,0.576,0.202232539419353,0.972433303142796,FALSE,0,"FALSE","FALSE"
