"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.87794,2.69,0,139,0.00298
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.44494,-1.24,0.248,684,0.495
"EGFR inhibitor","NES","AKT inhibitor",0.5547,1.74,0.0341,238,0.151
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.47214,1.44,0.12,216,0.238
"EGFR inhibitor","NES","androgen receptor antagonist",-0.56399,-1.58,0.0625,765,0.32
"EGFR inhibitor","NES","ATPase inhibitor",0.48997,1.51,0.0849,283,0.249
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.3074,-0.862,0.611,724,0.754
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.44494,-1.25,0.211,684,0.531
"EGFR inhibitor","NES","bromodomain inhibitor",0.58513,1.85,0.0288,187,0.115
"EGFR inhibitor","NES","calcium channel blocker",-0.25361,-0.709,0.796,580,0.875
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.81551,-2.25,0,778,0.00799
"EGFR inhibitor","NES","CDK inhibitor",0.16595,0.509,0.952,621,0.953
"EGFR inhibitor","NES","CHK inhibitor",0.78279,2.4,0,213,0.00746
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.48034,-1.35,0.162,631,0.493
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.70915,2.1,0.00567,172,0.0343
"EGFR inhibitor","NES","dopamine receptor antagonist",0.42129,1.29,0.181,360,0.333
"EGFR inhibitor","NES","estrogen receptor agonist",-0.33768,-0.909,0.569,626,0.831
"EGFR inhibitor","NES","FLT3 inhibitor",-0.40829,-1.12,0.339,578,0.633
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.55348,1.67,0.058,354,0.174
"EGFR inhibitor","NES","HDAC inhibitor",0.23947,0.714,0.792,174,0.852
"EGFR inhibitor","NES","histamine receptor antagonist",-0.65909,-1.87,0.00946,696,0.125
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",-0.58176,-1.61,0.0595,555,0.367
"EGFR inhibitor","NES","HMGCR inhibitor",-0.27807,-0.775,0.73,265,0.836
"EGFR inhibitor","NES","HSP inhibitor",0.37789,1.12,0.335,600,0.514
"EGFR inhibitor","NES","JAK inhibitor",0.20462,0.622,0.894,764,0.913
"EGFR inhibitor","NES","MDM inhibitor",-0.31219,-0.887,0.614,647,0.811
"EGFR inhibitor","NES","MEK inhibitor",0.28571,0.833,0.631,689,0.802
"EGFR inhibitor","NES","MET inhibitor",-0.48555,-1.37,0.157,788,0.639
"EGFR inhibitor","NES","microtubule inhibitor",0.26105,0.804,0.668,711,0.766
