"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.87794,2.69,0,0.00298,TRUE,6.79435824963487,0.87794,2.69,0,0.00298,TRUE,6.79435824963487,2,6.79435824963487,0,2.69,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.12342,0.378,0.985,0.99,FALSE,0.00164989644212613,-0.44494,-1.24,0.248,0.495,FALSE,-0.378689553322375,0,-0.188519828440124,0.268940604081239,-0.431,1.14409877195983,0.588578044880813,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.27358,0.831,0.63,0.728,FALSE,0.114568823790866,0.5547,1.74,0.0341,0.151,TRUE,1.42858011170989,1,0.771574467750376,0.929146292243207,1.2855,0.642760064098572,0.103988318730195,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.5215,1.61,0.0592,0.18,FALSE,1.19901126678368,0.47214,1.44,0.12,0.238,FALSE,0.897729181838623,0,1.04837022431115,0.21303860531467,1.525,0.120208152801713,0.0422481790294683,FALSE,1.23456790123457,"TRUE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.42073,-1.27,0.213,0.409,FALSE,-0.493111398830676,-0.56399,-1.58,0.0625,0.32,FALSE,-0.781863034254549,0,-0.637487216542612,0.204178239486926,-1.425,0.21920310216783,0.0708098775602601,FALSE,0,"TRUE",FALSE
