"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.60757,2.11,0.00817,212,0.35
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.29412,-0.967,0.49,1337,0.834
"EGFR inhibitor","NES","acetylcholine receptor agonist",0.43658,1.51,0.113,57,0.835
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.54278,-1.74,0.0436,887,0.455
"EGFR inhibitor","NES","adenosine receptor antagonist",-0.23623,-0.746,0.728,662,1
"EGFR inhibitor","NES","adrenergic receptor agonist",0.28301,1.02,0.429,227,0.972
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.2832,-0.905,0.537,1068,0.922
"EGFR inhibitor","NES","AKT inhibitor",0.28074,0.991,0.441,319,0.969
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.2001,0.697,0.77,705,0.922
"EGFR inhibitor","NES","androgen receptor antagonist",-0.53086,-1.71,0.0473,714,0.42
"EGFR inhibitor","NES","antioxidant",0.20578,0.723,0.789,197,1
"EGFR inhibitor","NES","AP inhibitor",0.40669,1.44,0.113,804,0.684
"EGFR inhibitor","NES","ATPase inhibitor",-0.34991,-1.12,0.331,1067,0.744
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.2931,1.03,0.42,586,1
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.32167,1.16,0.282,919,0.857
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",0.22825,0.765,0.68,96,1
"EGFR inhibitor","NES","BCL inhibitor",-0.37718,-1.23,0.237,1306,0.703
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.32415,-1.04,0.415,1337,0.777
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.21858,-0.693,0.799,838,1
"EGFR inhibitor","NES","bromodomain inhibitor",0.53584,1.83,0.0281,133,0.365
"EGFR inhibitor","NES","calcium channel blocker",-0.22284,-0.726,0.755,1238,1
"EGFR inhibitor","NES","CC chemokine receptor antagonist",0.35415,1.21,0.237,120,0.821
"EGFR inhibitor","NES","CDK inhibitor",0.38227,1.35,0.189,322,0.68
"EGFR inhibitor","NES","CHK inhibitor",0.28249,0.954,0.497,173,0.99
"EGFR inhibitor","NES","cyclooxygenase inhibitor",0.15168,0.534,0.935,195,0.963
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.53224,-1.69,0.0403,994,0.391
"EGFR inhibitor","NES","DNA alkylating agent",-0.18264,-0.586,0.908,766,0.93
