"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",-0.27237,-0.803,0.702,1222,0.889,TRUE,FALSE,"AKT inhibitor"
"A61603","Pearson.est","adrenergic receptor agonist",-0.33116,-0.887,0.526,1296,0.853,TRUE,FALSE,"adrenergic receptor agonist"
"ACDPP","Pearson.est","glutamate receptor antagonist",0.30673,0.75,0.784,194,0.932,TRUE,FALSE,"glutamate receptor antagonist"
"ACY.1215","Pearson.est","HDAC inhibitor",-0.26982,-0.793,0.688,1261,0.898,TRUE,FALSE,"HDAC inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",-0.33662,-0.944,0.485,1201,0.65,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",-0.46702,-1.3,0.164,1299,0.846,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",-0.21485,-0.523,0.96,1186,0.985,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",0.33332,0.788,0.729,54,0.849,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",-0.38696,-1.17,0.264,1248,0.45,TRUE,FALSE,"tyrosine kinase inhibitor"
"AP26113","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.33804,0.817,0.724,333,1,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"ARRY.334543","Pearson.est","EGFR inhibitor",0.35671,0.943,0.476,328,0.99,TRUE,FALSE,"EGFR inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",0.37232,0.93,0.542,336,0.99,TRUE,FALSE,"EGFR inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",-0.29282,-0.813,0.696,1288,0.784,TRUE,FALSE,"CDK inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",0.19969,0.497,0.982,849,1,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AT7867","Pearson.est","AKT inhibitor",-0.30919,-0.833,0.643,1087,0.87,TRUE,FALSE,"AKT inhibitor"
"AZ960","Pearson.est","JAK inhibitor",0.39786,0.952,0.514,607,0.821,TRUE,FALSE,"JAK inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",-0.23299,-0.686,0.853,1232,0.986,TRUE,FALSE,"JAK inhibitor"
"AZD2461","Pearson.est","PARP inhibitor",0.28979,0.708,0.851,663,1,TRUE,FALSE,"PARP inhibitor"
"AZD3463","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.34595,0.818,0.68,367,0.907,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.38168,0.978,0.46,387,0.877,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",-0.34997,-0.877,0.606,1241,0.901,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",-0.45473,-1.26,0.198,1194,1,TRUE,FALSE,"NFkB pathway inhibitor"
"BIBU.1361","Pearson.est","EGFR inhibitor",-0.32046,-0.899,0.51,1240,0.823,TRUE,FALSE,"EGFR inhibitor"
"BIBX.1382","Pearson.est","EGFR inhibitor",-0.50974,-1.5,0.0649,1247,0.461,TRUE,FALSE,"EGFR inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.16631,-0.462,0.997,1080,0.991,TRUE,FALSE,"MEK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",0.32753,0.79,0.75,363,1,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
"BMS.599626","Pearson.est","EGFR inhibitor",0.24553,0.626,0.876,163,1,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BMS.599626","Pearson.est","protein tyrosine kinase inhibitor",-0.41931,-1.08,0.34,1159,0.909,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BMS.690514","Pearson.est","VEGFR inhibitor",-0.24063,-0.595,0.933,954,0.982,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"BW.180C","Pearson.est","opioid receptor agonist",0.32047,0.763,0.808,145,0.98,TRUE,FALSE,"opioid receptor agonist"
"CB.10.277","Pearson.est","DNA synthesis inhibitor",0.26386,0.615,0.935,730,1,TRUE,FALSE,"DNA synthesis inhibitor"
"CCT129202","Pearson.est","Aurora kinase inhibitor",0.22025,0.512,0.976,550,1,TRUE,FALSE,"Aurora kinase inhibitor"
"CD.437","Pearson.est","retinoid receptor agonist",-0.28918,-0.807,0.686,1335,0.934,TRUE,FALSE,"retinoid receptor agonist"
"CEP.33779","Pearson.est","JAK inhibitor",-0.26885,-0.749,0.754,1122,0.856,TRUE,FALSE,"JAK inhibitor"
"CEP.37440","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.4315,-1.16,0.274,1014,0.604,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"CGP.37849","Pearson.est","glutamate receptor antagonist",0.31569,0.873,0.577,293,0.889,TRUE,FALSE,"glutamate receptor antagonist"
"CGP.52411","Pearson.est","EGFR inhibitor",-0.38551,-1.09,0.328,1165,0.793,TRUE,FALSE,"EGFR inhibitor"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",-0.2895,-0.773,0.722,871,0.844,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CHIR.98014","Pearson.est","glycogen synthase kinase inhibitor",0.3514,0.851,0.633,222,0.926,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CMPD.1","Pearson.est","p38 MAPK inhibitor",-0.61731,-1.71,0.051,1014,1,TRUE,FALSE,"p38 MAPK inhibitor"
"CP.724714","Pearson.est","EGFR inhibitor",0.34654,0.948,0.458,190,0.745,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CP.724714","Pearson.est","protein tyrosine kinase inhibitor",-0.45071,-1.13,0.319,960,0.787,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CPP","Pearson.est","glutamate receptor antagonist",0.34639,0.832,0.708,71,0.888,TRUE,FALSE,"glutamate receptor antagonist"
"CR8..R.","Pearson.est","CDK inhibitor",0.38587,0.892,0.59,266,0.895,TRUE,FALSE,"CDK inhibitor"
"CUDC.101","Pearson.est","EGFR inhibitor",0.35849,0.881,0.589,437,0.789,TRUE,FALSE,"EGFR inhibitor"
"CUDC.907","Pearson.est","PI3K inhibitor",-0.18321,-0.572,0.967,348,0.991,TRUE,FALSE,"PI3K inhibitor"
"D.4476","Pearson.est","TGF beta receptor inhibitor",-0.50372,-1.44,0.109,677,0.704,TRUE,FALSE,"TGF beta receptor inhibitor"
"DMH1","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.26563,0.634,0.91,873,0.988,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"E7449","Pearson.est","PARP inhibitor",-0.45882,-1.37,0.148,1277,0.695,TRUE,FALSE,"PARP inhibitor"
"EMD.53998","Pearson.est","phosphodiesterase inhibitor",-0.3904,-1.12,0.32,1276,0.576,TRUE,FALSE,"phosphodiesterase inhibitor"
"ENMD.2076","Pearson.est","Aurora kinase inhibitor",-0.29918,-0.774,0.725,1219,0.988,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"EVP4593","Pearson.est","NFkB pathway inhibitor",-0.37896,-0.966,0.477,1196,0.851,TRUE,FALSE,"NFkB pathway inhibitor"
"FERb.033","Pearson.est","EGFR inhibitor",0.35303,0.866,0.644,363,0.963,TRUE,FALSE,"EGFR inhibitor"
"FK.3311","Pearson.est","cyclooxygenase inhibitor",-0.19229,-0.571,0.941,1093,1,TRUE,FALSE,"cyclooxygenase inhibitor"
"FR.122047","Pearson.est","cyclooxygenase inhibitor",0.33086,0.801,0.737,170,0.898,TRUE,FALSE,"cyclooxygenase inhibitor"
"GDC.0068","Pearson.est","AKT inhibitor",0.30136,0.723,0.813,512,1,TRUE,FALSE,"AKT inhibitor"
"GDC.0879","Pearson.est","RAF inhibitor",0.35488,0.882,0.581,464,0.946,TRUE,FALSE,"RAF inhibitor"
"GSK256066","Pearson.est","phosphodiesterase inhibitor",0.36192,0.887,0.593,138,0.829,TRUE,FALSE,"phosphodiesterase inhibitor"
"GTP.14564","Pearson.est","FLT3 inhibitor",0.32471,0.77,0.761,527,0.925,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GW.501516","Pearson.est","PPAR receptor agonist",-0.35544,-1.02,0.43,477,1,TRUE,FALSE,"PPAR receptor agonist"
"GW.583340","Pearson.est","EGFR inhibitor",0.40718,0.997,0.463,533,0.878,TRUE,FALSE,"EGFR inhibitor"
"GW.788388","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.32591,0.803,0.718,308,1,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"HA14.1","Pearson.est","BCL inhibitor",0.26009,0.628,0.895,277,0.977,TRUE,FALSE,"BCL inhibitor"
"IKK.2.inhibitor.V","Pearson.est","NFkB pathway inhibitor",-0.36717,-1.02,0.395,1195,0.944,TRUE,FALSE,"IKK inhibitor, NFkB pathway inhibitor"
"JNJ.16259685","Pearson.est","glutamate receptor antagonist",-0.23218,-0.701,0.863,1230,1,TRUE,FALSE,"glutamate receptor antagonist"
"JNJ.26481585","Pearson.est","HDAC inhibitor",-0.30939,-0.793,0.669,1134,1,TRUE,FALSE,"HDAC inhibitor"
"JNJ.7706621","Pearson.est","CDK inhibitor",0.3634,0.869,0.64,496,0.896,TRUE,FALSE,"CDK inhibitor"
"KI.8751","Pearson.est","KIT inhibitor",0.38762,0.941,0.526,214,0.905,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KW.2449","Pearson.est","Abl kinase inhibitor",0.38998,0.905,0.602,515,1,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"KW.2449","Pearson.est","FLT3 inhibitor",0.42295,0.984,0.492,349,1,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"KW.2478","Pearson.est","HSP inhibitor",0.29321,0.681,0.868,331,0.981,TRUE,FALSE,"HSP inhibitor"
"KX2.391","Pearson.est","src inhibitor",0.26147,0.619,0.928,126,1,TRUE,FALSE,"src inhibitor, tubulin polymerization inhibitor"
"LE.135","Pearson.est","retinoid receptor agonist",0.3514,0.856,0.637,29,0.732,TRUE,FALSE,"retinoid receptor agonist"
"LY2109761","Pearson.est","TGF beta receptor inhibitor",0.37995,0.922,0.571,199,0.86,TRUE,FALSE,"TGF beta receptor inhibitor"
"LY2784544","Pearson.est","JAK inhibitor",0.38549,0.954,0.51,120,0.94,TRUE,FALSE,"JAK inhibitor"
"LY2801653","Pearson.est","MET inhibitor",-0.36979,-1.11,0.307,497,0.585,TRUE,FALSE,"MET inhibitor"
"LY303511","Pearson.est","mTOR inhibitor",0.2345,0.586,0.938,637,0.946,TRUE,FALSE,"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor"
"LY303511","Pearson.est","PI3K inhibitor",-0.26504,-0.711,0.784,1027,0.895,TRUE,FALSE,"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor"
"LY456236","Pearson.est","glutamate receptor antagonist",0.23757,0.536,0.969,28,1,TRUE,FALSE,"glutamate receptor antagonist"
"MGCD.265","Pearson.est","VEGFR inhibitor",0.33521,0.783,0.769,248,0.944,TRUE,FALSE,"VEGFR inhibitor"
"MK.0812","Pearson.est","CC chemokine receptor antagonist",0.29796,0.719,0.811,348,0.913,TRUE,FALSE,"CC chemokine receptor antagonist"
"MK.5108","Pearson.est","Aurora kinase inhibitor",0.33688,0.812,0.732,582,1,TRUE,FALSE,"Aurora kinase inhibitor"
