"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.60757,2.11,0.00817,212,0.35
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.66919,2.2,0.00327,135,0.0838
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.24678,0.85,0.582,18,0.911
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.59431,1.98,0.0121,395,0.183
"adenosine receptor antagonist","NES","adenosine receptor antagonist",-0.24125,-0.88,0.541,324,0.819
"adrenergic receptor agonist","NES","adrenergic receptor agonist",-0.26814,-1.02,0.402,1237,0.646
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.23349,0.784,0.712,695,0.9
"AKT inhibitor","NES","AKT inhibitor",0.1651,0.546,0.92,655,0.955
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.32228,1.09,0.354,600,0.758
"androgen receptor antagonist","NES","androgen receptor antagonist",0.32366,1.12,0.326,915,0.687
"antioxidant","NES","antioxidant",0.71949,2.34,0,383,0.0249
"AP inhibitor","NES","AP inhibitor",0.49476,1.78,0.0445,37,0.863
"ATPase inhibitor","NES","ATPase inhibitor",0.29418,1.01,0.418,560,0.674
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.6501,2.07,0.00409,202,0.246
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.43399,1.42,0.141,296,0.625
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.76751,2.6,0,320,0.00892
"BCL inhibitor","NES","BCL inhibitor",0.46644,1.56,0.0844,624,0.589
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.73832,2.47,0,202,0.0279
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.43639,1.47,0.108,208,0.795
"bromodomain inhibitor","NES","bromodomain inhibitor",0.90632,3.04,0,132,0
"calcium channel blocker","NES","calcium channel blocker",0.2044,0.68,0.791,507,0.899
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",-0.52697,-1.89,0.0154,1018,0.318
"CDK inhibitor","NES","CDK inhibitor",0.42096,1.48,0.11,340,0.668
"CHK inhibitor","NES","CHK inhibitor",0.83829,2.76,0,74,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.28925,0.999,0.433,633,0.899
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.38625,1.31,0.181,697,0.828
"DNA alkylating agent","NES","DNA alkylating agent",0.27536,0.914,0.535,329,0.897
"DNA inhibitor","NES","DNA inhibitor",0.36807,1.23,0.243,422,0.741
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",-0.40072,-1.44,0.139,1139,0.528
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.42992,1.47,0.136,645,0.507
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.30711,1.02,0.404,237,0.818
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.44311,1.47,0.102,561,0.628
"estrogen receptor agonist","NES","estrogen receptor agonist",0.54106,1.81,0.0266,149,0.306
"estrogen receptor antagonist","NES","estrogen receptor antagonist",-0.32548,-1.23,0.219,1116,0.817
"FGFR inhibitor","NES","FGFR inhibitor",0.68041,2.26,0.00235,191,0.0674
"FLT3 inhibitor","NES","FLT3 inhibitor",0.42561,1.46,0.105,222,0.385
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.87314,2.81,0,87,0
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.19592,0.661,0.789,439,1
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.66554,2.21,0.00163,268,0.0694
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.27249,0.903,0.565,541,0.98
"HCV inhibitor","NES","HCV inhibitor",0.33762,1.12,0.323,504,0.717
"HDAC inhibitor","NES","HDAC inhibitor",0.65517,2.21,0.00442,165,0.13
"histamine receptor antagonist","NES","histamine receptor antagonist",0.189,0.647,0.841,325,0.901
"HMGCR inhibitor","NES","HMGCR inhibitor",0.92598,3.2,0,22,0
"HSP inhibitor","NES","HSP inhibitor",0.60872,2.02,0.00635,171,0.127
"JAK inhibitor","NES","JAK inhibitor",-0.18655,-0.677,0.788,1213,0.914
"KIT inhibitor","NES","KIT inhibitor",0.55901,1.89,0.0171,178,0.158
"MDM inhibitor","NES","MDM inhibitor",0.88104,3.12,0,166,0
"MEK inhibitor","NES","MEK inhibitor",0.81496,2.63,0,45,0.00422
"MET inhibitor","NES","MET inhibitor",0.35025,1.22,0.242,117,0.803
"microtubule inhibitor","NES","microtubule inhibitor",0.56784,1.89,0.0165,102,0.332
"mTOR inhibitor","NES","mTOR inhibitor",0.72857,2.34,0,274,0.0379
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",-0.59894,-2.1,0.0146,930,0.194
"opioid receptor agonist","NES","opioid receptor agonist",-0.2684,-0.995,0.438,361,1
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",-0.44736,-1.53,0.0891,1096,0.838
"PARP inhibitor","NES","PARP inhibitor",-0.30683,-1.07,0.374,1157,0.795
"PDGFR tyrosine kinase receptor inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.77148,2.5,0,141,0.00501
"phosphatase inhibitor","NES","phosphatase inhibitor",-0.21496,-0.769,0.693,740,0.893
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.46716,1.59,0.0792,345,0.273
"PI3K inhibitor","NES","PI3K inhibitor",0.59668,1.93,0.0117,279,0.321
"PLK inhibitor","NES","PLK inhibitor",0.75887,2.54,0,205,0.00467
"potassium channel blocker","NES","potassium channel blocker",0.22852,0.797,0.665,669,0.877
"PPAR receptor agonist","NES","PPAR receptor agonist",-0.49437,-1.79,0.0316,1272,0.453
"progesterone receptor agonist","NES","progesterone receptor agonist",0.52697,1.76,0.0377,512,0.182
"proteasome inhibitor","NES","proteasome inhibitor",0.82197,2.76,0,174,0.00155
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.2829,0.951,0.497,585,0.929
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",-0.59137,-2.07,0.00762,1164,0.216
"RAF inhibitor","NES","RAF inhibitor",0.50268,1.65,0.0531,349,0.503
"RET tyrosine kinase inhibitor","NES","RET tyrosine kinase inhibitor",0.76506,2.65,0,322,0.00414
"retinoid receptor agonist","NES","retinoid receptor agonist",-0.26286,-0.942,0.485,746,0.78
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.60245,2,0.00746,456,0.265
"serotonin receptor antagonist","NES","serotonin receptor antagonist",-0.1705,-0.606,0.858,1152,1
"sodium channel blocker","NES","sodium channel blocker",0.40247,1.37,0.137,757,0.502
"src inhibitor","NES","src inhibitor",0.51841,1.75,0.0399,474,0.62
"sterol demethylase inhibitor","NES","sterol demethylase inhibitor",-0.23048,-0.837,0.607,310,0.926
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",-0.33976,-1.25,0.224,1287,0.679
"thymidylate synthase inhibitor","NES","thymidylate synthase inhibitor",-0.28826,-1.03,0.42,1218,0.944
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.62872,2.07,0.0108,184,0.145
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.81555,2.55,0,197,0.000869
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.36826,1.26,0.224,341,0.52
"VEGFR inhibitor","NES","VEGFR inhibitor",0.62205,2.05,0.0127,177,0.0899
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.76414,2.56,0,324,0.00642
