"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.60757,2.11,0.00817,0.35,FALSE,0.962016426420918,0.60757,2.11,0.00817,0.35,FALSE,0.962016426420918,0,0.962016426420918,0,2.11,0,0.000708511054379701,TRUE,100,"FALSE","FALSE"
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.2126,-0.737,0.717,0.896,FALSE,-0.0351489968790137,-0.29412,-0.967,0.49,0.834,FALSE,-0.0762324290333067,0,-0.0556907129561602,0.029050373470718,-0.852,0.162634559672906,0.718831483194919,FALSE,1.21951219512195,"FALSE","FALSE"
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",0.22357,0.774,0.672,0.852,FALSE,0.0538397536505741,0.43658,1.51,0.113,0.835,FALSE,0.118253422019761,0,0.0860465878351675,0.0455473417049534,1.142,0.520430590953299,0.271688710981869,FALSE,0,"FALSE","FALSE"
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.24033,-0.865,0.6,0.859,FALSE,-0.0570959132859754,-0.54278,-1.74,0.0436,0.455,FALSE,-0.595060169816624,0,-0.3260780415513,0.380398173828801,-1.3025,0.618718433538229,0.121474581362605,FALSE,0,"FALSE","FALSE"
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",-0.23669,-0.901,0.543,0.906,FALSE,-0.0386274938931914,-0.23623,-0.746,0.728,1,FALSE,0,0,-0.0193137469465957,0.0273137628721176,-0.8235,0.109601551083915,0.762185717442002,FALSE,0,"FALSE","FALSE"
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",0.16894,0.559,0.922,0.963,FALSE,0.00915290549738522,0.28301,1.02,0.429,0.972,FALSE,0.0125804097751999,0,0.0108666576362926,0.00242361151738869,0.7895,0.325976226126998,0.762402823641995,FALSE,0,"FALSE","FALSE"
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.39523,-1.42,0.135,1,FALSE,0,-0.2832,-0.905,0.537,0.922,FALSE,-0.0319185164464654,0,-0.0159592582232327,0.02256979942471,-1.1625,0.364159992311072,0.262739110975306,FALSE,0,"FALSE","FALSE"
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.10913,0.361,0.992,0.994,FALSE,0.000943515232569895,0.28074,0.991,0.441,0.969,FALSE,0.0135531369426916,0,0.00724832608763073,0.00891634901942415,0.676,0.445477272147525,0.799148727872137,FALSE,0,"FALSE","FALSE"
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.18439,0.617,0.859,0.935,FALSE,0.0180092360916565,0.2001,0.697,0.77,0.922,FALSE,0.0245825480256203,0,0.0212958920586384,0.00464803344336027,0.657,0.0565685424949238,0.93483283205053,FALSE,1.23456790123457,"FALSE","FALSE"
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.41278,-1.48,0.115,0.455,FALSE,-0.506143132947474,-0.53086,-1.71,0.0473,0.42,FALSE,-0.64424371341959,0,-0.575193423183532,0.0976518569376321,-1.595,0.162634559672906,0.033801423615454,FALSE,0,"FALSE","FALSE"
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",0.15142,0.501,0.938,0.949,FALSE,0.0113896275739264,0.20578,0.723,0.789,1,FALSE,0,0,0.00569481378696319,0.00805368289271263,0.612,0.156977705423414,0.962842454734635,FALSE,0,"FALSE","FALSE"
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",0.16321,0.561,0.915,0.905,FALSE,0.0243201470658809,0.40669,1.44,0.113,0.684,FALSE,0.237519213523033,0,0.130919680294457,0.150754505634493,1.0005,0.621546860662975,0.338018796895791,FALSE,0,"FALSE","FALSE"
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.19793,-0.68,0.819,0.972,FALSE,-0.00838693985013329,-0.34991,-1.12,0.331,0.744,FALSE,-0.143838312188616,0,-0.0761126260193746,0.095778583901565,-0.9,0.311126983722081,0.62494366717774,FALSE,0,"FALSE","FALSE"
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",0.22492,0.709,0.808,0.96,FALSE,0.012569695774946,0.2931,1.03,0.42,1,FALSE,0,0,0.006284847887473,0.00888811711991622,0.8695,0.226981276760882,0.706104243951934,FALSE,1.0752688172043,"FALSE","FALSE"
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",0.14852,0.513,0.941,1,FALSE,0,0.32167,1.16,0.282,0.857,FALSE,0.0777422465690901,0,0.0388711232845451,0.0549720697336802,0.8365,0.457498087427696,0.61740724311758,FALSE,0,"FALSE","FALSE"
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.17643,-0.631,0.861,0.954,FALSE,-0.012904975561716,0.22825,0.765,0.68,1,FALSE,0,0,-0.006452487780858,0.00912519573073605,0.067,0.98712106653642,0.898901059551914,FALSE,0,"FALSE","FALSE"
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",-0.22727,-0.812,0.63,0.836,FALSE,-0.0631685027195187,-0.37718,-1.23,0.237,0.703,FALSE,-0.188244950225617,0,-0.125706726472568,0.088442404198285,-1.021,0.295570634535977,0.433257395504299,FALSE,0,"FALSE","FALSE"
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",-0.19772,-0.685,0.784,0.905,FALSE,-0.0296957232444357,-0.32415,-1.04,0.415,0.777,FALSE,-0.113962140447049,0,-0.0718289318457424,0.0595853550302627,-0.8625,0.251022907321224,0.690681696935788,FALSE,0,"FALSE","FALSE"
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",-0.28277,-1.01,0.396,0.667,FALSE,-0.177632907744286,-0.21858,-0.693,0.799,1,FALSE,0,0,-0.0888164538721428,0.125605433627869,-0.8515,0.224152849636136,0.680501283800133,FALSE,0,"FALSE","FALSE"
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",0.35842,1.19,0.301,0.729,FALSE,0.16335424130161,0.53584,1.83,0.0281,0.365,FALSE,0.801004058044651,0,0.482179149673131,0.450886509441364,1.51,0.452548339959391,0.0488254878664064,FALSE,0,"FALSE","FALSE"
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",-0.17136,-0.634,0.868,0.956,FALSE,-0.0123896962969526,-0.22284,-0.726,0.755,1,FALSE,0,0,-0.00619484814847628,0.00876083826841701,-0.68,0.0650538238691623,0.932287400977938,FALSE,0,"FALSE","FALSE"
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",0.16357,0.557,0.912,0.954,FALSE,0.011391555289819,0.35415,1.21,0.237,0.821,FALSE,0.103644779885477,0,0.0575181675876479,0.0652328806979151,0.8835,0.461740728114815,0.547235632880492,FALSE,0,"FALSE","FALSE"
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.37516,1.28,0.214,0.708,FALSE,0.191957430157096,0.38227,1.35,0.189,0.68,FALSE,0.226112967846581,0,0.209035199001838,0.0241516123153078,1.315,0.0494974746830584,0.170188174352747,FALSE,0,"FALSE","FALSE"
"CHK inhibitor & EGFR inhibitor","CHK inhibitor","EGFR inhibitor",0.1118,0.372,0.991,0.993,FALSE,0.0011348795597182,0.28249,0.954,0.497,0.99,FALSE,0.00416402435393738,0,0.00264945195682779,0.00214192882518831,0.663,0.411536146650571,0.84133757534923,FALSE,0,"FALSE","FALSE"
"cyclooxygenase inhibitor & EGFR inhibitor","cyclooxygenase inhibitor","EGFR inhibitor",0.14927,0.502,0.939,0.946,FALSE,0.0121026495263,0.15168,0.534,0.935,0.963,FALSE,0.00874356267549858,0,0.0104231061008993,0.00237523309079628,0.518,0.0226274169979695,0.992230871233079,FALSE,0,"FALSE","FALSE"
"cytochrome P450 inhibitor & EGFR inhibitor","cytochrome P450 inhibitor","EGFR inhibitor",-0.29442,-1.07,0.38,0.992,FALSE,-0.00373251079502884,-0.53224,-1.69,0.0403,0.391,FALSE,-0.689221280000985,0,-0.346476895398007,0.484713757132752,-1.38,0.438406204335659,0.0793110197249635,FALSE,0,"FALSE","FALSE"
