"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.94235,2.93,0,70,0
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.40428,-1.17,0.313,959,0.602
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.53617,-1.56,0.0661,629,0.312
"EGFR inhibitor","NES","adrenergic receptor agonist",0.33479,1.02,0.439,152,0.794
"EGFR inhibitor","NES","antioxidant",0.21784,0.7,0.822,130,0.961
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.36379,1.16,0.282,279,0.658
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",0.23061,0.744,0.722,67,1
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.43908,-1.29,0.213,959,0.603
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.43901,-1.27,0.216,473,0.528
"EGFR inhibitor","NES","bromodomain inhibitor",0.54734,1.72,0.0392,85,0.332
"EGFR inhibitor","NES","CDK inhibitor",0.48755,1.55,0.106,499,0.475
"EGFR inhibitor","NES","CHK inhibitor",0.2933,0.954,0.477,114,0.741
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.64932,-1.87,0.0159,700,0.108
"EGFR inhibitor","NES","DNA alkylating agent",0.32504,1.04,0.402,97,0.822
"EGFR inhibitor","NES","DNA inhibitor",-0.56526,-1.65,0.0533,664,0.242
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.43243,-1.28,0.21,416,0.561
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.2986,0.956,0.484,90,0.79
"EGFR inhibitor","NES","dopamine receptor antagonist",0.45946,1.43,0.118,527,0.576
"EGFR inhibitor","NES","estrogen receptor agonist",-0.64315,-1.86,0.00607,620,0.0844
"EGFR inhibitor","NES","FGFR inhibitor",-0.30067,-0.887,0.564,964,0.709
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.37339,-1.08,0.377,431,0.662
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.3973,1.23,0.226,586,0.672
"EGFR inhibitor","NES","HDAC inhibitor",0.22793,0.717,0.757,381,0.988
"EGFR inhibitor","NES","histamine receptor antagonist",-0.27934,-0.824,0.634,269,0.767
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.40145,1.26,0.233,582,0.7
"EGFR inhibitor","NES","HMGCR inhibitor",-0.37453,-1.1,0.363,792,0.674
"EGFR inhibitor","NES","HSP inhibitor",-0.35843,-1.03,0.418,822,0.666
"EGFR inhibitor","NES","KIT inhibitor",-0.34371,-0.983,0.466,478,0.668
"EGFR inhibitor","NES","MDM inhibitor",0.56195,1.79,0.0252,78,0.356
"EGFR inhibitor","NES","MEK inhibitor",-0.18849,-0.55,0.94,499,0.966
"EGFR inhibitor","NES","microtubule inhibitor",0.3136,0.972,0.474,667,0.82
"EGFR inhibitor","NES","mTOR inhibitor",-0.23066,-0.677,0.808,584,0.888
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",-0.25602,-0.737,0.758,959,0.851
"EGFR inhibitor","NES","phosphatase inhibitor",0.20559,0.664,0.854,192,0.911
"EGFR inhibitor","NES","phosphodiesterase inhibitor",-0.40205,-1.17,0.272,543,0.602
"EGFR inhibitor","NES","PI3K inhibitor",-0.13025,-0.383,0.991,124,0.992
"EGFR inhibitor","NES","PLK inhibitor",0.42295,1.32,0.18,26,0.681
"EGFR inhibitor","NES","progesterone receptor agonist",-0.5085,-1.48,0.0943,604,0.38
"EGFR inhibitor","NES","proteasome inhibitor",-0.7513,-2.25,0.00156,836,0.0186
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.30541,-0.904,0.556,809,0.717
"EGFR inhibitor","NES","RAF inhibitor",0.23232,0.757,0.719,21,1
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",0.20118,0.667,0.82,259,0.952
"EGFR inhibitor","NES","serotonin receptor agonist",-0.64212,-1.87,0.0145,619,0.108
"EGFR inhibitor","NES","sodium channel blocker",-0.46233,-1.34,0.167,924,0.569
"EGFR inhibitor","NES","src inhibitor",-0.36127,-1.06,0.407,667,0.657
"EGFR inhibitor","NES","topoisomerase inhibitor",0.20402,0.649,0.826,700,0.885
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.377,1.21,0.239,545,0.635
"EGFR inhibitor","NES","tyrosine kinase inhibitor",-0.31756,-0.934,0.533,846,0.706
"EGFR inhibitor","NES","VEGFR inhibitor",0.17486,0.571,0.911,52,0.913
"EGFR inhibitor","NES","vitamin D receptor agonist",-0.34304,-0.991,0.462,330,0.694
"Abl kinase inhibitor","NES","EGFR inhibitor",-0.44258,-1.39,0.145,737,0.525
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.82426,2.45,0,91,0.00179
"Abl kinase inhibitor","NES","acetylcholine receptor antagonist",-0.34995,-1.12,0.32,337,0.724
"Abl kinase inhibitor","NES","adrenergic receptor agonist",-0.21164,-0.677,0.826,818,0.919
"Abl kinase inhibitor","NES","antioxidant",-0.23676,-0.787,0.677,228,0.887
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.27015,0.786,0.699,411,0.822
"Abl kinase inhibitor","NES","bacterial DNA gyrase inhibitor",0.19022,0.573,0.903,19,0.97
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.91268,2.8,0,91,0
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",0.48998,1.5,0.099,429,0.247
"Abl kinase inhibitor","NES","bromodomain inhibitor",0.36849,1.13,0.325,396,0.55
"Abl kinase inhibitor","NES","CDK inhibitor",0.55602,1.68,0.0453,433,0.146
"Abl kinase inhibitor","NES","CHK inhibitor",0.53846,1.63,0.0582,451,0.164
"Abl kinase inhibitor","NES","cytochrome P450 inhibitor",-0.34753,-1.1,0.339,786,0.678
"Abl kinase inhibitor","NES","DNA alkylating agent",0.35939,1.06,0.382,215,0.596
"Abl kinase inhibitor","NES","DNA inhibitor",0.40228,1.23,0.237,445,0.456
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",-0.3264,-1.02,0.444,314,0.677
"Abl kinase inhibitor","NES","DNA synthesis inhibitor",0.46245,1.43,0.118,307,0.301
"Abl kinase inhibitor","NES","dopamine receptor antagonist",0.34511,1.02,0.433,221,0.631
"Abl kinase inhibitor","NES","estrogen receptor agonist",0.65743,1.96,0.00997,130,0.0403
"Abl kinase inhibitor","NES","FGFR inhibitor",0.64553,1.92,0.0102,148,0.0444
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",-0.26008,-0.837,0.603,316,0.87
"Abl kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.41895,1.28,0.19,281,0.443
"Abl kinase inhibitor","NES","HDAC inhibitor",0.15511,0.467,0.97,564,0.999
"Abl kinase inhibitor","NES","histamine receptor antagonist",0.38916,1.16,0.296,300,0.535
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",0.32635,0.987,0.46,394,0.621
"Abl kinase inhibitor","NES","HMGCR inhibitor",-0.90664,-2.87,0,874,0
"Abl kinase inhibitor","NES","HSP inhibitor",0.14879,0.442,0.977,263,0.977
"Abl kinase inhibitor","NES","KIT inhibitor",0.90229,2.7,0,101,0
"Abl kinase inhibitor","NES","MDM inhibitor",0.32355,0.947,0.503,264,0.651
"Abl kinase inhibitor","NES","MEK inhibitor",0.36419,1.1,0.347,179,0.568
"Abl kinase inhibitor","NES","microtubule inhibitor",-0.48183,-1.58,0.0648,464,0.334
"Abl kinase inhibitor","NES","mTOR inhibitor",0.25975,0.779,0.719,302,0.801
"Abl kinase inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.81632,2.39,0,141,0.00269
"Abl kinase inhibitor","NES","phosphatase inhibitor",-0.34246,-1.06,0.403,837,0.675
"Abl kinase inhibitor","NES","phosphodiesterase inhibitor",-0.21206,-0.667,0.792,204,0.876
"Abl kinase inhibitor","NES","PI3K inhibitor",0.21019,0.622,0.887,369,0.96
"Abl kinase inhibitor","NES","PLK inhibitor",-0.49276,-1.62,0.0775,808,0.38
"Abl kinase inhibitor","NES","progesterone receptor agonist",0.67394,2.03,0.0105,320,0.0317
"Abl kinase inhibitor","NES","proteasome inhibitor",-0.40914,-1.33,0.184,394,0.527
"Abl kinase inhibitor","NES","protein synthesis inhibitor",-0.37925,-1.25,0.211,838,0.573
"Abl kinase inhibitor","NES","RAF inhibitor",0.33076,1.01,0.453,137,0.615
"Abl kinase inhibitor","NES","ribonucleotide reductase inhibitor",0.26483,0.792,0.692,100,0.844
"Abl kinase inhibitor","NES","serotonin receptor agonist",-0.5154,-1.65,0.0574,937,0.502
"Abl kinase inhibitor","NES","sodium channel blocker",-0.17558,-0.555,0.924,954,0.925
"Abl kinase inhibitor","NES","src inhibitor",0.44999,1.37,0.144,262,0.345
"Abl kinase inhibitor","NES","topoisomerase inhibitor",-0.24662,-0.762,0.694,764,0.864
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",-0.29135,-0.937,0.498,447,0.759
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.53157,1.57,0.0807,257,0.2
"Abl kinase inhibitor","NES","VEGFR inhibitor",0.67066,2.03,0.005,248,0.0317
"Abl kinase inhibitor","NES","vitamin D receptor agonist",0.41943,1.26,0.23,156,0.441
"acetylcholine receptor agonist","NES","EGFR inhibitor",0.31533,0.984,0.448,98,0.654
"acetylcholine receptor agonist","NES","Abl kinase inhibitor",-0.34001,-1.06,0.37,831,0.513
"acetylcholine receptor agonist","NES","acetylcholine receptor antagonist",0.26808,0.832,0.606,292,0.684
"acetylcholine receptor agonist","NES","adrenergic receptor agonist",0.52909,1.68,0.0412,363,1
"acetylcholine receptor agonist","NES","antioxidant",0.30057,0.943,0.526,4,0.682
"acetylcholine receptor agonist","NES","Aurora kinase inhibitor",0.49584,1.56,0.0747,224,1
"acetylcholine receptor agonist","NES","bacterial DNA gyrase inhibitor",-0.33782,-1.09,0.36,846,0.536
"acetylcholine receptor agonist","NES","Bcr.Abl kinase inhibitor",-0.39118,-1.21,0.257,831,0.575
"acetylcholine receptor agonist","NES","benzodiazepine receptor agonist",-0.54247,-1.77,0.0428,940,0.783
"acetylcholine receptor agonist","NES","bromodomain inhibitor",-0.34516,-1.09,0.366,668,0.536
"acetylcholine receptor agonist","NES","CDK inhibitor",-0.55207,-1.73,0.0337,706,0.232
"acetylcholine receptor agonist","NES","CHK inhibitor",0.26717,0.813,0.66,2,0.681
