"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.94235,2.93,0,0,TRUE,8.80278887982918,0.94235,2.93,0,0,TRUE,8.80278887982918,2,8.80278887982918,0,2.93,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.44258,-1.39,0.145,0.525,FALSE,-0.38897856826572,-0.40428,-1.17,0.313,0.602,FALSE,-0.257872105228345,0,-0.323425336747033,0.092706269071111,-1.28,0.15556349186104,0.185741453970786,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.42263,-1.35,0.161,0.406,FALSE,-0.528489854670788,-0.53617,-1.56,0.0661,0.312,FALSE,-0.789118833331229,0,-0.658804344001009,0.184292518184522,-1.455,0.148492424049175,0.0589884945953768,FALSE,0,"TRUE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.12109,-0.402,0.983,0.986,FALSE,-0.0024614801936331,0.33479,1.02,0.439,0.794,FALSE,0.102183087524362,0,0.0498608036653643,0.0739948834477291,0.309,1.00550584284727,0.794201568551061,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",0.2388,0.709,0.775,0.853,FALSE,0.0489571369022262,0.21784,0.7,0.822,0.961,FALSE,0.0120936286320183,0,0.0305253827671222,0.0260664366761904,0.7045,0.00636396103067893,0.924300389431052,FALSE,0,"TRUE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.25157,-0.808,0.677,0.826,FALSE,-0.0670801217651312,0.36379,1.16,0.282,0.658,FALSE,0.210857963407812,0,0.0718889208213402,0.196531904775792,0.176,1.39158614537513,0.507054642725338,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.26393,-0.848,0.622,0.729,FALSE,-0.116407055986358,0.23061,0.744,0.722,1,FALSE,0,0,-0.0582035279931788,0.0823122186659155,-0.052,1.12571399564898,0.8085960973306,FALSE,0,"TRUE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",-0.3749,-1.17,0.269,0.67,FALSE,-0.203492480840033,-0.43908,-1.29,0.213,0.603,FALSE,-0.283390667339205,0,-0.243441574089619,0.0564965494780718,-1.23,0.0848528137423858,0.22113817330398,FALSE,0,"TRUE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",-0.58032,-1.95,0.0215,0.105,TRUE,-1.90868086681362,-0.43901,-1.27,0.216,0.528,FALSE,-0.352254918382058,1,-1.13046789259784,1.10055934255066,-1.61,0.480832611206852,0.0295924002751403,FALSE,0,"TRUE",FALSE
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",0.55756,1.7,0.0419,0.18,TRUE,1.26603674132438,0.54734,1.72,0.0392,0.332,FALSE,0.823642496029058,1,1.04483961867672,0.312819970806227,1.71,0.014142135623731,0.0121733193331541,FALSE,0,"TRUE",FALSE
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.54208,1.73,0.0374,0.406,FALSE,0.677249961911454,0.48755,1.55,0.106,0.475,FALSE,0.501124905081457,0,0.589187433496456,0.124539222021357,1.64,0.127279220613579,0.0258891207706911,FALSE,0,"TRUE",FALSE
"CHK inhibitor & EGFR inhibitor","CHK inhibitor","EGFR inhibitor",-0.19589,-0.662,0.865,0.836,FALSE,-0.0514994443353712,0.2933,0.954,0.477,0.741,FALSE,0.124193429587721,0,0.0363469926261749,0.124233622557172,0.146,1.14268455839746,0.777869583838237,FALSE,0,"TRUE",FALSE
"cyclooxygenase inhibitor & EGFR inhibitor","cyclooxygenase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"cytochrome P450 inhibitor & EGFR inhibitor","cytochrome P450 inhibitor","EGFR inhibitor",-0.51301,-1.68,0.053,0.587,FALSE,-0.388687989904008,-0.64932,-1.87,0.0159,0.108,TRUE,-1.8074975772394,1,-1.09809278357171,1.00324988041735,-1.775,0.134350288425444,0.00680808863830121,FALSE,0,"FALSE",FALSE
"DNA alkylating agent & EGFR inhibitor","DNA alkylating agent","EGFR inhibitor",-0.39595,-1.35,0.141,0.487,FALSE,-0.421835902360244,0.32504,1.04,0.402,0.822,FALSE,0.0885333097583476,0,-0.166651296300948,0.360885530797891,-0.155,1.68998520703585,0.219376264053012,FALSE,0,"TRUE",FALSE
"DNA inhibitor & EGFR inhibitor","DNA inhibitor","EGFR inhibitor",-0.80466,-2.68,0,0.00327,TRUE,-6.66101202287043,-0.56526,-1.65,0.0533,0.242,FALSE,-1.01670464613229,1,-3.83885833450136,3.9911280211928,-2.165,0.728319984622144,0.00057250213929714,FALSE,0,"TRUE",FALSE
"DNA methyltransferase inhibitor & EGFR inhibitor","DNA methyltransferase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA polymerase inhibitor & EGFR inhibitor","DNA polymerase inhibitor","EGFR inhibitor",-0.56695,-1.96,0.0114,0.325,FALSE,-0.956708612481406,-0.43243,-1.28,0.21,0.561,FALSE,-0.321327537592113,0,-0.63901807503676,0.449282266691817,-1.62,0.480832611206852,0.0168412864744002,FALSE,0,"FALSE",FALSE
"DNA synthesis inhibitor & EGFR inhibitor","DNA synthesis inhibitor","EGFR inhibitor",-0.33264,-1.08,0.357,0.549,FALSE,-0.281261867993901,0.2986,0.956,0.484,0.79,FALSE,0.097868500726338,0,-0.0916966836337814,0.268085654675837,-0.0620000000000001,1.43966940649581,0.476150141165637,FALSE,0,"TRUE",FALSE
"dopamine receptor antagonist & EGFR inhibitor","dopamine receptor antagonist","EGFR inhibitor",-0.13331,-0.425,0.977,0.983,FALSE,-0.00316475492134236,0.45946,1.43,0.118,0.576,FALSE,0.342595848704807,0,0.169715546891732,0.244489667491204,0.5025,1.31168307910105,0.364342874401916,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & estrogen receptor agonist","EGFR inhibitor","estrogen receptor agonist",-0.64315,-1.86,0.00607,0.0844,TRUE,-1.99700304927628,-0.71298,-2.3,0.00535,0.0384,TRUE,-3.25603818395468,2,-2.62652061661548,0.890272281483213,-2.08,0.311126983722081,0.000368100256327015,FALSE,0,"TRUE",TRUE
"EGFR inhibitor & estrogen receptor antagonist","EGFR inhibitor","estrogen receptor antagonist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"EGFR inhibitor & FGFR inhibitor","EGFR inhibitor","FGFR inhibitor",-0.30067,-0.887,0.564,0.709,FALSE,-0.13247678939262,-0.30038,-0.898,0.547,0.669,FALSE,-0.156767346244495,0,-0.144622067818557,0.0171760174687581,-0.8925,0.00777817459305203,0.671315723057679,FALSE,10.958904109589,"TRUE",FALSE
"EGFR inhibitor & FLT3 inhibitor","EGFR inhibitor","FLT3 inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76190476190476,"FALSE",FALSE
"EGFR inhibitor & glucocorticoid receptor agonist","EGFR inhibitor","glucocorticoid receptor agonist",-0.37339,-1.08,0.377,0.662,FALSE,-0.193473371405124,-0.42378,-1.26,0.211,0.67,FALSE,-0.219145748596959,0,-0.206309560001041,0.0181531120015251,-1.17,0.127279220613579,0.280912851484837,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & glutamate receptor antagonist","EGFR inhibitor","glutamate receptor antagonist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"EGFR inhibitor & glycogen synthase kinase inhibitor","EGFR inhibitor","glycogen synthase kinase inhibitor",0.3973,1.23,0.226,0.672,FALSE,0.212335794143795,0.20258,0.62,0.871,0.905,FALSE,0.0268778808927739,0,0.119606837518284,0.131138548084503,0.925,0.431335136523794,0.516786414250776,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & growth factor receptor inhibitor","EGFR inhibitor","growth factor receptor inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"EGFR inhibitor & HCV inhibitor","EGFR inhibitor","HCV inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"EGFR inhibitor & HDAC inhibitor","EGFR inhibitor","HDAC inhibitor",0.22793,0.717,0.757,0.988,FALSE,0.00375927073067064,-0.28669,-0.902,0.536,0.869,FALSE,-0.0550041616433029,0,-0.0256224454563161,0.0415520215174338,-0.0925,1.14480587874102,0.771745636983568,FALSE,0,"TRUE",FALSE
