"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.54199,1.78,0.018,198,0.28
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.1784,-0.6,0.882,1077,1
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.358,-1.25,0.208,479,0.624
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.27198,-0.894,0.528,1011,0.982
"EGFR inhibitor","NES","adenosine receptor antagonist",0.35421,1.16,0.278,129,0.551
"EGFR inhibitor","NES","adrenergic receptor agonist",0.17433,0.57,0.917,426,0.947
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.15122,-0.536,0.933,321,1
"EGFR inhibitor","NES","AKT inhibitor",0.65392,2.11,0.00916,345,0.154
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.24604,-0.831,0.631,1109,0.897
"EGFR inhibitor","NES","androgen receptor antagonist",0.35149,1.15,0.305,429,0.525
"EGFR inhibitor","NES","antioxidant",0.54655,1.79,0.033,334,0.323
"EGFR inhibitor","NES","AP inhibitor",0.45815,1.49,0.124,731,0.48
"EGFR inhibitor","NES","ATPase inhibitor",-0.40894,-1.36,0.155,1217,0.535
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.24321,-0.84,0.596,1072,0.916
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.4126,-1.4,0.138,914,0.65
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.31015,-1.02,0.422,1040,0.921
"EGFR inhibitor","NES","BCL inhibitor",0.42543,1.37,0.167,315,0.49
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.1479,-0.506,0.958,1077,1
"EGFR inhibitor","NES","benzodiazepine receptor agonist",0.17881,0.583,0.9,1106,0.978
"EGFR inhibitor","NES","bromodomain inhibitor",0.63827,2.1,0.00893,490,0.109
"EGFR inhibitor","NES","calcium channel blocker",-0.32988,-1.08,0.332,1197,0.848
"EGFR inhibitor","NES","CC chemokine receptor antagonist",0.42433,1.4,0.164,511,0.507
"EGFR inhibitor","NES","CDK inhibitor",0.311,0.995,0.447,250,0.656
"EGFR inhibitor","NES","CHK inhibitor",-0.25875,-0.858,0.584,653,0.963
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.1602,-0.536,0.939,943,1
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.12416,-0.414,0.991,166,0.986
"EGFR inhibitor","NES","DNA alkylating agent",-0.16015,-0.538,0.944,213,1
"EGFR inhibitor","NES","DNA inhibitor",0.30362,0.995,0.431,214,0.656
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.24713,-0.807,0.636,1339,0.905
"EGFR inhibitor","NES","DNA polymerase inhibitor",0.30717,1,0.424,253,0.713
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.17294,0.565,0.923,89,0.931
"EGFR inhibitor","NES","dopamine receptor antagonist",0.36708,1.18,0.278,153,0.543
"EGFR inhibitor","NES","estrogen receptor agonist",0.17811,0.573,0.911,210,0.965
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.40578,-1.36,0.153,1265,0.535
"EGFR inhibitor","NES","FGFR inhibitor",0.3846,1.25,0.218,493,0.559
"EGFR inhibitor","NES","FLT3 inhibitor",0.31661,1.05,0.39,537,0.651
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.18566,0.593,0.876,118,0.991
