"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"ABT.737","Pearson.est","BCL inhibitor",0.34587,0.909,0.539,123,0.904,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",0.18672,0.49,0.972,54,0.996,TRUE,FALSE,"glutamate receptor antagonist"
"ADL5859","Pearson.est","opioid receptor agonist",-0.35202,-0.981,0.447,471,0.814,TRUE,FALSE,"opioid receptor agonist"
"AEE788","Pearson.est","VEGFR inhibitor",0.22859,0.588,0.916,488,0.947,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",0.19656,0.568,0.942,148,0.998,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",-0.44726,-1.22,0.224,1238,0.485,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.37469,0.916,0.549,233,0.907,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",-0.56899,-1.52,0.0815,1066,0.493,TRUE,FALSE,"MET inhibitor"
"AP26113","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.42998,-1.08,0.361,1341,0.739,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",0.28922,0.74,0.795,537,0.936,TRUE,FALSE,"EGFR inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.31191,0.798,0.693,663,0.924,TRUE,FALSE,"CDK inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",-0.27322,-0.698,0.823,1241,0.976,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AZ960","Pearson.est","JAK inhibitor",0.2599,0.662,0.857,434,1,TRUE,FALSE,"JAK inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",0.34486,0.898,0.56,85,0.843,TRUE,FALSE,"JAK inhibitor"
"AZD4547","Pearson.est","FGFR inhibitor",-0.39515,-1.09,0.317,988,0.875,TRUE,FALSE,"FGFR inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",-0.18463,-0.465,0.984,872,1,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",-0.40125,-1.08,0.326,1168,0.718,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",-0.30264,-0.805,0.671,1327,0.96,TRUE,FALSE,"histamine receptor antagonist"
"BGT226","Pearson.est","PI3K inhibitor",0.24591,0.646,0.873,387,1,TRUE,FALSE,"PI3K inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.30614,-0.876,0.56,1289,0.715,TRUE,FALSE,"MEK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",-0.54861,-1.35,0.128,939,0.871,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
"BMS.599626","Pearson.est","EGFR inhibitor",0.14434,0.396,0.998,369,0.998,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"BMS.599626","Pearson.est","protein tyrosine kinase inhibitor",-0.4267,-1.17,0.285,1280,0.552,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CB.10.277","Pearson.est","DNA synthesis inhibitor",-0.37577,-1.03,0.384,1213,0.638,TRUE,FALSE,"DNA synthesis inhibitor"
"CD.437","Pearson.est","retinoid receptor agonist",-0.37226,-1.01,0.427,1165,0.593,TRUE,FALSE,"retinoid receptor agonist"
"CEP.33779","Pearson.est","JAK inhibitor",0.2098,0.559,0.961,152,1,TRUE,FALSE,"JAK inhibitor"
"CEP.37440","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.32672,-0.871,0.586,974,0.958,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"CGP.52411","Pearson.est","EGFR inhibitor",0.20069,0.519,0.949,393,0.971,TRUE,FALSE,"EGFR inhibitor"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",0.32372,0.802,0.693,345,1,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CH5132799","Pearson.est","PI3K inhibitor",0.19858,0.524,0.971,359,0.993,TRUE,FALSE,"PI3K inhibitor"
"CHIR.98014","Pearson.est","glycogen synthase kinase inhibitor",0.39043,0.973,0.495,457,0.745,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CL.218872","Pearson.est","benzodiazepine receptor agonist",0.306,0.878,0.581,203,0.823,TRUE,FALSE,"benzodiazepine receptor agonist"
"CMPD.1","Pearson.est","p38 MAPK inhibitor",0.39269,0.954,0.521,689,0.891,TRUE,FALSE,"p38 MAPK inhibitor"
"CNX.2006","Pearson.est","EGFR inhibitor",0.34544,0.868,0.612,235,0.897,TRUE,FALSE,"EGFR inhibitor"
"CP.673451","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.32079,-0.864,0.594,1068,0.852,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
