"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.54199,1.78,0.018,198,0.28
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.28654,0.96,0.486,284,0.953
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",-0.37043,-1.26,0.246,929,0.806
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.29114,1.01,0.422,350,0.803
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.32619,1.09,0.329,111,0.823
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.50535,1.65,0.0689,314,0.473
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.13247,0.448,0.968,446,0.993
"AKT inhibitor","NES","AKT inhibitor",0.71991,2.4,0,176,0.0249
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.34733,1.19,0.274,135,0.578
"androgen receptor antagonist","NES","androgen receptor antagonist",0.29942,1.03,0.392,526,0.678
"antioxidant","NES","antioxidant",0.65395,2.13,0.0085,309,0.267
"AP inhibitor","NES","AP inhibitor",0.56417,1.87,0.0138,154,0.173
"ATPase inhibitor","NES","ATPase inhibitor",0.51954,1.77,0.034,83,0.235
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.75546,2.38,0.00192,170,0.0306
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.57646,2,0.0105,378,0.561
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.44629,-1.61,0.0782,1037,0.42
"BCL inhibitor","NES","BCL inhibitor",0.33191,1.11,0.341,540,0.681
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.45093,1.57,0.0728,333,0.56
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.19242,0.658,0.803,718,0.915
"bromodomain inhibitor","NES","bromodomain inhibitor",0.86687,2.92,0,184,0.00113
"calcium channel blocker","NES","calcium channel blocker",0.27194,0.914,0.536,316,0.812
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.39396,1.3,0.201,41,0.837
"CDK inhibitor","NES","CDK inhibitor",0.42068,1.36,0.155,582,0.466
"CHK inhibitor","NES","CHK inhibitor",0.80254,2.65,0,271,0.0105
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.43942,1.49,0.113,290,0.54
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",-0.2208,-0.791,0.675,1068,0.964
"DNA alkylating agent","NES","DNA alkylating agent",0.22434,0.764,0.689,608,0.915
"DNA inhibitor","NES","DNA inhibitor",-0.32526,-1.14,0.324,1176,0.75
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",-0.53988,-1.79,0.0352,1195,0.246
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",-0.25978,-0.928,0.501,1225,0.795
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",-0.41569,-1.46,0.109,1160,0.403
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.43799,1.47,0.118,653,0.601
"estrogen receptor agonist","NES","estrogen receptor agonist",-0.44081,-1.5,0.109,1072,0.348
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.4619,1.57,0.0684,403,0.569
"FGFR inhibitor","NES","FGFR inhibitor",0.3339,1.11,0.349,543,0.739
"FLT3 inhibitor","NES","FLT3 inhibitor",0.44765,1.53,0.099,497,0.385
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.36731,1.25,0.229,420,0.831
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.19348,0.678,0.807,29,1
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.59101,1.94,0.0186,555,0.116
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",-0.37397,-1.34,0.165,500,0.653
"HDAC inhibitor","NES","HDAC inhibitor",0.59326,1.92,0.0189,357,0.273
"histamine receptor antagonist","NES","histamine receptor antagonist",-0.2098,-0.724,0.733,552,0.902
"HMGCR inhibitor","NES","HMGCR inhibitor",0.76532,2.63,0,320,0.00948
