"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.54199,1.78,0.018,0.28,FALSE,0.98405870421085,0.54199,1.78,0.018,0.28,FALSE,0.98405870421085,0,0.98405870421085,0,1.78,0,0.00292726452166371,TRUE,100,"FALSE",FALSE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.092592,0.313,1,0.998,FALSE,0.000272140577052843,-0.1784,-0.6,0.882,1,FALSE,0,0,0.000136070288526421,0.000192432447470085,-0.1435,0.645588491223318,0.992746762664255,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.12307,-0.427,0.983,1,FALSE,0,-0.358,-1.25,0.208,0.624,FALSE,-0.25601926289697,0,-0.128009631448485,0.181032956908829,-0.8385,0.581948880916529,0.529022661653787,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.21474,-0.723,0.737,0.95,FALSE,-0.0161058333761631,-0.27198,-0.894,0.528,0.982,FALSE,-0.007052329918467,0,-0.011579081647315,0.00640179368843275,-0.8085,0.1209152595829,0.756412823012676,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.17336,0.583,0.9,0.926,FALSE,0.0194657947644323,0.35421,1.16,0.278,0.551,FALSE,0.300264145331929,0,0.159864970048181,0.198554417832275,0.8715,0.408000612744638,0.596850769173521,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.077533,-0.258,1,1,FALSE,0,0.17433,0.57,0.917,0.947,FALSE,0.0134805119681342,0,0.00674025598406708,0.00953216142653408,0.156,0.585484414822461,0.996456038767441,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",0.16599,0.561,0.914,0.997,FALSE,0.000732016187161142,-0.15122,-0.536,0.933,1,FALSE,0,0,0.000366008093580571,0.000517613609879964,0.0125,0.775696138961643,0.988585484771364,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.49898,1.65,0.0505,0.257,FALSE,0.973610346503364,0.65392,2.11,0.00916,0.154,TRUE,1.71433127903506,1,1.34397081276921,0.523768794359987,1.88,0.325269119345812,0.00401458890266952,FALSE,0,"FALSE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",-0.16978,-0.574,0.894,0.9,FALSE,-0.0262647995818275,-0.24604,-0.831,0.631,0.897,FALSE,-0.0392294798303595,0,-0.0327471397060935,0.00916741331965224,-0.7025,0.181726442764943,0.887068655897653,FALSE,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",0.14156,0.504,0.948,1,FALSE,0,0.35149,1.15,0.305,0.525,FALSE,0.32181680108315,0,0.160908400541575,0.227558842345657,0.827,0.45679098064651,0.647917714859506,FALSE,0,"FALSE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",0.34275,1.14,0.313,0.728,FALSE,0.157170227583138,0.54655,1.79,0.033,0.323,FALSE,0.878527485027326,0,0.517848856305232,0.510076608396916,1.465,0.459619407771256,0.0575614491957365,FALSE,0,"FALSE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",0.23165,0.802,0.675,0.826,FALSE,0.0665820020490535,0.45815,1.49,0.124,0.48,FALSE,0.474950556310375,0,0.270766279179714,0.288760173941527,1.146,0.486489465456345,0.291319214434437,FALSE,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.30821,-1.02,0.413,0.813,FALSE,-0.0917076434940505,-0.40894,-1.36,0.155,0.535,FALSE,-0.369438856451129,0,-0.23057324997259,0.196385624029116,-1.19,0.240416305603426,0.239969051845097,FALSE,0,"FALSE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.13766,-0.431,0.982,0.983,FALSE,-0.00320943381434955,-0.24321,-0.84,0.596,0.916,FALSE,-0.0320078021190057,0,-0.0176086179666776,0.0203635215153301,-0.6355,0.289206673505298,0.89878967536296,FALSE,1.0752688172043,"FALSE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",-0.27927,-0.919,0.508,0.643,FALSE,-0.17625411588264,-0.4126,-1.4,0.138,0.65,FALSE,-0.261921300700002,0,-0.219087708291321,0.0605758473095181,-1.1595,0.340118361750729,0.256424688410225,FALSE,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.24198,-0.864,0.568,0.944,FALSE,-0.0216241969264684,-0.31015,-1.02,0.422,0.921,FALSE,-0.0364551771992141,0,-0.0290396870628413,0.0104870867225024,-0.942,0.110308657865101,0.582073889366843,FALSE,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.28644,0.979,0.459,0.751,FALSE,0.121748501672919,0.42543,1.37,0.167,0.49,FALSE,0.424431370360936,0,0.273089936016928,0.214029108998294,1.1745,0.27647875144394,0.273533665344683,FALSE,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.081351,0.281,1,0.999,FALSE,0.000122097808498971,-0.1479,-0.506,0.958,1,FALSE,0,0,6.10489042494857e-05,8.63361883576391e-05,-0.1125,0.556493036793813,0.999105385968803,FALSE,0,"FALSE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",0.15047,0.52,0.944,0.96,FALSE,0.00921895881942443,0.17881,0.583,0.9,0.978,FALSE,0.00563244765882836,0,0.0074257032391264,0.00253604636245872,0.5515,0.0445477272147525,0.988075988368896,FALSE,0,"FALSE",FALSE
