"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.8686,2.58,0,138,0
"EGFR inhibitor","NES","Abl kinase inhibitor",0.47317,1.39,0.152,486,0.305
"EGFR inhibitor","NES","adrenergic receptor agonist",0.22797,0.649,0.86,711,0.91
"EGFR inhibitor","NES","AKT inhibitor",0.6766,1.93,0.00353,143,0.0847
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.24141,-0.715,0.761,767,0.829
"EGFR inhibitor","NES","antioxidant",0.54647,1.6,0.0557,229,0.198
"EGFR inhibitor","NES","AP inhibitor",0.44797,1.3,0.207,509,0.343
"EGFR inhibitor","NES","ATPase inhibitor",-0.71884,-2.17,0.00458,736,0.0566
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.20644,-0.614,0.884,186,0.885
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.69627,-2.07,0.00673,635,0.0408
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.47317,1.36,0.157,486,0.3
"EGFR inhibitor","NES","bromodomain inhibitor",0.64364,1.86,0.0114,331,0.102
"EGFR inhibitor","NES","calcium channel blocker",-0.46586,-1.39,0.112,823,0.314
"EGFR inhibitor","NES","CDK inhibitor",0.42162,1.2,0.25,217,0.441
"EGFR inhibitor","NES","CHK inhibitor",-0.26177,-0.786,0.687,448,0.783
"EGFR inhibitor","NES","DNA polymerase inhibitor",0.56918,1.63,0.0392,174,0.219
"EGFR inhibitor","NES","dopamine receptor antagonist",0.22542,0.637,0.873,316,0.891
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.5137,-1.51,0.109,730,0.325
"EGFR inhibitor","NES","FLT3 inhibitor",0.32626,0.938,0.513,160,0.648
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.33809,-1,0.42,706,0.567
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.38172,1.1,0.329,409,0.548
"EGFR inhibitor","NES","HCV inhibitor",0.37593,1.04,0.416,427,0.61
"EGFR inhibitor","NES","HDAC inhibitor",0.35983,1.03,0.434,521,0.597
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.48395,1.39,0.152,357,0.305
