"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.8686,2.58,0,138,0
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.34541,1.07,0.381,126,0.634
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.71529,2.13,0.00179,205,0.0152
"AKT inhibitor","NES","AKT inhibitor",0.78475,2.32,0,117,0.0167
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.81051,2.49,0.00219,178,0.00489
"antioxidant","NES","antioxidant",0.64761,1.9,0.0117,218,0.167
"AP inhibitor","NES","AP inhibitor",0.63863,1.89,0.0102,116,0.0856
"ATPase inhibitor","NES","ATPase inhibitor",0.81946,2.47,0,63,0.00656
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.75139,2.08,0,241,0.0294
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.72807,2.2,0.00223,254,0.0364
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.34711,1.1,0.34,78,0.605
"bromodomain inhibitor","NES","bromodomain inhibitor",0.86623,2.63,0,128,0.00111
"calcium channel blocker","NES","calcium channel blocker",0.6221,1.86,0.0245,224,0.0729
"CDK inhibitor","NES","CDK inhibitor",0.74531,2.12,0,242,0.0292
"CHK inhibitor","NES","CHK inhibitor",0.79693,2.38,0,192,0.0124
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.44604,1.33,0.176,357,0.269
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.68867,1.99,0.00701,292,0.177
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.70175,2.15,0.00194,277,0.0343
"FLT3 inhibitor","NES","FLT3 inhibitor",0.71084,2.13,0.00334,269,0.0503
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.86923,2.65,0,127,0
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.61572,1.8,0.0138,188,0.0853
"HDAC inhibitor","NES","HDAC inhibitor",0.80288,2.31,0,193,0.0103
"HMGCR inhibitor","NES","HMGCR inhibitor",0.76864,2.32,0,217,0.0074
"HSP inhibitor","NES","HSP inhibitor",0.77067,2.21,0.00382,219,0.0143
"MDM inhibitor","NES","MDM inhibitor",0.65423,1.92,0.00871,320,0.0574
"MEK inhibitor","NES","MEK inhibitor",0.91539,2.62,0,33,0
"MET inhibitor","NES","MET inhibitor",0.76999,2.32,0,215,0.0303
"microtubule inhibitor","NES","microtubule inhibitor",0.77168,2.31,0.00412,215,0.0182
"mTOR inhibitor","NES","mTOR inhibitor",0.77281,2.15,0.00185,125,0.0178
"PARP inhibitor","NES","PARP inhibitor",0.74232,2.19,0,241,0.0149
"phosphatase inhibitor","NES","phosphatase inhibitor",0.38661,1.18,0.279,107,0.725
"phosphodiesterase inhibitor","NES","phosphodiesterase inhibitor",0.70318,2.08,0.0018,117,0.0426
"PI3K inhibitor","NES","PI3K inhibitor",0.86031,2.48,0,142,0.00336
"PLK inhibitor","NES","PLK inhibitor",0.77266,2.31,0,110,0.00383
"progesterone receptor agonist","NES","progesterone receptor agonist",0.7818,2.36,0,205,0.00978
"proteasome inhibitor","NES","proteasome inhibitor",0.80351,2.44,0,186,0.0049
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.84396,2.46,0,150,0.00461
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.84903,2.51,0,45,0.000789
"serotonin receptor antagonist","NES","serotonin receptor antagonist",0.78728,2.31,0,200,0.0101
"thymidylate synthase inhibitor","NES","thymidylate synthase inhibitor",0.65972,1.94,0.00532,185,0.0686
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.73111,2.12,0.00372,260,0.0299
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.79709,2.29,0,93,0.00479
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.38409,1.16,0.302,440,0.526
"VEGFR inhibitor","NES","VEGFR inhibitor",0.91328,2.76,0,86,0.0013
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.97475,3.04,0,30,0
