"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.8686,2.58,0,0,TRUE,7.75126119793832,0.8686,2.58,0,0,TRUE,7.75126119793832,2,7.75126119793832,0,2.58,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.12599,-0.378,0.996,0.993,FALSE,-0.00115318406874592,0.47317,1.39,0.152,0.305,FALSE,0.716823223307968,0,0.357835019619611,0.507685986388029,0.506,1.25016478913782,0.43720234975912,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.13252,-0.396,0.996,0.992,FALSE,-0.00138137782694525,0.22797,0.649,0.86,0.91,FALSE,0.0265821363836102,0,0.0126003792783325,0.0197731905240902,0.1265,0.738926586339942,0.989181965239331,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.70293,2.07,0.0037,0.0264,TRUE,3.26727987137945,0.6766,1.93,0.00353,0.0847,TRUE,2.06918501806174,2,2.66823244472059,0.847180995285658,2,0.0989949493661166,0.000159943436947705,FALSE,0,"TRUE",TRUE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",-0.1436,-0.411,0.982,0.988,FALSE,-0.00215489577448484,-0.24141,-0.715,0.761,0.829,FALSE,-0.0582335106565544,0,-0.0301942032155196,0.0396535688626602,-0.563,0.21496046148071,0.964980529475155,FALSE,1.23456790123457,"TRUE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",0.42962,1.27,0.222,0.424,FALSE,0.47324536212723,0.54647,1.6,0.0557,0.198,FALSE,1.12533569558155,0,0.79929052885439,0.461097496731747,1.435,0.233345237791561,0.0666847848467597,FALSE,0,"TRUE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",0.20164,0.603,0.894,0.888,FALSE,0.0311069816355036,0.44797,1.3,0.207,0.343,FALSE,0.604117643944398,0,0.317612312789951,0.405179725010814,0.9515,0.492853426487024,0.49726675904959,FALSE,0,"TRUE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.45383,-1.35,0.172,0.251,FALSE,-0.810440476000599,-0.71884,-2.17,0.00458,0.0566,TRUE,-2.70638834432145,1,-1.75841441016102,1.34063759446585,-1.76,0.579827560572969,0.00641734274532356,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.31514,-0.917,0.511,0.781,FALSE,-0.0984390019345156,-0.20644,-0.614,0.884,0.885,FALSE,-0.0325768317915352,0,-0.0655079168630254,0.0465715871317636,-0.7655,0.214253354699524,0.810701792357749,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",-0.45869,-1.34,0.167,0.329,FALSE,-0.646957496747034,-0.69627,-2.07,0.00673,0.0408,TRUE,-2.87593346240395,1,-1.76144547957549,1.57612402041784,-1.705,0.516187950266179,0.00875631717578119,FALSE,0,"TRUE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.11525,0.353,0.993,0.996,FALSE,0.000614453536434348,0.47317,1.36,0.157,0.3,FALSE,0.711115093581259,0,0.355864773558847,0.502399820613078,0.8565,0.712056528654853,0.445648322942275,FALSE,0,"FALSE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",0.30943,0.935,0.516,0.648,FALSE,0.176177369510995,0.64364,1.86,0.0114,0.102,TRUE,1.84400368052283,1,1.01009052501691,1.17933129435781,1.3975,0.654073772597557,0.0360931736670927,FALSE,0,"TRUE",FALSE
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",-0.38612,-1.17,0.271,0.38,FALSE,-0.491653191958332,-0.46586,-1.39,0.112,0.314,FALSE,-0.699267789178231,0,-0.595460490568282,0.146805689567504,-1.28,0.15556349186104,0.136428988262442,FALSE,0,"TRUE",FALSE
"CC chemokine receptor antagonist & EGFR inhibitor","CC chemokine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.35142,1.02,0.453,0.519,FALSE,0.290529294994573,0.42162,1.2,0.25,0.441,FALSE,0.426673692638594,0,0.358601493816583,0.0962686267946449,1.11,0.127279220613579,0.359926338530601,FALSE,0,"TRUE",FALSE
"CHK inhibitor & EGFR inhibitor","CHK inhibitor","EGFR inhibitor",-0.19624,-0.599,0.896,0.951,FALSE,-0.0130698703544891,-0.26177,-0.786,0.687,0.783,FALSE,-0.0835032550224565,0,-0.0482865626884728,0.0498039239206404,-0.6925,0.132228968081884,0.914239899642429,FALSE,0,"TRUE",FALSE
"cyclooxygenase inhibitor & EGFR inhibitor","cyclooxygenase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"cytochrome P450 inhibitor & EGFR inhibitor","cytochrome P450 inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA alkylating agent & EGFR inhibitor","DNA alkylating agent","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA inhibitor & EGFR inhibitor","DNA inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA methyltransferase inhibitor & EGFR inhibitor","DNA methyltransferase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"DNA polymerase inhibitor & EGFR inhibitor","DNA polymerase inhibitor","EGFR inhibitor",0.24008,0.701,0.806,0.796,FALSE,0.069459939515894,0.56918,1.63,0.0392,0.219,TRUE,1.07507609281061,1,0.57226801616325,0.711078001265422,1.1655,0.656902199722303,0.140748719369365,FALSE,0,"FALSE",FALSE
"DNA synthesis inhibitor & EGFR inhibitor","DNA synthesis inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
