"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.72787,2.33,0.00208,144,0.0306
"EGFR inhibitor","NES","Abl kinase inhibitor",0.3431,1.12,0.317,307,0.597
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.32695,-1.04,0.403,1330,0.724
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.41311,-1.35,0.148,1109,0.567
"EGFR inhibitor","NES","adenosine receptor antagonist",-0.32924,-1.01,0.429,1129,0.693
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.29132,-0.926,0.522,871,0.784
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.18678,-0.59,0.904,1104,0.918
"EGFR inhibitor","NES","AKT inhibitor",-0.33513,-1.04,0.39,936,0.724
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.45901,1.46,0.12,292,0.673
"EGFR inhibitor","NES","androgen receptor antagonist",-0.69364,-2.2,0.004,1110,0.158
"EGFR inhibitor","NES","antioxidant",-0.31348,-0.978,0.466,421,0.722
"EGFR inhibitor","NES","AP inhibitor",-0.27413,-0.866,0.58,912,0.807
"EGFR inhibitor","NES","ATPase inhibitor",-0.25628,-0.81,0.635,1190,0.824
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.4135,-1.28,0.195,698,0.538
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.53312,-1.71,0.0524,795,0.393
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",0.21315,0.686,0.812,353,0.942
"EGFR inhibitor","NES","BCL inhibitor",0.19727,0.63,0.865,349,0.954
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.31304,0.992,0.434,307,0.757
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.31902,-1.03,0.395,1295,0.713
"EGFR inhibitor","NES","bromodomain inhibitor",-0.36262,-1.13,0.318,487,0.66
"EGFR inhibitor","NES","calcium channel blocker",0.24852,0.797,0.674,539,0.921
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.38748,-1.22,0.265,520,0.57
"EGFR inhibitor","NES","CDK inhibitor",0.38787,1.26,0.224,498,0.519
"EGFR inhibitor","NES","CHK inhibitor",0.81371,2.56,0,257,0.01
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.20122,-0.629,0.863,974,0.902
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.50465,-1.58,0.0586,1046,0.412
"EGFR inhibitor","NES","DNA alkylating agent",0.20786,0.675,0.797,363,0.929
"EGFR inhibitor","NES","DNA inhibitor",0.19508,0.622,0.847,214,0.937
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.39166,1.25,0.219,823,0.506
"EGFR inhibitor","NES","DNA polymerase inhibitor",0.41034,1.31,0.191,134,0.506
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.18845,0.605,0.897,330,0.928
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.21478,-0.676,0.825,989,0.917
"EGFR inhibitor","NES","estrogen receptor agonist",-0.41552,-1.35,0.162,1293,0.567
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.59505,-1.88,0.0234,950,0.31
"EGFR inhibitor","NES","FGFR inhibitor",0.36893,1.18,0.273,339,0.556
"EGFR inhibitor","NES","FLT3 inhibitor",0.33977,1.09,0.357,382,0.618
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.19664,-0.632,0.853,958,0.92
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.43039,-1.36,0.148,1085,0.648
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.27955,0.909,0.513,334,0.813
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.23448,0.743,0.767,290,0.976
"EGFR inhibitor","NES","HCV inhibitor",-0.24241,-0.767,0.698,1280,0.866
"EGFR inhibitor","NES","HDAC inhibitor",0.23051,0.739,0.724,400,0.896
"EGFR inhibitor","NES","histamine receptor antagonist",-0.41269,-1.31,0.194,1170,0.597
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.38914,1.24,0.233,529,0.493
"EGFR inhibitor","NES","HMGCR inhibitor",0.23046,0.739,0.736,230,0.896
"EGFR inhibitor","NES","HSP inhibitor",-0.36655,-1.17,0.289,1286,0.62
"EGFR inhibitor","NES","JAK inhibitor",0.23006,0.739,0.746,410,0.896
"EGFR inhibitor","NES","KIT inhibitor",0.43873,1.4,0.141,248,0.519
"EGFR inhibitor","NES","MDM inhibitor",-0.62209,-1.94,0.0096,1092,0.352
"EGFR inhibitor","NES","MEK inhibitor",0.30634,0.96,0.487,234,0.784
"EGFR inhibitor","NES","MET inhibitor",0.43312,1.41,0.128,125,0.553
"EGFR inhibitor","NES","microtubule inhibitor",-0.26214,-0.84,0.638,351,0.801
"EGFR inhibitor","NES","mTOR inhibitor",-0.14156,-0.446,0.979,187,0.979
"EGFR inhibitor","NES","NFkB pathway inhibitor",0.2623,0.838,0.632,457,0.881
"EGFR inhibitor","NES","opioid receptor agonist",-0.28891,-0.892,0.532,388,0.815
"EGFR inhibitor","NES","p38 MAPK inhibitor",0.44918,1.45,0.11,93,0.606
"EGFR inhibitor","NES","PARP inhibitor",-0.23296,-0.736,0.717,1038,0.884
"EGFR inhibitor","NES","PDGFR tyrosine kinase receptor inhibitor",0.35211,1.14,0.289,248,0.591
"EGFR inhibitor","NES","phosphatase inhibitor",0.39374,1.27,0.219,484,0.536
"EGFR inhibitor","NES","phosphodiesterase inhibitor",0.29346,0.944,0.486,487,0.782
"EGFR inhibitor","NES","PI3K inhibitor",0.14993,0.48,0.964,405,0.966
"EGFR inhibitor","NES","PLK inhibitor",-0.3152,-1.01,0.429,423,0.693
"EGFR inhibitor","NES","potassium channel blocker",-0.47414,-1.5,0.105,1153,0.497
"EGFR inhibitor","NES","PPAR receptor agonist",-0.34635,-1.11,0.343,880,0.663
"EGFR inhibitor","NES","progesterone receptor agonist",-0.49642,-1.63,0.0565,1006,0.386
"EGFR inhibitor","NES","proteasome inhibitor",-0.51948,-1.67,0.0517,998,0.383
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.19729,-0.641,0.837,1308,0.933
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.41259,1.32,0.186,137,0.565
"EGFR inhibitor","NES","RAF inhibitor",-0.22552,-0.711,0.755,853,0.896
"EGFR inhibitor","NES","RET tyrosine kinase inhibitor",0.53736,1.76,0.0357,205,0.392
"EGFR inhibitor","NES","retinoid receptor agonist",0.40029,1.31,0.194,35,0.506
"EGFR inhibitor","NES","ribonucleotide reductase inhibitor",-0.43827,-1.36,0.157,1049,0.648
"EGFR inhibitor","NES","serotonin receptor agonist",-0.41185,-1.29,0.194,1230,0.554
"EGFR inhibitor","NES","serotonin receptor antagonist",0.17074,0.546,0.921,328,0.953
"EGFR inhibitor","NES","sodium channel blocker",-0.38206,-1.23,0.211,1009,0.585
"EGFR inhibitor","NES","src inhibitor",0.47557,1.5,0.0924,443,0.684
"EGFR inhibitor","NES","sterol demethylase inhibitor",-0.55164,-1.71,0.0299,1151,0.393
"EGFR inhibitor","NES","SYK inhibitor",0.48506,1.58,0.0714,238,0.627
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.6076,2,0.0113,167,0.174
"EGFR inhibitor","NES","thymidylate synthase inhibitor",-0.27003,-0.871,0.587,857,0.824
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.27409,-0.861,0.571,917,0.79
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.28221,0.899,0.542,802,0.802
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.41917,1.33,0.169,205,0.593
"EGFR inhibitor","NES","VEGFR inhibitor",0.44072,1.41,0.124,211,0.553
"EGFR inhibitor","NES","vitamin D receptor agonist",-0.4007,-1.29,0.208,1263,0.554
"Abl kinase inhibitor","NES","EGFR inhibitor",0.31937,1.08,0.353,449,0.72
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.36016,1.2,0.262,314,0.612
"Abl kinase inhibitor","NES","acetylcholine receptor agonist",0.61062,2.01,0.00772,187,0.267
"Abl kinase inhibitor","NES","acetylcholine receptor antagonist",-0.39818,-1.43,0.127,1137,0.558
"Abl kinase inhibitor","NES","adenosine receptor antagonist",0.36344,1.21,0.257,257,0.621
"Abl kinase inhibitor","NES","adrenergic receptor agonist",-0.18542,-0.662,0.797,1130,0.907
"Abl kinase inhibitor","NES","adrenergic receptor antagonist",-0.1944,-0.719,0.752,1179,0.945
"Abl kinase inhibitor","NES","AKT inhibitor",0.35623,1.22,0.244,559,0.631
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.5374,1.78,0.0364,423,0.354
"Abl kinase inhibitor","NES","androgen receptor antagonist",-0.5009,-1.81,0.0334,899,0.537
"Abl kinase inhibitor","NES","antioxidant",-0.67461,-2.41,0,906,0.0712
"Abl kinase inhibitor","NES","AP inhibitor",0.41689,1.41,0.136,291,0.482
"Abl kinase inhibitor","NES","ATPase inhibitor",-0.18948,-0.717,0.746,598,0.91
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.50784,1.67,0.0486,500,0.479
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.26026,-0.937,0.489,815,0.884
"Abl kinase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.32234,-1.21,0.245,1173,0.629
"Abl kinase inhibitor","NES","BCL inhibitor",0.23326,0.784,0.694,368,0.839
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.48935,1.64,0.0578,314,0.465
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",-0.21164,-0.764,0.691,1241,0.919
"Abl kinase inhibitor","NES","bromodomain inhibitor",0.29702,1,0.459,373,0.719
"Abl kinase inhibitor","NES","calcium channel blocker",0.36396,1.19,0.278,255,0.603
"Abl kinase inhibitor","NES","CC chemokine receptor antagonist",-0.41803,-1.52,0.0697,561,0.589
"Abl kinase inhibitor","NES","CDK inhibitor",0.24999,0.842,0.645,536,0.872
"Abl kinase inhibitor","NES","CHK inhibitor",0.34653,1.15,0.308,276,0.622
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",-0.23095,-0.836,0.633,398,0.927
"Abl kinase inhibitor","NES","cytochrome P450 inhibitor",0.24552,0.829,0.615,838,0.871
"Abl kinase inhibitor","NES","DNA alkylating agent",-0.23625,-0.871,0.568,1139,0.91
"Abl kinase inhibitor","NES","DNA inhibitor",-0.28272,-1,0.424,562,0.813
"Abl kinase inhibitor","NES","DNA methyltransferase inhibitor",0.43421,1.47,0.112,376,0.481
"Abl kinase inhibitor","NES","DNA polymerase inhibitor",-0.28728,-1.06,0.399,649,0.75
"Abl kinase inhibitor","NES","DNA synthesis inhibitor",0.16115,0.54,0.921,310,0.959
"Abl kinase inhibitor","NES","dopamine receptor antagonist",0.12822,0.421,0.974,547,0.981
"Abl kinase inhibitor","NES","estrogen receptor agonist",-0.37207,-1.33,0.179,709,0.586
"Abl kinase inhibitor","NES","estrogen receptor antagonist",-0.32167,-1.13,0.304,432,0.668
"Abl kinase inhibitor","NES","FGFR inhibitor",0.20003,0.667,0.813,372,0.896
"Abl kinase inhibitor","NES","FLT3 inhibitor",0.34991,1.16,0.321,214,0.629
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.24604,0.811,0.645,572,0.877
"Abl kinase inhibitor","NES","glutamate receptor antagonist",-0.35149,-1.31,0.163,1085,0.562
"Abl kinase inhibitor","NES","glycogen synthase kinase inhibitor",-0.16698,-0.599,0.844,1010,0.907
"Abl kinase inhibitor","NES","growth factor receptor inhibitor",0.26178,0.866,0.574,615,0.878
"Abl kinase inhibitor","NES","HCV inhibitor",0.39164,1.34,0.17,497,0.542
"Abl kinase inhibitor","NES","HDAC inhibitor",0.1886,0.627,0.852,294,0.921
"Abl kinase inhibitor","NES","histamine receptor antagonist",-0.17412,-0.614,0.873,355,0.925
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",0.29248,0.968,0.459,262,0.75
"Abl kinase inhibitor","NES","HMGCR inhibitor",0.47006,1.56,0.0875,591,0.445
"Abl kinase inhibitor","NES","HSP inhibitor",0.42124,1.41,0.151,194,0.482
"Abl kinase inhibitor","NES","JAK inhibitor",0.47969,1.62,0.0606,282,0.396
"Abl kinase inhibitor","NES","KIT inhibitor",0.30953,1.04,0.415,299,0.719
"Abl kinase inhibitor","NES","MDM inhibitor",-0.31571,-1.17,0.305,424,0.649
"Abl kinase inhibitor","NES","MEK inhibitor",-0.22856,-0.829,0.632,414,0.894
"Abl kinase inhibitor","NES","MET inhibitor",-0.41381,-1.51,0.122,1034,0.507
"Abl kinase inhibitor","NES","microtubule inhibitor",0.39787,1.33,0.185,628,0.528
"Abl kinase inhibitor","NES","mTOR inhibitor",0.40616,1.32,0.197,561,0.492
