"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",-0.4253,-1.19,0.235,1284,0.72,TRUE,FALSE,"AKT inhibitor"
"ABT.737","Pearson.est","BCL inhibitor",0.32168,0.79,0.707,60,1,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",-0.47536,-1.36,0.147,1190,0.75,TRUE,FALSE,"glutamate receptor antagonist"
"ACY.1215","Pearson.est","HDAC inhibitor",0.30109,0.744,0.791,643,0.872,TRUE,FALSE,"HDAC inhibitor"
"ADL5859","Pearson.est","opioid receptor agonist",-0.45489,-1.28,0.201,1206,0.777,TRUE,FALSE,"opioid receptor agonist"
"AEE788","Pearson.est","EGFR inhibitor",0.29716,0.757,0.749,531,0.88,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",0.22234,0.584,0.943,207,0.932,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",-0.32315,-0.839,0.627,1176,0.952,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.24714,0.604,0.917,352,0.985,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",0.33534,0.796,0.742,102,0.922,TRUE,FALSE,"MET inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",0.26152,0.631,0.896,479,1,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AT7867","Pearson.est","AKT inhibitor",0.37115,0.894,0.621,436,0.931,TRUE,FALSE,"AKT inhibitor"
"AV.412","Pearson.est","protein tyrosine kinase inhibitor",0.36321,0.998,0.413,275,0.891,TRUE,FALSE,"protein tyrosine kinase inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",-0.28435,-0.728,0.751,1097,0.869,TRUE,FALSE,"JAK inhibitor"
"AZD2858","Pearson.est","glycogen synthase kinase inhibitor",-0.31475,-0.853,0.619,1173,1,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"AZD4547","Pearson.est","FGFR inhibitor",0.27827,0.72,0.78,333,0.889,TRUE,FALSE,"FGFR inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.33457,0.814,0.679,668,0.858,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",0.42426,0.983,0.484,446,0.967,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",0.32226,0.811,0.698,601,0.987,TRUE,FALSE,"histamine receptor antagonist"
"BIBX.1382","Pearson.est","EGFR inhibitor",0.20874,0.501,0.975,449,1,TRUE,FALSE,"EGFR inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",0.41209,0.993,0.498,687,1,TRUE,FALSE,"CDK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",0.40256,0.999,0.47,406,0.74,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
"BW.180C","Pearson.est","opioid receptor agonist",-0.35369,-1.03,0.374,475,0.817,TRUE,FALSE,"opioid receptor agonist"
"CGP.37849","Pearson.est","glutamate receptor antagonist",-0.26431,-0.715,0.764,1193,1,TRUE,FALSE,"glutamate receptor antagonist"
"CGP.52411","Pearson.est","EGFR inhibitor",-0.29848,-0.717,0.793,1061,1,TRUE,FALSE,"EGFR inhibitor"
"CH5132799","Pearson.est","PI3K inhibitor",-0.25161,-0.634,0.891,1181,0.93,TRUE,FALSE,"PI3K inhibitor"
"CMPD.1","Pearson.est","p38 MAPK inhibitor",-0.39931,-1.03,0.407,1168,0.681,TRUE,FALSE,"p38 MAPK inhibitor"
"CNX.2006","Pearson.est","EGFR inhibitor",0.16145,0.401,0.998,395,0.997,TRUE,FALSE,"EGFR inhibitor"
"CP.673451","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.24193,0.58,0.948,534,1,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"CP.724714","Pearson.est","EGFR inhibitor",0.18173,0.45,0.992,728,0.99,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CPP","Pearson.est","glutamate receptor antagonist",0.27905,0.675,0.858,235,0.987,TRUE,FALSE,"glutamate receptor antagonist"
"CUDC.101","Pearson.est","EGFR inhibitor",0.19618,0.578,0.941,322,0.972,TRUE,FALSE,"EGFR inhibitor"
"CUDC.907","Pearson.est","PI3K inhibitor",-0.38039,-1.12,0.316,1050,0.826,TRUE,FALSE,"PI3K inhibitor"
"DMH1","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.31764,-0.924,0.542,425,1,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"EMD.53998","Pearson.est","phosphodiesterase inhibitor",0.3211,0.802,0.712,17,1,TRUE,FALSE,"phosphodiesterase inhibitor"
"ENMD.2076","Pearson.est","VEGFR inhibitor",0.32861,0.789,0.704,329,0.939,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
