"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.72787,2.33,0.00208,144,0.0306
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.36016,1.2,0.262,314,0.612
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",-0.39896,-1.49,0.11,535,0.368
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.52339,1.8,0.0323,261,0.253
"adenosine receptor antagonist","NES","adenosine receptor antagonist",-0.36453,-1.29,0.22,991,1
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.31517,1.06,0.367,796,0.624
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",-0.26626,-0.974,0.451,1271,1
"AKT inhibitor","NES","AKT inhibitor",0.46251,1.56,0.0862,416,0.524
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.63225,2.12,0.00948,331,0.182
"androgen receptor antagonist","NES","androgen receptor antagonist",0.55911,1.89,0.0262,306,0.188
"antioxidant","NES","antioxidant",0.78236,2.69,0,146,0.00429
"AP inhibitor","NES","AP inhibitor",0.40659,1.39,0.154,308,0.618
"ATPase inhibitor","NES","ATPase inhibitor",0.29629,0.992,0.457,191,0.953
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.80661,2.63,0,158,0.00358
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.35103,1.18,0.3,788,0.635
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",0.31832,1.09,0.348,255,0.688
"BCL inhibitor","NES","BCL inhibitor",0.36134,1.25,0.248,721,0.983
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.46887,1.55,0.0893,290,0.362
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.42191,1.44,0.117,212,0.439
"bromodomain inhibitor","NES","bromodomain inhibitor",0.74143,2.49,0.00149,353,0.0127
"calcium channel blocker","NES","calcium channel blocker",-0.30681,-1.1,0.316,848,0.797
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.50203,1.69,0.0526,392,0.713
"CDK inhibitor","NES","CDK inhibitor",0.5795,1.85,0.0232,580,0.549
"CHK inhibitor","NES","CHK inhibitor",0.88491,3.07,0,31,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.20931,0.711,0.762,529,0.991
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.26598,0.904,0.522,352,0.719
"DNA alkylating agent","NES","DNA alkylating agent",0.30232,1.05,0.378,268,0.993
"DNA inhibitor","NES","DNA inhibitor",0.14043,0.482,0.95,303,1
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.46711,1.55,0.0832,567,0.503
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",-0.37938,-1.3,0.222,1142,0.479
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",-0.16579,-0.633,0.817,1320,1
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.34937,1.21,0.27,545,0.54
"estrogen receptor agonist","NES","estrogen receptor agonist",-0.3208,-1.12,0.313,1160,0.759
"estrogen receptor antagonist","NES","estrogen receptor antagonist",-0.44482,-1.65,0.0727,1314,0.437
"FGFR inhibitor","NES","FGFR inhibitor",0.19354,0.65,0.82,90,0.917
"FLT3 inhibitor","NES","FLT3 inhibitor",0.49262,1.6,0.0662,275,0.296
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.78194,2.61,0,281,0.00623
"glutamate receptor antagonist","NES","glutamate receptor antagonist",-0.28685,-0.95,0.492,1291,0.671
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.67647,2.2,0.00316,158,0.0335
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.34141,1.13,0.316,346,0.94
"HCV inhibitor","NES","HCV inhibitor",0.4003,1.34,0.187,371,1
"HDAC inhibitor","NES","HDAC inhibitor",0.72177,2.28,0.0014,289,0.0393
"histamine receptor antagonist","NES","histamine receptor antagonist",0.27625,0.972,0.486,548,0.829
"HMGCR inhibitor","NES","HMGCR inhibitor",0.90353,3,0,11,0
"HSP inhibitor","NES","HSP inhibitor",0.40235,1.31,0.206,356,0.544
"JAK inhibitor","NES","JAK inhibitor",0.43612,1.46,0.128,442,0.382
"KIT inhibitor","NES","KIT inhibitor",-0.13366,-0.478,0.956,301,0.957
"MEK inhibitor","NES","MEK inhibitor",0.4435,1.42,0.116,381,0.963
"MET inhibitor","NES","MET inhibitor",0.66993,2.21,0.00571,144,0.0934
"microtubule inhibitor","NES","microtubule inhibitor",0.58445,1.89,0.0153,184,0.252
"mTOR inhibitor","NES","mTOR inhibitor",0.70132,2.28,0.00147,265,0.0394
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",0.40043,1.34,0.181,230,1
"opioid receptor agonist","NES","opioid receptor agonist",-0.3239,-1.17,0.306,435,0.959
