"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.72787,2.33,0.00208,0.0306,TRUE,3.52826907629792,0.72787,2.33,0.00208,0.0306,TRUE,3.52826907629792,2,3.52826907629792,0,2.33,0,5.77607919672548e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.31937,1.08,0.353,0.72,FALSE,0.15408090385423,0.3431,1.12,0.317,0.597,FALSE,0.250908749135107,0,0.202494826494668,0.0684676260057897,1.1,0.0282842712474619,0.356979937509226,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.34831,-1.3,0.19,0.464,FALSE,-0.433526625278655,-0.32695,-1.04,0.403,0.724,FALSE,-0.145871891154967,0,-0.289699258216811,0.203402613139273,-1.17,0.183847763108502,0.273320437669739,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.2529,-0.908,0.524,0.72,FALSE,-0.129542093240408,-0.41311,-1.35,0.148,0.567,FALSE,-0.332662870494576,0,-0.231102481867492,0.143628078996304,-1.129,0.312541197284454,0.275837465433825,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",-0.20379,-0.765,0.689,0.841,FALSE,-0.0575310632145972,-0.32924,-1.01,0.429,0.693,FALSE,-0.160859433042075,0,-0.109195248128336,0.0730641909939612,-0.8875,0.173241161390704,0.655838778552488,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.29559,-1.04,0.373,0.638,FALSE,-0.202986494129991,-0.29132,-0.926,0.522,0.784,FALSE,-0.09786332595421,0,-0.150424910042101,0.0743333050769087,-0.983,0.0806101730552664,0.513296525557546,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.19307,-0.691,0.771,1,FALSE,0,-0.18678,-0.59,0.904,0.918,FALSE,-0.021922818091267,0,-0.0109614090456335,0.015501773335054,-0.6405,0.0714177848998413,0.948590222448927,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",-0.13085,-0.486,0.961,0.955,FALSE,-0.00971836141029929,-0.33513,-1.04,0.39,0.724,FALSE,-0.145871891154967,0,-0.0777951262826333,0.096275084164939,-0.763,0.391737156777347,0.742604936925286,FALSE,0,"FALSE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.35925,1.24,0.22,0.696,FALSE,0.195164542882903,0.45901,1.46,0.12,0.673,FALSE,0.251098006232994,0,0.223131274557948,0.0395509312300984,1.35,0.15556349186104,0.122347929497108,FALSE,1.23456790123457,"TRUE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.45487,-1.54,0.101,0.593,FALSE,-0.349495772219036,-0.69364,-2.2,0.004,0.158,TRUE,-1.76295440870027,1,-1.05622509045965,0.999466186782572,-1.87,0.466690475583121,0.00356089465472126,FALSE,0,"TRUE",FALSE
