"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.87158,2.44,0,103,0
"EGFR inhibitor","NES","Abl kinase inhibitor",0.30754,0.864,0.614,685,0.77
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.50876,-1.42,0.129,638,0.424
"EGFR inhibitor","NES","AKT inhibitor",0.33648,0.946,0.486,123,0.711
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.48425,1.32,0.209,80,0.453
"EGFR inhibitor","NES","androgen receptor antagonist",-0.82587,-2.29,0,811,0.0101
"EGFR inhibitor","NES","antioxidant",-0.30785,-0.846,0.612,302,0.756
"EGFR inhibitor","NES","AP inhibitor",-0.3841,-1.07,0.38,668,0.675
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.38825,-1.08,0.385,515,0.702
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.64484,-1.78,0.0273,736,0.145
"EGFR inhibitor","NES","BCL inhibitor",0.27923,0.752,0.737,55,0.792
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.30754,0.872,0.595,685,0.797
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.41235,-1.14,0.305,672,0.743
"EGFR inhibitor","NES","bromodomain inhibitor",-0.36275,-0.974,0.469,509,0.761
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.38124,-1.05,0.396,374,0.666
"EGFR inhibitor","NES","CDK inhibitor",0.41755,1.18,0.302,361,0.53
"EGFR inhibitor","NES","CHK inhibitor",0.81837,2.24,0,185,0.00845
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.34386,-0.973,0.48,963,0.723
"EGFR inhibitor","NES","DNA inhibitor",-0.33847,-0.942,0.501,841,0.738
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.41657,1.18,0.274,414,0.53
"EGFR inhibitor","NES","dopamine receptor antagonist",-0.42899,-1.17,0.257,735,0.749
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.20635,-0.572,0.898,699,0.946
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",-0.23284,-0.665,0.819,929,0.896
"EGFR inhibitor","NES","HDAC inhibitor",0.28922,0.804,0.667,288,0.757
"EGFR inhibitor","NES","histamine receptor antagonist",-0.73522,-2.06,0.00196,933,0.0297
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.39687,1.11,0.313,380,0.563
"EGFR inhibitor","NES","HMGCR inhibitor",0.23509,0.652,0.842,164,0.877
"EGFR inhibitor","NES","HSP inhibitor",-0.30574,-0.853,0.628,966,0.778
"EGFR inhibitor","NES","JAK inhibitor",0.48445,1.33,0.167,297,0.481
"EGFR inhibitor","NES","MDM inhibitor",-0.74562,-2.07,0.00593,797,0.0352
"EGFR inhibitor","NES","MEK inhibitor",0.36062,1,0.424,148,0.703
"EGFR inhibitor","NES","MET inhibitor",0.51026,1.45,0.142,91,0.402
"EGFR inhibitor","NES","microtubule inhibitor",0.29011,0.815,0.681,499,0.809
"EGFR inhibitor","NES","mTOR inhibitor",-0.16995,-0.479,0.967,164,0.965
"EGFR inhibitor","NES","NFkB pathway inhibitor",0.46571,1.31,0.195,330,0.428
"EGFR inhibitor","NES","PARP inhibitor",-0.2999,-0.829,0.658,759,0.75
"EGFR inhibitor","NES","phosphatase inhibitor",0.34644,0.955,0.49,350,0.736
"EGFR inhibitor","NES","PI3K inhibitor",0.15526,0.443,0.98,176,0.977
"EGFR inhibitor","NES","PLK inhibitor",-0.3102,-0.855,0.637,304,0.81
"EGFR inhibitor","NES","progesterone receptor agonist",-0.75153,-2.09,0,738,0.0448
"EGFR inhibitor","NES","proteasome inhibitor",-0.52111,-1.43,0.124,731,0.46
"EGFR inhibitor","NES","protein synthesis inhibitor",0.29337,0.812,0.661,188,0.778
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.58147,1.62,0.0532,416,0.331
"EGFR inhibitor","NES","RAF inhibitor",-0.51677,-1.43,0.121,625,0.46
"EGFR inhibitor","NES","retinoid receptor agonist",0.5735,1.61,0.0562,31,0.287
"EGFR inhibitor","NES","serotonin receptor agonist",-0.40828,-1.12,0.333,896,0.676
"EGFR inhibitor","NES","sodium channel blocker",-0.27312,-0.753,0.758,741,0.822
"EGFR inhibitor","NES","sterol demethylase inhibitor",-0.63097,-1.74,0.0274,839,0.149
"EGFR inhibitor","NES","SYK inhibitor",0.49087,1.37,0.135,169,0.471
"EGFR inhibitor","NES","TGF beta receptor inhibitor",0.60943,1.67,0.063,121,0.329
"EGFR inhibitor","NES","thymidylate synthase inhibitor",-0.50044,-1.4,0.138,627,0.409
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.32775,-0.93,0.524,671,0.721
"EGFR inhibitor","NES","tubulin polymerization inhibitor",0.41476,1.16,0.302,588,0.524
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.56078,1.57,0.078,332,0.288
"EGFR inhibitor","NES","VEGFR inhibitor",0.7774,2.17,0,115,0.0136
"EGFR inhibitor","NES","vitamin D receptor agonist",-0.40003,-1.13,0.332,923,0.707
"Abl kinase inhibitor","NES","EGFR inhibitor",0.37419,1.09,0.356,346,0.66
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.63458,1.84,0.0203,89,0.155
"Abl kinase inhibitor","NES","adrenergic receptor agonist",0.2282,0.651,0.854,509,0.863
"Abl kinase inhibitor","NES","AKT inhibitor",0.50058,1.48,0.0721,432,0.364
"Abl kinase inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.46627,1.32,0.211,327,0.471
"Abl kinase inhibitor","NES","androgen receptor antagonist",-0.47289,-1.47,0.111,667,0.552
"Abl kinase inhibitor","NES","antioxidant",-0.68502,-2.11,0.00513,672,0.12
"Abl kinase inhibitor","NES","AP inhibitor",0.46112,1.34,0.177,231,0.475
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",0.58119,1.68,0.0373,383,0.209
"Abl kinase inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.34572,-1.05,0.391,607,0.646
"Abl kinase inhibitor","NES","BCL inhibitor",-0.27189,-0.86,0.602,267,0.756
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.63458,1.82,0.0296,89,0.116
"Abl kinase inhibitor","NES","benzodiazepine receptor agonist",-0.25892,-0.804,0.664,254,0.79
"Abl kinase inhibitor","NES","bromodomain inhibitor",0.28099,0.831,0.618,289,0.828
"Abl kinase inhibitor","NES","CC chemokine receptor antagonist",-0.44139,-1.38,0.141,433,0.422
"Abl kinase inhibitor","NES","CDK inhibitor",0.27908,0.816,0.652,413,0.821
"Abl kinase inhibitor","NES","CHK inhibitor",0.32649,0.947,0.515,222,0.768
"Abl kinase inhibitor","NES","cyclooxygenase inhibitor",-0.44501,-1.4,0.141,437,0.462
"Abl kinase inhibitor","NES","DNA inhibitor",-0.45112,-1.4,0.16,443,0.462
"Abl kinase inhibitor","NES","DNA methyltransferase inhibitor",0.3584,1.05,0.391,292,0.695
"Abl kinase inhibitor","NES","dopamine receptor antagonist",-0.24118,-0.755,0.732,830,0.812
"Abl kinase inhibitor","NES","glucocorticoid receptor agonist",0.25396,0.731,0.775,441,0.826
"Abl kinase inhibitor","NES","glycogen synthase kinase inhibitor",-0.41572,-1.29,0.194,747,0.494
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.18577,-0.583,0.9,798,0.898
"Abl kinase inhibitor","NES","histamine receptor antagonist",-0.33605,-1.04,0.395,330,0.569
"Abl kinase inhibitor","NES","histone lysine methyltransferase inhibitor",0.2731,0.775,0.7,211,0.823
"Abl kinase inhibitor","NES","HMGCR inhibitor",0.44564,1.27,0.225,457,0.49
"Abl kinase inhibitor","NES","HSP inhibitor",0.6326,1.84,0.0144,154,0.155
"Abl kinase inhibitor","NES","JAK inhibitor",0.70925,2.04,0.00163,199,0.172
"Abl kinase inhibitor","NES","MDM inhibitor",-0.33401,-1.04,0.392,328,0.569
"Abl kinase inhibitor","NES","MEK inhibitor",-0.34151,-1.06,0.393,334,0.687
"Abl kinase inhibitor","NES","MET inhibitor",-0.47685,-1.49,0.119,866,0.69
"Abl kinase inhibitor","NES","microtubule inhibitor",0.45653,1.34,0.172,169,0.475
"Abl kinase inhibitor","NES","mTOR inhibitor",0.38996,1.15,0.291,308,0.626
"Abl kinase inhibitor","NES","NFkB pathway inhibitor",0.32112,0.921,0.549,245,0.751
"Abl kinase inhibitor","NES","PARP inhibitor",0.26837,0.779,0.688,133,0.845
"Abl kinase inhibitor","NES","phosphatase inhibitor",0.2557,0.749,0.743,369,0.83
"Abl kinase inhibitor","NES","PI3K inhibitor",0.34028,0.985,0.494,355,0.771
"Abl kinase inhibitor","NES","PLK inhibitor",0.37399,1.1,0.366,521,0.678
"Abl kinase inhibitor","NES","progesterone receptor agonist",-0.67108,-2.03,0.00565,659,0.0991
"Abl kinase inhibitor","NES","proteasome inhibitor",0.43536,1.31,0.182,416,0.455
"Abl kinase inhibitor","NES","protein synthesis inhibitor",0.3341,0.971,0.498,460,0.76
"Abl kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.66207,1.96,0.0081,197,0.15
"Abl kinase inhibitor","NES","RAF inhibitor",0.31984,0.942,0.511,254,0.747
"Abl kinase inhibitor","NES","retinoid receptor agonist",0.50916,1.49,0.088,487,0.385
"Abl kinase inhibitor","NES","serotonin receptor agonist",-0.36934,-1.17,0.275,920,0.628
"Abl kinase inhibitor","NES","sodium channel blocker",0.23462,0.688,0.797,115,0.848
"Abl kinase inhibitor","NES","sterol demethylase inhibitor",0.31537,0.916,0.56,192,0.731
"Abl kinase inhibitor","NES","SYK inhibitor",0.46109,1.34,0.183,214,0.475
"Abl kinase inhibitor","NES","TGF beta receptor inhibitor",0.20986,0.608,0.885,256,0.875
"Abl kinase inhibitor","NES","thymidylate synthase inhibitor",-0.27597,-0.882,0.569,271,0.768
"Abl kinase inhibitor","NES","topoisomerase inhibitor",0.40853,1.19,0.283,522,0.593
"Abl kinase inhibitor","NES","tubulin polymerization inhibitor",0.62479,1.83,0.0191,208,0.132
"Abl kinase inhibitor","NES","tyrosine kinase inhibitor",0.57024,1.63,0.0479,197,0.233
"Abl kinase inhibitor","NES","VEGFR inhibitor",-0.35132,-1.11,0.319,345,0.66
