"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.87158,2.44,0,103,0
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.63458,1.84,0.0203,89,0.155
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.70816,2.09,0.00522,292,0.0333
"AKT inhibitor","NES","AKT inhibitor",0.69152,2.08,0.00162,310,0.0638
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.8049,2.38,0,199,0.0208
"androgen receptor antagonist","NES","androgen receptor antagonist",0.63902,1.94,0.00659,217,0.156
"antioxidant","NES","antioxidant",0.78335,2.32,0.00398,107,0.0275
"AP inhibitor","NES","AP inhibitor",0.48003,1.4,0.145,241,0.375
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.86287,2.51,0,109,0
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.59572,1.72,0.0444,402,0.274
"BCL inhibitor","NES","BCL inhibitor",0.62424,1.83,0.0158,374,0.169
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.57896,1.68,0.0431,131,0.236
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.85117,2.45,0,152,0.000918
"bromodomain inhibitor","NES","bromodomain inhibitor",0.72551,2.07,0.00763,275,0.0699
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.59295,1.7,0.0487,280,0.431
"CDK inhibitor","NES","CDK inhibitor",0.61649,1.73,0.0265,389,0.256
"CHK inhibitor","NES","CHK inhibitor",0.88518,2.66,0,24,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.84012,2.48,0,162,0.00767
"DNA inhibitor","NES","DNA inhibitor",0.66446,1.99,0.00653,186,0.175
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.56619,1.67,0.0417,431,0.227
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.79226,2.37,0,209,0.00643
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.8162,2.38,0,201,0.00705
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.88277,2.56,0,121,0
"HDAC inhibitor","NES","HDAC inhibitor",0.77588,2.15,0,208,0.0359
"histamine receptor antagonist","NES","histamine receptor antagonist",0.82587,2.45,0,176,0.00477
"HMGCR inhibitor","NES","HMGCR inhibitor",0.90596,2.68,0,7,0
"HSP inhibitor","NES","HSP inhibitor",0.71939,2.04,0.0045,282,0.163
"JAK inhibitor","NES","JAK inhibitor",0.78878,2.26,0.00382,214,0.0311
"MEK inhibitor","NES","MEK inhibitor",0.79243,2.29,0.00145,212,0.0137
"MET inhibitor","NES","MET inhibitor",0.75331,2.23,0,101,0.0307
"microtubule inhibitor","NES","microtubule inhibitor",0.68304,1.94,0.0066,148,0.0987
"mTOR inhibitor","NES","mTOR inhibitor",0.78847,2.19,0.00156,119,0.0125
"NFkB pathway inhibitor","NES","NFkB pathway inhibitor",0.73776,2.17,0.00491,264,0.0211
"PARP inhibitor","NES","PARP inhibitor",0.73756,2.14,0.00469,165,0.0377
"phosphatase inhibitor","NES","phosphatase inhibitor",-0.21625,-0.667,0.83,653,0.92
"PI3K inhibitor","NES","PI3K inhibitor",0.78682,2.33,0.00165,223,0.0134
"PLK inhibitor","NES","PLK inhibitor",0.95612,2.67,0,50,0.00106
"progesterone receptor agonist","NES","progesterone receptor agonist",0.74745,2.14,0.0064,253,0.0329
"proteasome inhibitor","NES","proteasome inhibitor",0.91216,2.7,0,94,0
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.7623,2.18,0.00311,243,0.0379
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.66599,1.94,0.0137,333,0.0791
"RAF inhibitor","NES","RAF inhibitor",0.73625,2.13,0.00171,264,0.0239
"sodium channel blocker","NES","sodium channel blocker",0.50947,1.46,0.112,341,0.347
"sterol demethylase inhibitor","NES","sterol demethylase inhibitor",0.41297,1.22,0.265,389,0.678
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.70729,2.12,0.00619,184,0.0479
"thymidylate synthase inhibitor","NES","thymidylate synthase inhibitor",0.46638,1.36,0.163,374,0.663
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.79046,2.24,0,186,0.0232
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.85711,2.32,0,112,0.00708
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.57566,1.67,0.03,424,0.18
"VEGFR inhibitor","NES","VEGFR inhibitor",0.93381,2.71,0,70,0.000981
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.93047,2.69,0,75,0
