"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.87158,2.44,0,0,TRUE,7.33065012518198,0.87158,2.44,0,0,TRUE,7.33065012518198,2,7.33065012518198,0,2.44,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.37419,1.09,0.356,0.66,FALSE,0.196697110259363,0.30754,0.864,0.614,0.77,FALSE,0.0980720134509756,0,0.147384561855169,0.0697384747483905,0.977,0.15980613254816,0.550959529555388,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.31965,-0.973,0.436,0.61,FALSE,-0.208874070534524,-0.50876,-1.42,0.129,0.424,FALSE,-0.52914048363832,0,-0.369007277086422,0.226462552491986,-1.1965,0.316076731190387,0.218117376616302,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.1561,0.469,0.95,0.989,FALSE,0.00225293924092286,0.33648,0.946,0.486,0.711,FALSE,0.140131357709641,0,0.071192148475282,0.0974947646785072,0.7075,0.337289934625983,0.818520204669927,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.43567,1.29,0.202,0.493,FALSE,0.396227474132373,0.48425,1.32,0.209,0.453,FALSE,0.453950373343062,0,0.425088923737718,0.0408162534616256,1.305,0.0212132034355964,0.175834111637801,FALSE,1.23456790123457,"TRUE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.58797,-1.79,0.0207,0.154,TRUE,-1.45433790970273,-0.82587,-2.29,0,0.0101,TRUE,-4.57010405403775,2,-3.01222098187024,2.20317936925075,-2.04,0.353553390593274,0.000241723689477348,FALSE,0,"TRUE",TRUE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.18574,-0.548,0.916,1,FALSE,0,-0.30785,-0.846,0.612,0.756,FALSE,-0.102770561005979,0,-0.0513852805029896,0.0726697605936737,-0.697,0.210717820793591,0.885041297086758,FALSE,0,"TRUE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.3424,-1.06,0.39,0.668,FALSE,-0.185736949775922,-0.3841,-1.07,0.38,0.675,FALSE,-0.182644963070803,0,-0.184190956423362,0.00218636476652775,-1.065,0.00707106781186548,0.431142338299006,FALSE,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.40947,-1.21,0.266,0.755,FALSE,-0.147684188528682,-0.38825,-1.08,0.385,0.702,FALSE,-0.16595591889981,0,-0.156820053714246,0.0129200644494369,-1.145,0.0919238815542511,0.335778929394376,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",-0.70017,-2.09,0.00494,0.089,TRUE,-2.19577488611213,-0.64484,-1.78,0.0273,0.145,TRUE,-1.49276495602174,2,-1.84426992106694,0.497103088808394,-1.935,0.21920310216783,0.00133665214714103,FALSE,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.17421,0.519,0.931,0.937,FALSE,0.0146671523292431,0.27923,0.752,0.737,0.792,FALSE,0.0761586634447009,0,0.045412907886972,0.0434810644951482,0.6355,0.164755880016466,0.944593454027648,FALSE,0,"TRUE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.26084,0.756,0.725,0.855,FALSE,0.0514336172655015,0.30754,0.872,0.595,0.797,FALSE,0.08592834374259,0,0.0686809805040458,0.0243914550071244,0.814,0.0820243866176395,0.794065393011657,FALSE,0,"TRUE",FALSE
