"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.74754,2.34,0,257,0.0373
"EGFR inhibitor","NES","Abl kinase inhibitor",0.51008,1.67,0.0498,141,0.328
"EGFR inhibitor","NES","acetylcholine receptor agonist",0.49488,1.57,0.0821,295,0.322
"EGFR inhibitor","NES","acetylcholine receptor antagonist",0.49784,1.6,0.0695,88,0.324
"EGFR inhibitor","NES","adenosine receptor antagonist",-0.32825,-1.03,0.418,1210,0.778
"EGFR inhibitor","NES","adrenergic receptor agonist",0.2811,0.897,0.546,103,0.756
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.22323,0.72,0.792,394,0.887
"EGFR inhibitor","NES","AKT inhibitor",0.27298,0.879,0.592,311,0.76
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.37658,-1.19,0.265,1028,0.603
"EGFR inhibitor","NES","androgen receptor antagonist",-0.16133,-0.507,0.943,1197,0.976
"EGFR inhibitor","NES","antioxidant",-0.43,-1.34,0.182,1038,0.621
"EGFR inhibitor","NES","AP inhibitor",-0.58889,-1.85,0.0294,985,0.215
"EGFR inhibitor","NES","ATPase inhibitor",-0.44116,-1.4,0.145,984,0.666
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.14326,-0.454,0.973,293,0.978
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.36771,1.16,0.291,854,0.56
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.18821,-0.588,0.912,981,1
"EGFR inhibitor","NES","BCL inhibitor",0.28796,0.909,0.527,446,0.796
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.47525,1.54,0.0745,141,0.324
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.47596,-1.51,0.0956,1198,0.656
"EGFR inhibitor","NES","bromodomain inhibitor",-0.83582,-2.63,0,1120,0.00106
"EGFR inhibitor","NES","calcium channel blocker",0.3128,0.997,0.419,503,0.739
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.24597,-0.764,0.699,1316,0.932
"EGFR inhibitor","NES","CDK inhibitor",-0.39166,-1.2,0.266,1036,0.615
"EGFR inhibitor","NES","CHK inhibitor",-0.38984,-1.2,0.266,522,0.615
"EGFR inhibitor","NES","cyclooxygenase inhibitor",0.23431,0.756,0.726,342,0.866
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.24852,-0.741,0.734,1330,0.943
"EGFR inhibitor","NES","DNA alkylating agent",-0.16564,-0.515,0.943,1027,0.993
"EGFR inhibitor","NES","DNA inhibitor",-0.19338,-0.602,0.885,257,1
