"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.803467","Pearson.est","sodium channel blocker",0.29933,0.761,0.761,354,0.9,TRUE,FALSE,"sodium channel blocker"
"A61603","Pearson.est","adrenergic receptor agonist",0.25592,0.671,0.85,384,0.881,TRUE,FALSE,"adrenergic receptor agonist"
"ABT.737","Pearson.est","BCL inhibitor",0.31602,0.837,0.664,528,0.842,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",0.30076,0.873,0.562,120,0.8,TRUE,FALSE,"glutamate receptor antagonist"
"AEE788","Pearson.est","VEGFR inhibitor",0.36819,0.898,0.578,496,0.9,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",-0.27076,-0.807,0.706,362,0.836,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",-0.3017,-0.823,0.668,812,0.893,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",-0.56155,-1.71,0.0407,1186,0.715,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",-0.24005,-0.752,0.744,1083,0.961,TRUE,FALSE,"tyrosine kinase inhibitor"
"AP26113","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.25221,-0.752,0.744,1143,0.99,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.36414,0.979,0.451,238,0.725,TRUE,FALSE,"CDK inhibitor"
"AT7867","Pearson.est","AKT inhibitor",-0.58414,-1.55,0.0655,889,0.377,TRUE,FALSE,"AKT inhibitor"
"AZD3463","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.34385,-1.03,0.358,1245,0.787,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor"
"AZD4547","Pearson.est","FGFR inhibitor",-0.27037,-0.715,0.796,1341,0.943,TRUE,FALSE,"FGFR inhibitor"
"AZD5363","Pearson.est","AKT inhibitor",0.36525,0.901,0.608,363,0.867,TRUE,FALSE,"AKT inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",0.26135,0.803,0.697,123,0.869,TRUE,FALSE,"NFkB pathway inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.48333,-1.24,0.231,676,0.873,TRUE,FALSE,"MEK inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",0.26638,0.696,0.847,735,0.996,TRUE,FALSE,"CDK inhibitor"
"BMS.690514","Pearson.est","VEGFR inhibitor",0.35326,0.965,0.5,245,0.887,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
