"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.74754,2.34,0,0.0373,TRUE,3.34220133356767,0.74754,2.34,0,0.0373,TRUE,3.34220133356767,2,3.34220133356767,0,2.34,0,1.45403825662008e-05,TRUE,100,"TRUE","TRUE"
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.58883,1.99,0.0115,0.21,TRUE,1.3487836034795,0.51008,1.67,0.0498,0.328,FALSE,0.808490681001496,1,1.0786371422405,0.382044789311295,1.83,0.226274169979695,0.00484799056803587,FALSE,1.21951219512195,"FALSE","FALSE"
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",0.45409,1.53,0.0715,0.638,FALSE,0.298624361556622,0.49488,1.57,0.0821,0.322,FALSE,0.772666281437545,0,0.535645321497084,0.335198256114491,1.55,0.0282842712474619,0.0360302474701646,FALSE,0,"FALSE","FALSE"
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",0.31129,1.08,0.378,0.865,FALSE,0.0680226039380007,0.49784,1.6,0.0695,0.324,FALSE,0.783127983669421,0,0.425575293803711,0.505655863271068,1.34,0.367695526217005,0.121878777338371,FALSE,0,"FALSE","FALSE"
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",-0.17605,-0.63,0.879,0.896,FALSE,-0.0300459539128611,-0.32825,-1.03,0.418,0.778,FALSE,-0.11229101510062,0,-0.0711684845067408,0.0581560404849671,-0.83,0.282842712474619,0.735301156649955,FALSE,0,"FALSE","FALSE"
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.22086,-0.779,0.683,0.916,FALSE,-0.0296834260127445,0.2811,0.897,0.546,0.756,FALSE,0.108965949435418,0,0.0396412617113366,0.0980399135866752,0.059,1.18511096526865,0.740763093016663,FALSE,0,"FALSE","FALSE"
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.23852,-0.9,0.508,0.868,FALSE,-0.0553322473411573,0.22323,0.72,0.792,0.887,FALSE,0.037494993721157,0,-0.00891862681000015,0.0656387716340008,-0.09,1.14551298552221,0.768649940019129,FALSE,0,"FALSE","FALSE"
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.2853,0.96,0.493,0.831,FALSE,0.0771830171672535,0.27298,0.879,0.592,0.76,FALSE,0.104764852385184,0,0.0909739347762189,0.0195033027201689,0.9195,0.0572756492761103,0.651275131475112,FALSE,0,"FALSE","FALSE"
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",-0.42537,-1.53,0.11,0.754,FALSE,-0.187621840819246,-0.37658,-1.19,0.265,0.603,FALSE,-0.26142239855322,0,-0.224522119686233,0.0521848748290425,-1.36,0.240416305603426,0.132204005674311,FALSE,1.23456790123457,"FALSE","FALSE"
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.14744,-0.484,0.959,0.976,FALSE,-0.00510628824932117,-0.16133,-0.507,0.943,0.976,FALSE,-0.00534894244298726,0,-0.00522761534615421,0.000171582425824645,-0.4955,0.0162634559672906,0.995270979632981,FALSE,0,"FALSE","FALSE"
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.32809,-1.15,0.308,0.759,FALSE,-0.137721957720198,-0.43,-1.34,0.182,0.621,FALSE,-0.277257255763383,0,-0.20748960674179,0.0986663554612221,-1.245,0.134350288425444,0.217575987552102,FALSE,0,"FALSE","FALSE"
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.36973,-1.25,0.235,0.935,FALSE,-0.0364854864093528,-0.58889,-1.85,0.0294,0.215,TRUE,-1.23498884915613,1,-0.635737167782741,0.847469855073127,-1.55,0.424264068711929,0.0412807939227061,FALSE,0,"TRUE","FALSE"
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.52504,-1.76,0.0413,0.625,FALSE,-0.359251169474428,-0.44116,-1.4,0.145,0.666,FALSE,-0.247136079161578,0,-0.303193624318003,0.0792773406335578,-1.58,0.254558441227157,0.0366371298788312,FALSE,0,"FALSE","FALSE"
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.19095,-0.708,0.756,0.867,FALSE,-0.0438824789868431,-0.14326,-0.454,0.973,0.978,FALSE,-0.00438615992642895,0,-0.024134319456636,0.0279281150395263,-0.581,0.179605122421383,0.961476114243635,FALSE,1.0752688172043,"TRUE","FALSE"
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",0.31841,1.04,0.418,0.745,FALSE,0.132957476341775,0.36771,1.16,0.291,0.56,FALSE,0.292101888672807,0,0.212529682507291,0.112532093147221,1.1,0.0848528137423856,0.377893487188006,FALSE,0,"FALSE","FALSE"
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.19013,-0.652,0.815,0.929,FALSE,-0.0208537544761456,-0.18821,-0.588,0.912,1,FALSE,0,0,-0.0104268772380728,0.0147458312032818,-0.62,0.0452548339959391,0.963798134891568,FALSE,0,"FALSE","FALSE"
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.16401,0.568,0.914,0.924,FALSE,0.0194983203469794,0.28796,0.909,0.527,0.796,FALSE,0.0900700214264588,0,0.0547841708867191,0.0499017283931699,0.7385,0.241123412384613,0.833533874721917,FALSE,0,"FALSE","FALSE"
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.50969,1.75,0.0491,0.612,FALSE,0.373185011245268,0.47525,1.54,0.0745,0.324,FALSE,0.753760684281817,0,0.563472847763543,0.269107639158778,1.645,0.148492424049175,0.0241821675284531,FALSE,0,"FALSE","FALSE"
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",-0.50152,-1.72,0.0367,0.502,FALSE,-0.514789606510567,-0.47596,-1.51,0.0956,0.656,FALSE,-0.276475202542753,0,-0.39563240452666,0.168513731100071,-1.615,0.148492424049175,0.0233406432595362,FALSE,0,"FALSE","FALSE"
"bromodomain inhibitor & EGFR inhibitor","bromodomain inhibitor","EGFR inhibitor",-0.68149,-2.36,0,0.085,TRUE,-2.52657133531427,-0.83582,-2.63,0,0.00106,TRUE,-7.82344557435365,2,-5.17500845483396,3.74545569351708,-2.495,0.190918830920368,1.45403825662008e-05,FALSE,0,"TRUE","TRUE"
"calcium channel blocker & EGFR inhibitor","calcium channel blocker","EGFR inhibitor",0.26867,0.891,0.545,0.863,FALSE,0.0570143810177483,0.3128,0.997,0.419,0.739,FALSE,0.130961494920359,0,0.0939879379690535,0.0522885056897099,0.944,0.074953318805774,0.565601959404787,FALSE,0,"FALSE","FALSE"
