"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.65425,2.16,0.0136,217,0.183
"EGFR inhibitor","NES","Abl kinase inhibitor",0.27974,0.922,0.559,393,0.758
"EGFR inhibitor","NES","acetylcholine receptor agonist",-0.40053,-1.24,0.25,858,0.682
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.43583,-1.36,0.17,1137,0.544
"EGFR inhibitor","NES","adenosine receptor antagonist",0.25568,0.831,0.634,6,0.848
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.19315,-0.597,0.889,494,0.973
"EGFR inhibitor","NES","adrenergic receptor antagonist",0.29604,0.958,0.476,428,0.756
"EGFR inhibitor","NES","AKT inhibitor",0.37472,1.18,0.282,536,0.644
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.20079,-0.621,0.879,453,0.972
"EGFR inhibitor","NES","androgen receptor antagonist",-0.53236,-1.68,0.0637,1116,0.388
"EGFR inhibitor","NES","antioxidant",-0.16465,-0.526,0.927,1180,0.983
"EGFR inhibitor","NES","AP inhibitor",-0.63088,-2,0.0176,1105,0.491
"EGFR inhibitor","NES","ATPase inhibitor",-0.30975,-0.989,0.438,1287,0.922
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.44224,-1.36,0.159,1117,0.544
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.24716,0.814,0.642,243,0.845
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.16622,-0.522,0.948,658,0.964
"EGFR inhibitor","NES","BCL inhibitor",0.2002,0.65,0.827,312,0.909
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.31076,1.01,0.444,393,0.728
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.22978,-0.716,0.773,1043,0.955
"EGFR inhibitor","NES","bromodomain inhibitor",-0.54696,-1.66,0.0436,895,0.361
"EGFR inhibitor","NES","calcium channel blocker",-0.48804,-1.53,0.0918,871,0.529
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.38565,-1.2,0.271,516,0.718
"EGFR inhibitor","NES","CDK inhibitor",0.32505,1.02,0.413,171,0.746
"EGFR inhibitor","NES","CHK inhibitor",-0.26708,-0.829,0.626,791,0.995
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.12789,-0.391,0.991,1124,0.991
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.60413,-1.89,0.018,1250,0.441
"EGFR inhibitor","NES","DNA alkylating agent",-0.21715,-0.684,0.815,1177,0.949
"EGFR inhibitor","NES","DNA inhibitor",-0.45664,-1.44,0.116,997,0.483
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",-0.26139,-0.839,0.622,1278,1
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.42656,-1.35,0.142,992,0.523
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.2472,-0.777,0.675,970,1
"EGFR inhibitor","NES","dopamine receptor antagonist",0.19749,0.641,0.853,488,0.894
"EGFR inhibitor","NES","estrogen receptor agonist",-0.24782,-0.776,0.701,1065,0.997
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.48748,-1.5,0.0818,1098,0.472
"EGFR inhibitor","NES","FGFR inhibitor",0.3529,1.13,0.316,341,0.656
"EGFR inhibitor","NES","FLT3 inhibitor",0.29621,0.965,0.455,79,0.776
"EGFR inhibitor","NES","glucocorticoid receptor agonist",0.46636,1.52,0.076,277,0.739
"EGFR inhibitor","NES","glutamate receptor antagonist",0.21847,0.706,0.788,1054,0.925
