"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.803467","Pearson.est","sodium channel blocker",0.29957,0.774,0.728,385,0.953,TRUE,FALSE,"sodium channel blocker"
"A61603","Pearson.est","adrenergic receptor agonist",0.24001,0.598,0.922,182,0.962,TRUE,FALSE,"adrenergic receptor agonist"
"ABT.737","Pearson.est","BCL inhibitor",-0.37192,-1.01,0.42,498,0.786,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",-0.37999,-1.09,0.337,1074,0.575,TRUE,FALSE,"glutamate receptor antagonist"
"ACY.1215","Pearson.est","HDAC inhibitor",-0.5639,-1.57,0.0563,1192,0.389,TRUE,FALSE,"HDAC inhibitor"
"ADL5859","Pearson.est","opioid receptor agonist",-0.31604,-0.86,0.597,1287,0.751,TRUE,FALSE,"opioid receptor agonist"
"AEE788","Pearson.est","VEGFR inhibitor",0.39572,0.998,0.485,296,0.847,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AG.14361","Pearson.est","PARP inhibitor",0.33785,0.854,0.643,599,0.975,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",0.22545,0.608,0.902,504,1,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",-0.39186,-1.05,0.345,1221,0.734,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",-0.21069,-0.613,0.901,1209,0.948,TRUE,FALSE,"tyrosine kinase inhibitor"
"AMG458","Pearson.est","MET inhibitor",0.38968,0.98,0.497,544,0.707,TRUE,FALSE,"MET inhibitor"
"AP26113","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.24998,-0.645,0.892,1324,0.943,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"AR.42","Pearson.est","HDAC inhibitor",-0.18566,-0.526,0.976,1162,1,TRUE,FALSE,"HDAC inhibitor"
"AT7867","Pearson.est","AKT inhibitor",-0.29656,-0.883,0.564,1276,1,TRUE,FALSE,"AKT inhibitor"
"AZ960","Pearson.est","JAK inhibitor",0.26612,0.636,0.91,670,0.939,TRUE,FALSE,"JAK inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",0.18667,0.486,0.992,261,1,TRUE,FALSE,"JAK inhibitor"
"AZD2858","Pearson.est","glycogen synthase kinase inhibitor",-0.42718,-1.11,0.326,1081,0.826,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"AZD3463","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.30023,0.767,0.765,441,0.89,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor"
"AZD5438","Pearson.est","CDK inhibitor",-0.36294,-0.928,0.54,991,1,TRUE,FALSE,"CDK inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.30786,0.754,0.752,348,0.859,TRUE,FALSE,"PI3K inhibitor"
"AZD7762","Pearson.est","CHK inhibitor",0.30004,0.771,0.768,349,0.926,TRUE,FALSE,"CHK inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",0.31067,0.79,0.737,381,0.797,TRUE,FALSE,"NFkB pathway inhibitor"
"BGT226","Pearson.est","PI3K inhibitor",0.3367,0.97,0.462,187,0.824,TRUE,FALSE,"PI3K inhibitor"
"BIBU.1361","Pearson.est","EGFR inhibitor",0.36106,0.916,0.537,339,0.856,TRUE,FALSE,"EGFR inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.66664,-1.67,0.0227,926,0.611,TRUE,FALSE,"MEK inhibitor"
