"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.65425,2.16,0.0136,217,0.183
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.54331,1.84,0.0225,475,0.204
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.35846,1.24,0.255,90,0.653
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.27486,0.944,0.497,417,0.755
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.42968,1.41,0.154,252,0.409
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.23517,0.811,0.645,745,0.862
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.26692,0.886,0.576,168,1
"AKT inhibitor","NES","AKT inhibitor",0.47378,1.68,0.0637,320,0.56
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.30145,-1.07,0.36,1272,0.609
"androgen receptor antagonist","NES","androgen receptor antagonist",0.8835,2.98,0,162,0
"antioxidant","NES","antioxidant",0.65892,2.28,0.00398,315,0.104
"AP inhibitor","NES","AP inhibitor",-0.31104,-1.04,0.408,1186,0.704
"ATPase inhibitor","NES","ATPase inhibitor",0.38553,1.25,0.207,614,0.482
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.68016,2.15,0.00446,278,0.0553
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.4578,-1.63,0.0706,1217,0.517
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.16426,-0.606,0.88,1330,0.93
"BCL inhibitor","NES","BCL inhibitor",-0.36637,-1.24,0.241,742,0.654
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.50145,1.7,0.0392,535,0.455
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.2973,1,0.447,949,0.751
"bromodomain inhibitor","NES","bromodomain inhibitor",0.89604,3.03,0,145,0
"calcium channel blocker","NES","calcium channel blocker",0.4045,1.34,0.179,738,0.862
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.46813,1.55,0.0897,482,0.552
"CDK inhibitor","NES","CDK inhibitor",0.43135,1.48,0.111,489,0.464
"CHK inhibitor","NES","CHK inhibitor",0.52765,1.77,0.0473,639,0.59
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.25755,0.861,0.612,1004,1
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.41106,1.43,0.112,795,0.622
"DNA alkylating agent","NES","DNA alkylating agent",0.23899,0.809,0.648,351,0.979
"DNA inhibitor","NES","DNA inhibitor",0.33109,1.1,0.359,697,1
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.51935,1.73,0.041,210,0.485
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.50839,1.72,0.037,539,0.302
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.28173,0.982,0.465,785,1
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.26306,0.871,0.577,114,0.72
"estrogen receptor agonist","NES","estrogen receptor agonist",0.30022,1.03,0.423,784,0.794
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.27409,0.949,0.467,978,0.671
"FGFR inhibitor","NES","FGFR inhibitor",0.43415,1.47,0.116,266,0.338
"FLT3 inhibitor","NES","FLT3 inhibitor",0.37306,1.21,0.263,395,0.548
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.82981,2.74,0,124,0.00406
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.27018,0.922,0.509,323,0.882
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",-0.27517,-0.981,0.461,554,1
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.35202,1.18,0.301,874,0.519
