"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.65425,2.16,0.0136,0.183,TRUE,1.59310564618227,0.65425,2.16,0.0136,0.183,TRUE,1.59310564618227,2,1.59310564618227,0,2.16,0,0.00177475981506995,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.25347,0.839,0.636,0.749,FALSE,0.105309754950148,0.27974,0.922,0.559,0.758,FALSE,0.110944992407247,0,0.108127373678697,0.00398471461951115,0.8805,0.0586898628384835,0.723193596282764,FALSE,1.21951219512195,"TRUE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.28552,-1.06,0.365,0.767,FALSE,-0.12211691421408,-0.40053,-1.24,0.25,0.682,FALSE,-0.206107375425966,0,-0.164112144820023,0.0593902246779102,-1.15,0.127279220613579,0.309716396144908,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.15804,-0.572,0.914,0.919,FALSE,-0.0209835274871443,-0.43583,-1.36,0.17,0.544,FALSE,-0.359585496410475,0,-0.19028451194881,0.239427748348804,-0.966,0.557200143575,0.444679155155073,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.10474,0.354,0.995,0.995,FALSE,0.00077062941601319,0.25568,0.831,0.634,0.848,FALSE,0.0595030467746708,0,0.030136838095342,0.0415300905897853,0.5925,0.337289934625983,0.921465282471213,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.19447,-0.725,0.775,0.927,FALSE,-0.0238671927452396,-0.19315,-0.597,0.889,0.973,FALSE,-0.00709663435979392,0,-0.0154819135525168,0.0118585755586336,-0.661,0.0905096679918781,0.945652838186521,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",0.17796,0.595,0.891,1,FALSE,0,0.29604,0.958,0.476,0.756,FALSE,0.116376119909844,0,0.0581880599549221,0.0822903435564296,0.7765,0.256679761570717,0.787900767935153,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.35744,1.23,0.249,0.552,FALSE,0.317414934393085,0.37472,1.18,0.282,0.644,FALSE,0.225514676515422,0,0.271464805454253,0.0649832955380884,1.205,0.0353553390593274,0.256727582168044,FALSE,0,"FALSE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",-0.12572,-0.446,0.978,0.972,FALSE,-0.00550084584288154,-0.20079,-0.621,0.879,0.972,FALSE,-0.00765924948078349,0,-0.00658004766183252,0.00152622184889818,-0.5335,0.123743686707646,0.989656640605378,FALSE,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.34008,-1.18,0.267,0.646,FALSE,-0.223925628765801,-0.53236,-1.68,0.0637,0.388,FALSE,-0.690762701001732,0,-0.457344164883766,0.330103659487301,-1.43,0.353553390593274,0.0862993999397226,FALSE,0,"TRUE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",-0.12833,-0.454,0.981,0.99,FALSE,-0.00198162165271234,-0.16465,-0.526,0.927,0.983,FALSE,-0.00391684962029667,0,-0.0029492356365045,0.00136841281902074,-0.49,0.0509116882454314,0.995764699359454,FALSE,0,"TRUE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.53113,-1.78,0.0411,0.983,FALSE,-0.0132547382587986,-0.63088,-2,0.0176,0.491,FALSE,-0.617837015754063,0,-0.315545877006431,0.427504228202108,-1.89,0.15556349186104,0.00595441273265659,FALSE,0,"FALSE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",-0.24437,-0.848,0.595,0.741,FALSE,-0.11039415963353,-0.30975,-0.989,0.438,0.922,FALSE,-0.0348811190779606,0,-0.0726376393557451,0.0533957830448577,-0.9185,0.0997020561473032,0.611060148378617,FALSE,0,"FALSE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.43306,-1.55,0.106,0.368,FALSE,-0.672935881056048,-0.44224,-1.36,0.159,0.544,FALSE,-0.359585496410475,0,-0.516260688733261,0.221572181870297,-1.455,0.134350288425444,0.0856717010275453,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",0.11591,0.395,0.986,1,FALSE,0,0.24716,0.814,0.642,0.845,FALSE,0.0595386389149504,0,0.0297693194574752,0.0421001753193787,0.6045,0.296277741317163,0.922466801682968,FALSE,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",-0.11756,-0.429,0.982,0.979,FALSE,-0.00395422521645388,-0.16622,-0.522,0.948,0.964,FALSE,-0.00831178830272234,0,-0.00613300675958811,0.00308126240774861,-0.4755,0.0657609306503489,0.997558199643475,FALSE,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.1438,0.484,0.934,0.976,FALSE,0.00510628824932117,0.2002,0.65,0.827,0.909,FALSE,0.0269334759057211,0,0.0160198820775212,0.0154341524060717,0.567,0.117379725676967,0.971879055776993,FALSE,0,"FALSE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.25285,0.861,0.591,0.815,FALSE,0.0764932988748802,0.31076,1.01,0.444,0.728,FALSE,0.139247306893832,0,0.107870302884356,0.0443737846168361,0.9355,0.105358910396796,0.613466433740162,FALSE,0,"FALSE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",-0.10506,-0.395,0.973,0.988,FALSE,-0.00207100688788689,-0.22978,-0.716,0.773,0.955,FALSE,-0.0143175859460376,0,-0.00819429641696226,0.00865963909835555,-0.5555,0.226981276760882,0.966371010565625,FALSE,0,"FALSE",FALSE
